"Group1","Group2","wasserstein","perm_p","effect_size","ks_stat","ks_adj_p","ComparisonType","Dimension","Dataset"
"bone marrow","bone marrow",0,0,0,16,1,"tissue_comparison","dimension_0","Raw"
"bone marrow","colon",0.000245729892356915,1.3767507096021,3.50541161141091,0.118166670663923,0.00495982642759615,"tissue_comparison","dimension_0","Raw"
"bone marrow","liver",0.000669398246127412,0.217527375833714,1.52615485329082,0.193965982825386,0.296966345559696,"tissue_comparison","dimension_0","Raw"
"bone marrow","pbmc",0.00113903381112846,16,6.51641760816984,0.12963385781668,0.000223170504220245,"tissue_comparison","dimension_0","Raw"
"bone marrow","prostate",0.000925122426759169,0.931814138253838,2.23585488676928,0.12963385781668,0.000584635606208442,"tissue_comparison","dimension_0","Raw"
"bone marrow","substantia nigra",0.00119562602811117,16,8.88979264579501,0.0142404391146102,4.04165425878809e-05,"tissue_comparison","dimension_0","Raw"
"bone marrow","testis",0.00111510804261338,16,5.78149503726398,0.0763883458634548,2.94456684249335e-09,"tissue_comparison","dimension_0","Raw"
"colon","colon",0,0,0,16,1,"tissue_comparison","dimension_0","Raw"
"colon","prostate",0.000984321730003174,2.69897000433602,3.35698087531486,0.150746000214585,0.0185341502918009,"tissue_comparison","dimension_0","Raw"
"liver","colon",0.000722135193754383,0.356547323513813,2.24384738807052,0.0791812460476249,0.357668263273955,"tissue_comparison","dimension_0","Raw"
"liver","liver",0,0,0,16,1,"tissue_comparison","dimension_0","Raw"
"liver","prostate",0.000262186536248791,0.436518914605589,1.91473763866381,0.0791812460476249,0.310171915656215,"tissue_comparison","dimension_0","Raw"
"liver","testis",0.000452172152102998,16,6.82614550548353,0,0.000185886873709945,"tissue_comparison","dimension_0","Raw"
"pancreatic islets","bone marrow",0.011226639889803,16,15.157432750595,0.0377885608893998,1.11140044140008e-07,"tissue_comparison","dimension_0","Raw"
"pancreatic islets","colon",0.011167440586559,16,12.4969036382373,0.0377885608893998,1.48836376372428e-05,"tissue_comparison","dimension_0","Raw"
"pancreatic islets","liver",0.0118895757803133,2.52287874528034,14.3546578713548,0,0.000769538584664635,"tissue_comparison","dimension_0","Raw"
"pancreatic islets","pancreatic islets",0,0,0,16,1,"tissue_comparison","dimension_0","Raw"
"pancreatic islets","pbmc",0.0123656737009314,16,21.60342244705,0,7.59345278286118e-07,"tissue_comparison","dimension_0","Raw"
"pancreatic islets","prostate",0.0121517623165621,16,15.7999187536994,0,6.74973580698772e-08,"tissue_comparison","dimension_0","Raw"
"pancreatic islets","substantia nigra",0.0124222659179141,16,23.8693609755428,0,0.000107735401853049,"tissue_comparison","dimension_0","Raw"
"pancreatic islets","testis",0.0123417479324163,16,20.9003077974092,0,3.60870217820365e-10,"tissue_comparison","dimension_0","Raw"
"pbmc","colon",0.00119823311437246,16,9.73755740093191,0,0.000192296598273177,"tissue_comparison","dimension_0","Raw"
"pbmc","liver",0.000476097920618077,3,7.60783429443749,0.0377885608893998,0.0337279749044455,"tissue_comparison","dimension_0","Raw"
"pbmc","pbmc",0,0,0,16,1,"tissue_comparison","dimension_0","Raw"
"pbmc","prostate",0.000213911384369286,16,6.68108452498852,0.0280287236002435,9.35067339038057e-07,"tissue_comparison","dimension_0","Raw"
"pbmc","testis",2.51219470073661e-05,0.575118363368933,0.912167674956967,0.392800369019627,0.387288970281529,"tissue_comparison","dimension_0","Raw"
"prostate","prostate",0,0,0,16,1,"tissue_comparison","dimension_0","Raw"
"substantia nigra","colon",0.00125482533135518,16,12.1791302700027,0,0.000118893058072125,"tissue_comparison","dimension_0","Raw"
"substantia nigra","liver",0.000532690137600793,3,10.0245538886093,0,0.00422754329004329,"tissue_comparison","dimension_0","Raw"
"substantia nigra","pbmc",5.65922169827165e-05,2.04575749056068,2.47504497697162,0,0.0134669252316311,"tissue_comparison","dimension_0","Raw"
"substantia nigra","prostate",0.000270503601352002,16,9.14932428900372,0,2.68049803653519e-05,"tissue_comparison","dimension_0","Raw"
"substantia nigra","substantia nigra",0,0,0,16,1,"tissue_comparison","dimension_0","Raw"
"substantia nigra","testis",8.05179854977949e-05,2.22184874961636,3.35865477093326,0.015794267183232,0.00260241623193923,"tissue_comparison","dimension_0","Raw"
"testis","colon",0.00117430734585738,16,8.92081744901508,0,9.45890717278745e-09,"tissue_comparison","dimension_0","Raw"
"testis","prostate",0.000190378554964951,16,5.80903985905803,0.0321846833714013,4.29550372244132e-07,"tissue_comparison","dimension_0","Raw"
"testis","testis",0,0,0,16,1,"tissue_comparison","dimension_0","Raw"
"bone marrow","bone marrow",0,0,0,16,1,"tissue_comparison","dimension_1","Raw"
"bone marrow","colon",0.000560804809253298,0.0909791457888439,15.1116717108685,0.423461458196337,1,"tissue_comparison","dimension_1","Raw"
"bone marrow","liver",0.000276622440426509,0.446116973356126,38.8182357447516,0.315270434778591,1,"tissue_comparison","dimension_1","Raw"
"bone marrow","pbmc",0.000437270542498535,1.61978875828839,44.7877670749805,0.14079065987949,0.0298987625991449,"tissue_comparison","dimension_1","Raw"
