"contract_id","stratum_id","axis_id","sample_id","k","cell_neighbors","gene_neighbors","overlap_count","jaccard","exact_neighbor_set"
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","H0","GSM3396163_C1.RData",3,"GSM3396176_P.RData;GSM3396179_S1.RData;GSM3396169_H.RData","GSM3396169_H.RData;GSM3396179_S1.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","H0","GSM3396169_H.RData",3,"GSM3396179_S1.RData;GSM3396163_C1.RData;GSM3396176_P.RData","GSM3396179_S1.RData;GSM3396163_C1.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","H0","GSM3396176_P.RData",3,"GSM3396163_C1.RData;GSM3396179_S1.RData;GSM3396169_H.RData","GSM3396163_C1.RData;GSM3396169_H.RData;GSM3396179_S1.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","H0","GSM3396179_S1.RData",3,"GSM3396169_H.RData;GSM3396163_C1.RData;GSM3396176_P.RData","GSM3396169_H.RData;GSM3396163_C1.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","H1","GSM3396163_C1.RData",3,"GSM3396176_P.RData;GSM3396179_S1.RData;GSM3396169_H.RData","GSM3396169_H.RData;GSM3396176_P.RData;GSM3396179_S1.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","H1","GSM3396169_H.RData",3,"GSM3396179_S1.RData;GSM3396176_P.RData;GSM3396163_C1.RData","GSM3396176_P.RData;GSM3396179_S1.RData;GSM3396163_C1.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","H1","GSM3396176_P.RData",3,"GSM3396179_S1.RData;GSM3396169_H.RData;GSM3396163_C1.RData","GSM3396169_H.RData;GSM3396179_S1.RData;GSM3396163_C1.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","H1","GSM3396179_S1.RData",3,"GSM3396176_P.RData;GSM3396169_H.RData;GSM3396163_C1.RData","GSM3396176_P.RData;GSM3396169_H.RData;GSM3396163_C1.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","composite","GSM3396163_C1.RData",3,"GSM3396176_P.RData;GSM3396179_S1.RData;GSM3396169_H.RData","GSM3396169_H.RData;GSM3396179_S1.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","composite","GSM3396169_H.RData",3,"GSM3396179_S1.RData;GSM3396176_P.RData;GSM3396163_C1.RData","GSM3396179_S1.RData;GSM3396163_C1.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","composite","GSM3396176_P.RData",3,"GSM3396163_C1.RData;GSM3396179_S1.RData;GSM3396169_H.RData","GSM3396163_C1.RData;GSM3396169_H.RData;GSM3396179_S1.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","composite","GSM3396179_S1.RData",3,"GSM3396169_H.RData;GSM3396176_P.RData;GSM3396163_C1.RData","GSM3396169_H.RData;GSM3396163_C1.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","H0","GSM3396163_C1.RData",3,"GSM3396176_P.RData;GSM3396179_S1.RData;GSM3396169_H.RData","GSM3396179_S1.RData;GSM3396169_H.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","H0","GSM3396169_H.RData",3,"GSM3396176_P.RData;GSM3396179_S1.RData;GSM3396163_C1.RData","GSM3396179_S1.RData;GSM3396163_C1.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","H0","GSM3396176_P.RData",3,"GSM3396163_C1.RData;GSM3396169_H.RData;GSM3396179_S1.RData","GSM3396179_S1.RData;GSM3396163_C1.RData;GSM3396169_H.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","H0","GSM3396179_S1.RData",3,"GSM3396163_C1.RData;GSM3396176_P.RData;GSM3396169_H.RData","GSM3396169_H.RData;GSM3396163_C1.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","H1","GSM3396163_C1.RData",3,"GSM3396176_P.RData;GSM3396179_S1.RData;GSM3396169_H.RData","GSM3396179_S1.RData;GSM3396176_P.RData;GSM3396169_H.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","H1","GSM3396169_H.RData",3,"GSM3396176_P.RData;GSM3396163_C1.RData;GSM3396179_S1.RData","GSM3396179_S1.RData;GSM3396176_P.RData;GSM3396163_C1.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","H1","GSM3396176_P.RData",3,"GSM3396163_C1.RData;GSM3396169_H.RData;GSM3396179_S1.RData","GSM3396179_S1.RData;GSM3396163_C1.RData;GSM3396169_H.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","H1","GSM3396179_S1.RData",3,"GSM3396176_P.RData;GSM3396163_C1.RData;GSM3396169_H.RData","GSM3396163_C1.RData;GSM3396169_H.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","composite","GSM3396163_C1.RData",3,"GSM3396176_P.RData;GSM3396179_S1.RData;GSM3396169_H.RData","GSM3396179_S1.RData;GSM3396169_H.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","composite","GSM3396169_H.RData",3,"GSM3396176_P.RData;GSM3396163_C1.RData;GSM3396179_S1.RData","GSM3396179_S1.RData;GSM3396163_C1.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","composite","GSM3396176_P.RData",3,"GSM3396163_C1.RData;GSM3396169_H.RData;GSM3396179_S1.RData","GSM3396179_S1.RData;GSM3396163_C1.RData;GSM3396169_H.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","composite","GSM3396179_S1.RData",3,"GSM3396163_C1.RData;GSM3396176_P.RData;GSM3396169_H.RData","GSM3396163_C1.RData;GSM3396169_H.RData;GSM3396176_P.RData",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA645804_SRS2823407",3,"SRA742961_SRS3565197;SRA779509_SRS3805254;SRA742961_SRS3565203","SRA701877_SRS3279684;SRA701877_SRS3279688;SRA728025_SRS3454425",0,0,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA701877_SRS3279684",3,"SRA728025_SRS3454425;SRA701877_SRS3279688;SRA742961_SRS3565197","SRA728025_SRS3454425;SRA701877_SRS3279688;SRA645804_SRS2823407",2,0.5,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA701877_SRS3279688",3,"SRA728025_SRS3454425;SRA701877_SRS3279684;SRA742961_SRS3565197","SRA728025_SRS3454425;SRA701877_SRS3279684;SRA742961_SRS3565197",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA716608_SRS3391629",3,"SRA749327_SRS3693910;SRA742961_SRS3565203;SRA779509_SRS3805254","SRA749327_SRS3693910;SRA850958_SRS4386111;SRA742961_SRS3565203",2,0.5,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA728025_SRS3454425",3,"SRA701877_SRS3279684;SRA701877_SRS3279688;SRA742961_SRS3565197","SRA701877_SRS3279688;SRA701877_SRS3279684;SRA742961_SRS3565197",3,1,TRUE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA742961_SRS3565197",3,"SRA742961_SRS3565203;SRA779509_SRS3805254;SRA749327_SRS3693910","SRA716608_SRS3391629;SRA749327_SRS3693910;SRA779509_SRS3805254",2,0.5,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA742961_SRS3565203",3,"SRA749327_SRS3693910;SRA742961_SRS3565197;SRA779509_SRS3805254","SRA850958_SRS4386111;SRA716608_SRS3391629;SRA749327_SRS3693910",1,0.2,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA749327_SRS3693910",3,"SRA742961_SRS3565203;SRA779509_SRS3805254;SRA742961_SRS3565197","SRA716608_SRS3391629;SRA850958_SRS4386111;SRA742961_SRS3565203",1,0.2,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA779509_SRS3805254",3,"SRA749327_SRS3693910;SRA742961_SRS3565203;SRA742961_SRS3565197","SRA716608_SRS3391629;SRA749327_SRS3693910;SRA742961_SRS3565197",2,0.5,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H0","SRA850958_SRS4386111",3,"SRA716608_SRS3391629;SRA701877_SRS3279688;SRA728025_SRS3454425","SRA742961_SRS3565203;SRA716608_SRS3391629;SRA749327_SRS3693910",1,0.2,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H1","SRA645804_SRS2823407",3,"SRA779509_SRS3805254;SRA742961_SRS3565197;SRA728025_SRS3454425","SRA728025_SRS3454425;SRA701877_SRS3279684;SRA701877_SRS3279688",1,0.2,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H1","SRA701877_SRS3279684",3,"SRA779509_SRS3805254;SRA701877_SRS3279688;SRA645804_SRS2823407","SRA701877_SRS3279688;SRA728025_SRS3454425;SRA779509_SRS3805254",2,0.5,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H1","SRA701877_SRS3279688",3,"SRA701877_SRS3279684;SRA645804_SRS2823407;SRA779509_SRS3805254","SRA701877_SRS3279684;SRA779509_SRS3805254;SRA742961_SRS3565197",2,0.5,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H1","SRA716608_SRS3391629",3,"SRA728025_SRS3454425;SRA779509_SRS3805254;SRA645804_SRS2823407","SRA749327_SRS3693910;SRA850958_SRS4386111;SRA742961_SRS3565197",0,0,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H1","SRA728025_SRS3454425",3,"SRA779509_SRS3805254;SRA645804_SRS2823407;SRA742961_SRS3565197","SRA701877_SRS3279684;SRA779509_SRS3805254;SRA701877_SRS3279688",1,0.2,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H1","SRA742961_SRS3565197",3,"SRA779509_SRS3805254;SRA645804_SRS2823407;SRA749327_SRS3693910","SRA749327_SRS3693910;SRA779509_SRS3805254;SRA716608_SRS3391629",2,0.5,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H1","SRA742961_SRS3565203",3,"SRA645804_SRS2823407;SRA779509_SRS3805254;SRA749327_SRS3693910","SRA850958_SRS4386111;SRA749327_SRS3693910;SRA716608_SRS3391629",1,0.2,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H1","SRA749327_SRS3693910",3,"SRA742961_SRS3565197;SRA779509_SRS3805254;SRA742961_SRS3565203","SRA716608_SRS3391629;SRA850958_SRS4386111;SRA742961_SRS3565203",1,0.2,FALSE
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","H1","SRA779509_SRS3805254",3,"SRA645804_SRS2823407;SRA742961_SRS3565197;SRA728025_SRS3454425","SRA742961_SRS3565197;SRA716608_SRS3391629;SRA749327_SRS3693910",1,0.2,FALSE
