"contract_id","stratum_id","component_id","fit_scope_id","fit_sample_count","scale","scale_cache_key"
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","cell_H0","mv06a_descriptive_all_pilot_samples",4,58.1896353772882,"distance_scale_v1:b60d5127540d74eae318eb2b533b7de01f79d7294f8e498dbfb2414a1854f061"
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","cell_H1","mv06a_descriptive_all_pilot_samples",4,4.18851334065827,"distance_scale_v1:7474f2c412dd9944a4d0150af7118cd1f412c823b4e21a4b83817992a343b56a"
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_H0","mv06a_descriptive_all_pilot_samples",4,0.794574634407958,"distance_scale_v1:8cd1f1cada4f7c96e31121a028aa8f80f3c2100542b02e7def2d0e3b68724304"
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_H1","mv06a_descriptive_all_pilot_samples",4,0.027171620522446,"distance_scale_v1:60cf388bc916dfd5936b0e850cf3252c7def35711dbfd792188259c45e322349"
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","cell_H0","mv06a_descriptive_all_pilot_samples",4,56.6436250798156,"distance_scale_v1:68b6409d7057fa6c92c108bbb2b37be94199b0e9cc2a9680052850713df97a1f"
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","cell_H1","mv06a_descriptive_all_pilot_samples",4,3.53353197554437,"distance_scale_v1:49e32a9a1ff1dc22127ae3d2be3f82f3ed54b04d9d531841abd7faba76193791"
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_H0","mv06a_descriptive_all_pilot_samples",4,0.754511566169049,"distance_scale_v1:4be762e4106e416f38f0a2b451157769afc56d9b7d111afc9b21df3ee3d0be98"
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_H1","mv06a_descriptive_all_pilot_samples",4,0.0476297525300048,"distance_scale_v1:b0eaebfa77c9c1e4eb1f72b8a498a33bc439b9d9da2abf70dd2c76266872f290"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","cell_H0","mv06a_descriptive_all_pilot_samples",10,42.7585134234785,"distance_scale_v1:ed5f216817c015a857fc629890b001b40d2d983934d08eb67fd6e5bb33d09330"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","cell_H1","mv06a_descriptive_all_pilot_samples",10,0.912393642830555,"distance_scale_v1:968cfc166851575ff0f6921cc0ace078e73e1b2f9a3c477d0d0ebd17efe79651"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_H0","mv06a_descriptive_all_pilot_samples",10,0.912122905014324,"distance_scale_v1:fb3b4e07e2c14ec04684d3446f4f5ad5f33b1c98ea65600b38b7da58b7a668c0"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_H1","mv06a_descriptive_all_pilot_samples",10,0.0630137372995114,"distance_scale_v1:b3d522dfca761150373fa3eeb781ce0ed7f061c575009ceaf10dedbc181f7c14"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","cell_H0","mv06a_descriptive_all_pilot_samples",10,102.936506857692,"distance_scale_v1:9241197db05230d3dcd9b0086165f4ab14ee1aa047e0da9e0c2a446794666b26"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","cell_H1","mv06a_descriptive_all_pilot_samples",10,0.946664553507511,"distance_scale_v1:301dc813a390e5426855fb14d986ab986d20c4d44ed57e661d0a4453bcf74f67"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","gene_H0","mv06a_descriptive_all_pilot_samples",10,0.51679332618317,"distance_scale_v1:ca050ed0abc7a2371eea4ffbea18869029b2d536c129cfb6172f1a0cc8862c9a"
"mv06a_label_closed_fusion_feasibility_v1","large__seurat_integration","gene_H1","mv06a_descriptive_all_pilot_samples",10,0.0454421514830474,"distance_scale_v1:7430fa0190dc1888dfc3baf3d57857aea7b642491d40d7b751d1f3c8f99948f9"
