"contract_id","stratum_id","weight_id","gene_weight","cell_weight","first_sample_id","second_sample_id","distance"
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_000",0,1,"GSM3396163_C1.RData","GSM3396169_H.RData",1.49903079631814
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_000",0,1,"GSM3396163_C1.RData","GSM3396176_P.RData",0.806027956039589
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_000",0,1,"GSM3396163_C1.RData","GSM3396179_S1.RData",1.20965490821716
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_000",0,1,"GSM3396169_H.RData","GSM3396176_P.RData",1.10383290917642
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_000",0,1,"GSM3396169_H.RData","GSM3396179_S1.RData",0.760635643315306
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_000",0,1,"GSM3396176_P.RData","GSM3396179_S1.RData",0.897076987988377
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_025",0.25,0.75,"GSM3396163_C1.RData","GSM3396169_H.RData",1.32585297970435
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_025",0.25,0.75,"GSM3396163_C1.RData","GSM3396176_P.RData",0.895899580524492
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_025",0.25,0.75,"GSM3396163_C1.RData","GSM3396179_S1.RData",1.12401150095458
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_025",0.25,0.75,"GSM3396169_H.RData","GSM3396176_P.RData",1.145196561973
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_025",0.25,0.75,"GSM3396169_H.RData","GSM3396179_S1.RData",0.750828447861471
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_025",0.25,0.75,"GSM3396176_P.RData","GSM3396179_S1.RData",1.02849601179728
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_050",0.5,0.5,"GSM3396163_C1.RData","GSM3396169_H.RData",1.15267516309056
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_050",0.5,0.5,"GSM3396163_C1.RData","GSM3396176_P.RData",0.985771205009395
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_050",0.5,0.5,"GSM3396163_C1.RData","GSM3396179_S1.RData",1.038368093692
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_050",0.5,0.5,"GSM3396169_H.RData","GSM3396176_P.RData",1.18656021476957
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_050",0.5,0.5,"GSM3396169_H.RData","GSM3396179_S1.RData",0.741021252407635
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_050",0.5,0.5,"GSM3396176_P.RData","GSM3396179_S1.RData",1.15991503560617
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_075",0.75,0.25,"GSM3396163_C1.RData","GSM3396169_H.RData",0.979497346476766
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_075",0.75,0.25,"GSM3396163_C1.RData","GSM3396176_P.RData",1.0756428294943
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_075",0.75,0.25,"GSM3396163_C1.RData","GSM3396179_S1.RData",0.952724686429424
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_075",0.75,0.25,"GSM3396169_H.RData","GSM3396176_P.RData",1.22792386756615
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_075",0.75,0.25,"GSM3396169_H.RData","GSM3396179_S1.RData",0.7312140569538
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_075",0.75,0.25,"GSM3396176_P.RData","GSM3396179_S1.RData",1.29133405941507
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_100",1,0,"GSM3396163_C1.RData","GSM3396169_H.RData",0.806319529862974
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_100",1,0,"GSM3396163_C1.RData","GSM3396176_P.RData",1.1655144539792
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_100",1,0,"GSM3396163_C1.RData","GSM3396179_S1.RData",0.867081279166847
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_100",1,0,"GSM3396169_H.RData","GSM3396176_P.RData",1.26928752036272
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_100",1,0,"GSM3396169_H.RData","GSM3396179_S1.RData",0.721406861499965
"mv06a_label_closed_fusion_feasibility_v1","bone__integrated","gene_weight_100",1,0,"GSM3396176_P.RData","GSM3396179_S1.RData",1.42275308322397
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_000",0,1,"GSM3396163_C1.RData","GSM3396169_H.RData",1.16014541883987
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_000",0,1,"GSM3396163_C1.RData","GSM3396176_P.RData",0.765670642343208
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_000",0,1,"GSM3396163_C1.RData","GSM3396179_S1.RData",0.920161466855665
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_000",0,1,"GSM3396169_H.RData","GSM3396176_P.RData",0.831305423086271
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_000",0,1,"GSM3396169_H.RData","GSM3396179_S1.RData",1.17765693108987
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_000",0,1,"GSM3396176_P.RData","GSM3396179_S1.RData",1.07983853314433
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396163_C1.RData","GSM3396169_H.RData",1.13831608127362
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396163_C1.RData","GSM3396176_P.RData",0.891011986204167
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396163_C1.RData","GSM3396179_S1.RData",0.879327512912828
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396169_H.RData","GSM3396176_P.RData",0.963677314237335
"mv06a_label_closed_fusion_feasibility_v1","bone__sct_whole","gene_weight_025",0.25,0.75,"GSM3396169_H.RData","GSM3396179_S1.RData",1.08917488800974
