"contract_id","fold_id","held_out_study","seed","training_views","query_views","sct_incomplete_panel_views","sct_missing_feature_instances","sct_maximum_missing_features","sct_full_panel_group","integrated_incomplete_panel_views","integrated_missing_feature_instances","integrated_maximum_missing_features","integrated_full_panel_group","integrated_expression_payload_defined"
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA550660","SRA550660",20260805,85,5,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA550660","SRA550660",20260806,85,5,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA550660","SRA550660",20260807,85,5,1,1,1,FALSE,1,1,1,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA550660","SRA550660",20260808,85,5,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA550660","SRA550660",20260809,85,5,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA621638","SRA621638",20260805,88,2,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA621638","SRA621638",20260806,88,2,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA621638","SRA621638",20260807,88,2,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA621638","SRA621638",20260808,88,2,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA621638","SRA621638",20260809,88,2,0,0,0,TRUE,0,0,0,TRUE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA628554","SRA628554",20260805,88,2,1,2,2,FALSE,1,2,2,FALSE,FALSE
"mv06b_group_structural_inventory_v1","large_loso_v1:SRA628554","SRA628554",20260806,88,2,1,1,1,FALSE,1,1,1,FALSE,FALSE
