"unit_id","disposition","exit_status","elapsed_seconds","peak_process_tree_rss_bytes","output_bytes","output_sha256","elapsed_cap_seconds","rss_cap_bytes","outcome_label_state","biological_outcomes_computed","contract_id","stage","fold_id","seed","view_id","h0_distance","h1_distance","combined_distance","h1_squared_fraction","h0_exact","h1_exact","h0_first_intervals","h0_second_intervals","h1_first_intervals","h1_second_intervals","landscape_cache_key"
"large_loso_v1_SRA784242__20260807__cell_topology_v1","completed",0,5.66411066055298,91770880,5398,"2698d1b9f9115929e35cdbb2defc93e8e57a035352202a0a62d56275257cb810",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",1,"large_loso_v1:SRA784242",20260807,"cell_topology_v1",43.3846797870759,1.53554583358384,43.4118456326628,0.00125114910001649,TRUE,TRUE,383,383,345,207,"mv06d_matched_landscape_pair_record_v1:b42912610c1498145bf64bfcfe09e90b221fbb0478f13d1fee96f5ee7afb892b"
"large_loso_v1_SRA784242__20260807__gene_topology_v1","completed",0,28.1128668785095,99500032,5931,"0a5d0e5de53c0a8c20dc9ee72fccce9c339cd4634c3eaa14b93bbc314d042211",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",1,"large_loso_v1:SRA784242",20260807,"gene_topology_v1",3.65508059772239,0.0345957065191426,3.65524431998139,8.95801090283261e-05,TRUE,FALSE,499,499,1102,111,"mv06d_matched_landscape_pair_record_v1:9bafbd6d72687aa08eed1ac318ed48aac5be3f65921630827dc65abd35d149ac"
"large_loso_v1_SRA713577__20260805__cell_topology_v1","completed",0,6.67963790893555,95961088,5398,"0a47f86004634b1b32dd00ca51c6150130390f77ac92faac95e73ef509bebc76",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",2,"large_loso_v1:SRA713577",20260805,"cell_topology_v1",26.628546619214,1.2215039467712,26.6565482938739,0.00209981930236169,TRUE,TRUE,383,383,365,291,"mv06d_matched_landscape_pair_record_v1:14cf57cfcc46e5226f314006485a88bdab8546303015af036cd0b6308010cff9"
"large_loso_v1_SRA713577__20260805__gene_topology_v1","completed",0,57.7516074180603,108941312,5931,"bfdd06120d43dbc101a0a4c26e17b0cbae942cef81454604ca4150fa36ec9e29",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",2,"large_loso_v1:SRA713577",20260805,"gene_topology_v1",1.17575365812737,0.0295054018655239,1.17612381718046,0.000629356872095175,TRUE,FALSE,499,499,1635,532,"mv06d_matched_landscape_pair_record_v1:68f23ac267478a6bc057e61f5b20ada0cdab4f95370f38715d2b2dfd1a91d34c"
"large_loso_v1_SRA628554__20260806__cell_topology_v1","completed",0,8.24894165992737,113840128,5398,"5c20f0c65e44018772ee4d4a097fda407738892856d50e47d45b0d6ecd83c63d",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",2,"large_loso_v1:SRA628554",20260806,"cell_topology_v1",54.729901088268,1.69395981609378,54.7561099146948,0.000957064118859476,TRUE,TRUE,383,383,486,203,"mv06d_matched_landscape_pair_record_v1:db23e31d117824c56043883ddab6fdc6414c656bfe24b52db0aee2cd93536d4b"
"large_loso_v1_SRA628554__20260806__gene_topology_v1","completed",0,76.2111885547638,122781696,5931,"585e216a47bf08b8842db6ec5da2d1c0b988316f0537877a6aba0c643f6be114",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",2,"large_loso_v1:SRA628554",20260806,"gene_topology_v1",4.82450899663757,0.0528229929922873,4.82479816440289,0.000119863708295827,TRUE,FALSE,499,499,2540,120,"mv06d_matched_landscape_pair_record_v1:5330b5b187de4011ba825fc442883000ab97bdc882fc06ad6ef3cbc5d2ab141e"
"large_loso_v1_SRA826293__20260808__cell_topology_v1","completed",0,5.45089173316956,93802496,5398,"20450d965eb5bbfd3b6b5871b66b8c10874babcb5b98f4da64f2922db9c06be4",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",2,"large_loso_v1:SRA826293",20260808,"cell_topology_v1",30.6466373032339,1.05280551870442,30.664715512396,0.0011787410975312,TRUE,TRUE,383,383,297,196,"mv06d_matched_landscape_pair_record_v1:77ebde70b58ce5727f847a1a5e8b26b426367b416e394d8f378a79463e4a0e6e"
"large_loso_v1_SRA826293__20260808__gene_topology_v1","completed",0,9.00203728675842,119873536,5398,"8d6d443ae12c7cf14868fd693564271351a764fa7f38c89883a84e5d2284e730",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",2,"large_loso_v1:SRA826293",20260808,"gene_topology_v1",2.53969765092482,0.0236499515288408,2.53980776404837,8.67079297367633e-05,TRUE,TRUE,499,499,476,105,"mv06d_matched_landscape_pair_record_v1:ee3f438f83e2e0ac1fee6f6aedf30140fe87da8c8344c0055e65333260015f8a"
"large_loso_v1_SRA779509__20260809__cell_topology_v1","completed",0,4.891930103302,91627520,5398,"574b52bdc21cd085de020bb64605a386e6e094ce8a66dbb7fc3bf8326165f92d",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",2,"large_loso_v1:SRA779509",20260809,"cell_topology_v1",16.505194718056,1.20276124600579,16.5489603086066,0.00528223141723962,TRUE,TRUE,383,383,264,231,"mv06d_matched_landscape_pair_record_v1:78b1a33a45b077f49d542ffaff06f84fea0c95d7538477c9cd6c5f1f4734c0b9"
"large_loso_v1_SRA779509__20260809__gene_topology_v1","completed",0,6.45567941665649,99450880,5398,"7c58eb57b1aa352d6f8f8a24c63496c0f421a3201204f4adf95a1eeb5cd7f07e",1800,8589934592,"closed",FALSE,"mv06d_landscape_resource_metric_v1",2,"large_loso_v1:SRA779509",20260809,"gene_topology_v1",1.92906057783564,0.0176025248401681,1.92914088698579,8.32572458317373e-05,TRUE,TRUE,499,499,289,118,"mv06d_matched_landscape_pair_record_v1:d9e4bcbe674af9688d704413cf9e1c35694055167dc8df971ba1aab68b417523"
