"unit_id","disposition","exit_status","elapsed_seconds","peak_process_tree_rss_bytes","output_bytes","output_sha256","elapsed_cap_seconds","rss_cap_bytes","outcome_label_state","biological_outcomes_computed","contract_id","stage","fold_id","seed","role","view_id","sample_id","point_count","h0_intervals","h1_intervals","h0_mst_error","h0_mst_passed","ph_cache_key"
"large_loso_v1_SRA784242__20260807__held_out__cell_topology_v1","completed",0,1.05291938781738,81674240,28842,"21376e9c9195cb8b57c4f923039fbbc00548eb6425c23c35f9daa1e1598db954",600,4294967296,"closed",FALSE,"mv06d_ph_resource_metric_v1",1,"large_loso_v1:SRA784242",20260807,"held_out","cell_topology_v1","SRA784242_SRS3822680",384,384,345,0,TRUE,"mv06d_matched_ph_record_v1:bb8179cc2df4f405b2ae5ae62971defc6af23f55bd0899cac0942451f8550ce6"
"large_loso_v1_SRA784242__20260807__held_out__gene_topology_v1","completed",0,1.04007053375244,85069824,59992,"00137590e06c64cd9af849c7ec3de489bd89cf37d26e2e945583a8990d6e9e75",1800,8589934592,"closed",FALSE,"mv06d_ph_resource_metric_v1",1,"large_loso_v1:SRA784242",20260807,"held_out","gene_topology_v1","SRA784242_SRS3822680",500,500,1102,0,TRUE,"mv06d_matched_ph_record_v1:18d07da650827a9c05d39a0f03efb25d7fb3643c5612804380486779bca13ebe"
"large_loso_v1_SRA784242__20260807__training__cell_topology_v1","completed",0,1.0375702381134,82612224,24012,"e9607fd4a912f69ac0300dae6a78d970caf606ce222b002b8b65b15b43884895",600,4294967296,"closed",FALSE,"mv06d_ph_resource_metric_v1",1,"large_loso_v1:SRA784242",20260807,"training","cell_topology_v1","SRA645804_SRS2823410",384,384,207,0,TRUE,"mv06d_matched_ph_record_v1:fc8c4d905c04949eba84d4ebab37cb2e29b1f26bc386b250ea84859b87faeaae"
"large_loso_v1_SRA784242__20260807__training__gene_topology_v1","completed",0,1.0357403755188,84234240,24705,"10d0dbb707ba681b30114cca208a08fcb4c9fa57abb6c6a23e16dcfbf9e6670b",1800,8589934592,"closed",FALSE,"mv06d_ph_resource_metric_v1",1,"large_loso_v1:SRA784242",20260807,"training","gene_topology_v1","SRA645804_SRS2823410",500,500,111,0,TRUE,"mv06d_matched_ph_record_v1:0efc846858952d4632fc82360d288b5365160021eaa36675f5e9b57f729217b7"
"large_loso_v1_SRA713577__20260805__held_out__cell_topology_v1","completed",0,1.04241538047791,78262272,29542,"e3093d8553e1b0702065a0e492ea59a5438ad8272a8a204ff1f2e2cb31402711",600,4294967296,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA713577",20260805,"held_out","cell_topology_v1","SRA713577_SRS3363004",384,384,365,0,TRUE,"mv06d_matched_ph_record_v1:5e543538ce4af48adc3b74b3acd51359b339f3bd381442ea9e84861aca2f1711"
"large_loso_v1_SRA713577__20260805__held_out__gene_topology_v1","completed",0,1.31527280807495,90619904,79180,"165a9fc76f4029302779156d4975a3569406fcc4d9eddae20a6b27c125f6741e",1800,8589934592,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA713577",20260805,"held_out","gene_topology_v1","SRA713577_SRS3363004",500,500,1635,0,TRUE,"mv06d_matched_ph_record_v1:b69684f2972f815d2ad4e2e3a55511b4be971535bc119cde8504de6031637e76"
"large_loso_v1_SRA713577__20260805__training__cell_topology_v1","completed",0,1.04135131835938,86319104,26952,"a14201e125627f80990be286d1d64c0ee18657da6614c18cf00f9e869c62d690",600,4294967296,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA713577",20260805,"training","cell_topology_v1","SRA645804_SRS2823406",384,384,291,0,TRUE,"mv06d_matched_ph_record_v1:ca4e4d7812f329ee18c81e3169c35be51c9128e3efb938ce1001ef6c758e2b1e"
"large_loso_v1_SRA713577__20260805__training__gene_topology_v1","completed",0,1.03818678855896,84283392,39472,"9ef12c7e0bc2a2ce6897991cbbc41548084395fc19e5b30e7c735135e109c8aa",1800,8589934592,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA713577",20260805,"training","gene_topology_v1","SRA645804_SRS2823406",500,500,532,0,TRUE,"mv06d_matched_ph_record_v1:aded5687f1a69e622b388941826e1643bbb32ee64fb4f7b2aa43eb35b8406766"
"large_loso_v1_SRA628554__20260806__held_out__cell_topology_v1","completed",0,1.03926849365234,81735680,33777,"01a5e6bfab6ac9b28fd64ec5abc3efe0d67f34fdbba113f363119211634195c8",600,4294967296,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA628554",20260806,"held_out","cell_topology_v1","SRA628554_SRS2664365",384,384,486,0,TRUE,"mv06d_matched_ph_record_v1:d859bafd783c8fbdb2ad2e3f2c0a114cdcce63c076aa00e81d2ce91a00e34cb4"
"large_loso_v1_SRA628554__20260806__held_out__gene_topology_v1","completed",0,2.06787467002869,109096960,111760,"ea118362d8e2110245c7cf386f30092994357b12e0aa9e427323559ba414276f",1800,8589934592,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA628554",20260806,"held_out","gene_topology_v1","SRA628554_SRS2664365",500,500,2540,0,TRUE,"mv06d_matched_ph_record_v1:2acd8ee8a4c967c7b77173cc645230158471aebdc3a9e5ac0326d87f83143c61"
"large_loso_v1_SRA628554__20260806__training__cell_topology_v1","completed",0,0.795962572097778,76648448,23872,"4268dc08895f91d56975d646ec937a080ae6e749af2374b5fed5bcfc38d45d78",600,4294967296,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA628554",20260806,"training","cell_topology_v1","SRA645804_SRS2823410",384,384,203,0,TRUE,"mv06d_matched_ph_record_v1:7da56d5f274597fc523332c98de045182a37f7a4717a3a5fa20b272c6c0a5ead"
"large_loso_v1_SRA628554__20260806__training__gene_topology_v1","completed",0,1.04376220703125,85479424,25020,"d96f17bd28519d89d662973d1e78171e6f705ac1eea6e34b68dda24093780cef",1800,8589934592,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA628554",20260806,"training","gene_topology_v1","SRA645804_SRS2823410",500,500,120,0,TRUE,"mv06d_matched_ph_record_v1:87f3e72d4ea088ad6ddb246df6f5c0c8d58615ad276bf2000aebdd44650c53e7"
"large_loso_v1_SRA826293__20260808__held_out__cell_topology_v1","completed",0,1.05804061889648,81874944,27162,"8bc4c3b1893941ea2e9dbf4e8696407d5a386dbf8d8072aa63b73773b6bf4e9d",600,4294967296,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA826293",20260808,"held_out","cell_topology_v1","SRA826293_SRS4181128",384,384,297,0,TRUE,"mv06d_matched_ph_record_v1:9204103fbc1320d540caf5412ea7a7796789543d683937359329773e58352564"
"large_loso_v1_SRA826293__20260808__held_out__gene_topology_v1","completed",0,1.05947351455688,84217856,37480,"91c1a9f3b9f741e18e3316c80c6925fa15a2d13b22af63d7d8832f7763c37363",1800,8589934592,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA826293",20260808,"held_out","gene_topology_v1","SRA826293_SRS4181128",500,500,476,0,TRUE,"mv06d_matched_ph_record_v1:22b54530ba1c2b208533c5ae1f33ef26c778414e1cf40dd1cd19c56e8c4c0d8d"
"large_loso_v1_SRA826293__20260808__training__cell_topology_v1","completed",0,0.800242185592651,76595200,23627,"1119de903728ce3afd018277c123a58aedaf97098bfd2edd38cee90840ebc9c9",600,4294967296,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA826293",20260808,"training","cell_topology_v1","SRA645804_SRS2823410",384,384,196,0,TRUE,"mv06d_matched_ph_record_v1:82adf54e6f7762b37eaccc743a8c68049bf1397ac422643e558a76d37a98340f"
"large_loso_v1_SRA826293__20260808__training__gene_topology_v1","completed",0,1.04550933837891,84377600,24495,"7f2af70a14dcc7bcfca1da6d1d796c5ce10514e7b135c029cd0d85cebf3d46da",1800,8589934592,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA826293",20260808,"training","gene_topology_v1","SRA645804_SRS2823410",500,500,105,0,TRUE,"mv06d_matched_ph_record_v1:16df45b10e54fabbcad103086ff78bdc2904922fef7bb18341b50ea1cd7e57c0"
"large_loso_v1_SRA779509__20260809__held_out__cell_topology_v1","completed",0,1.04691910743713,82919424,26007,"0284b562a0a34e88850b82d24bde654628acae3f9590b37d936f05af37129ef9",600,4294967296,"closed",FALSE,"mv06d_ph_resource_metric_v1",2,"large_loso_v1:SRA779509",20260809,"held_out","cell_topology_v1","SRA779509_SRS3805262",384,384,264,0,TRUE,"mv06d_matched_ph_record_v1:a3970b0a7c02cc95fa0877b930e039c5a1e708653f01421c20452782e814c760"
