"contract_id","sentinel_id","stage","study_size_rank","fold_id","fit_scope_id","held_out_study","seed","role","sample_id","held_out_samples","training_samples","selected_cell_sha256","normalization_cache_key","private_cache_file","private_cache_size_bytes","private_cache_sha256","outcome_label_state","biological_outcomes_computed"
"mv06d_matched_sct_sentinel_v1","mv06d-s03-held_out",1,8,"large_loso_v1:SRA784242","large_loso_v1:SRA784242:training","SRA784242",20260807,"held_out","SRA784242_SRS3822680",4,86,"acb80a194bea3cab4c7439b6841e577160f9ebb933340c5e6dbf29f4554db413","mv05d0_sample_seed_sct_v2:f810ac6f39d740739f8accf75a1598db3552e2711de598d927eb00d89d924f2e","SRA784242_SRS3822680__20260807__sct.rds",5244273,"0c17c7a08ecd8cf8b2b9751b2cf9b98c9de84a796c7a730c59b79be0d49d12f4","closed",FALSE
"mv06d_matched_sct_sentinel_v1","mv06d-s03-training",1,8,"large_loso_v1:SRA784242","large_loso_v1:SRA784242:training","SRA784242",20260807,"training","SRA645804_SRS2823410",4,86,"0a1d9637dea8f9e77f637225258785b90bf67e07e678e9fed0ceb183e74bfdfd","mv05d0_sample_seed_sct_v2:153160924989373b1e88486a7385fe8b2eccebcc36d0989fce82dfb714c863b5","SRA645804_SRS2823410__20260807__sct.rds",21132316,"f99a7ef6873be8f47dd4501794587b211c8e43f3713ae155b6b98a93240dcb51","closed",FALSE
"mv06d_matched_sct_sentinel_v1","mv06d-s01-held_out",2,1,"large_loso_v1:SRA713577","large_loso_v1:SRA713577:training","SRA713577",20260805,"held_out","SRA713577_SRS3363004",1,89,"aeb6051d559a74ad461dfc898195eb6ffeaf488fa542ddf03c38819bafa439b0","mv05d0_sample_seed_sct_v2:7d17053a894fba601374e071e1d9c60d764086cc602f04e6ed6b8eb24daa411e","SRA713577_SRS3363004__20260805__sct.rds",5645666,"d7705ae69fde6f0c2c054d56208437b6404611ce20cce3e00604a6fcde9f4b23","closed",FALSE
"mv06d_matched_sct_sentinel_v1","mv06d-s01-training",2,1,"large_loso_v1:SRA713577","large_loso_v1:SRA713577:training","SRA713577",20260805,"training","SRA645804_SRS2823406",1,89,"96519fb74e57b0c0ba755e5b54377afda3bd26548862227f6ef64d36ab3615c6","mv05d0_sample_seed_sct_v2:572da010619d581be7aab7a73ab29988a4321d5679ddbb5a04d5950dfa7a61f1","SRA645804_SRS2823406__20260805__sct.rds",18908758,"22d3607bb9886d7025ab27657db76f6a933fc5159a2fa58cbb5b73677f86b180","closed",FALSE
"mv06d_matched_sct_sentinel_v1","mv06d-s02-held_out",2,4,"large_loso_v1:SRA628554","large_loso_v1:SRA628554:training","SRA628554",20260806,"held_out","SRA628554_SRS2664365",2,88,"7eab15f757120649094a718316feadfa269ab26016d2ed2431fc25798f70cd2b","mv05d0_sample_seed_sct_v2:436413c0181e29bbad04d97e636ea5ea358c7d24afcd8aff4b80cf8b8e44c55a","SRA628554_SRS2664365__20260806__sct.rds",4469854,"a05875c94b84776678c1daa0f3dfa2a9c542518b02d342a6dd6a18aa769e045d","closed",FALSE
"mv06d_matched_sct_sentinel_v1","mv06d-s02-training",2,4,"large_loso_v1:SRA628554","large_loso_v1:SRA628554:training","SRA628554",20260806,"training","SRA645804_SRS2823410",2,88,"addf0820af1462c39cf8765f96588bd517cac26144b04e2ca7e916f114a0d791","mv05d0_sample_seed_sct_v2:74ef63f60aa944d779faafbdf5a9c899400b2de13955cd3ebcb4482a13b2be3d","SRA645804_SRS2823410__20260806__sct.rds",21846253,"f1a561424f4df90e90b425e5a1938b619b6cdea46ddd63d423629db7bf8cdabf","closed",FALSE
"mv06d_matched_sct_sentinel_v1","mv06d-s04-held_out",2,12,"large_loso_v1:SRA826293","large_loso_v1:SRA826293:training","SRA826293",20260808,"held_out","SRA826293_SRS4181128",8,82,"207dafe2121e89f8d8cdf2d3c461b67d1d389c92a59c808a45c6fdaaacf9cdfe","mv05d0_sample_seed_sct_v2:1986c2fde0d4b3dec7b9292283a4d18b03b186d7a7ab9c42bc380b34e423833b","SRA826293_SRS4181128__20260808__sct.rds",10600158,"19d0f3362323394bcd3b205afefd12a5c39c184f64d236179342ead8babf6e51","closed",FALSE
"mv06d_matched_sct_sentinel_v1","mv06d-s04-training",2,12,"large_loso_v1:SRA826293","large_loso_v1:SRA826293:training","SRA826293",20260808,"training","SRA645804_SRS2823410",8,82,"29e1f40262ae30fe98df1a5bcdfda701a09ef8f043cf30ba1c84aa1a7c13b1c1","mv05d0_sample_seed_sct_v2:2b1a8041e26844b7ae8f7b697c77058bba1bf291c92ab231675ea7d6216319c3","SRA645804_SRS2823410__20260808__sct.rds",20234685,"a864ac9a8eb6ecfbd801ce8bf685f803980f85774b14586923777087b25349c8","closed",FALSE
"mv06d_matched_sct_sentinel_v1","mv06d-s05-held_out",2,15,"large_loso_v1:SRA779509","large_loso_v1:SRA779509:training","SRA779509",20260809,"held_out","SRA779509_SRS3805262",25,65,"2982e7012f193e7376496c128886bde64a52c6cb24310c77f96a288c06dd052d","mv05d0_sample_seed_sct_v2:b3a3f96cc70cc6ad0568fb677e479ef0e9014daa2c70ab1aa44fde0b6188060c","SRA779509_SRS3805262__20260809__sct.rds",5867207,"eb6334d1a12d89426d7c96d01660b0f173b358836e34ab8ad238f82b3e898f58","closed",FALSE
"mv06d_matched_sct_sentinel_v1","mv06d-s05-training",2,15,"large_loso_v1:SRA779509","large_loso_v1:SRA779509:training","SRA779509",20260809,"training","SRA645804_SRS2823410",25,65,"49b02e4ad8922a10d2982afe3feec1ee1a20311fc3dd892e8f29587e2cc158df","mv05d0_sample_seed_sct_v2:28d6917f6e6b3b83ca622d44b899d7611c0d2faa16c728a3a13ada8da948fbd8","SRA645804_SRS2823410__20260809__sct.rds",22570179,"f755cd8ad55d6cdb240091fafdca55146b8090bf45aa1d6aa7c10435f86b46ed","closed",FALSE
