"contract_id","pair_id","view_id","homology_dimension","first_diagram_id","second_diagram_id","outcome_label_state","biological_outcomes_computed"
"mv06e_throughput_pair_v1","mv06e_pair_v1:00d6f41030d5f91964abb7c3c434bb737f032aada8a9138e55841448391af34e","cell_topology_v1","H1","mv06e_diagram_v1:7bcb13b339fc4f309194c9f5904fcafe4c50d2ba553a6dfff0b4b4143078666f","mv06e_diagram_v1:e827a724e1bd3447756fe6ac4e80aa37ab59537f64ddb480133ddc48978213f0","closed",FALSE
"mv06e_throughput_pair_v1","mv06e_pair_v1:021ea054ea7e82ac7ba23433425ff7096d9a83fc6352fdf0c1c94be5a2610350","cell_topology_v1","H1","mv06e_diagram_v1:26c3d94b43154cf3df4ab8415f43868a40ec8799f2d0ac9cdfe922773873ed72","mv06e_diagram_v1:9622964daf402aa589ac37f7f7f904d474b9cd81a5337a734b6de07f7bcdcd22","closed",FALSE
"mv06e_throughput_pair_v1","mv06e_pair_v1:03f628ddc1cf3b1656a8fa73d02a1fa7e03d7af22e8f233937ffc94513731f62","cell_topology_v1","H1","mv06e_diagram_v1:e827a724e1bd3447756fe6ac4e80aa37ab59537f64ddb480133ddc48978213f0","mv06e_diagram_v1:ffa4ec0f53edc50bbf7fd03bd782575b90dcc09c32f4a8ea6019161062e73de0","closed",FALSE
"mv06e_throughput_pair_v1","mv06e_pair_v1:0905252a9f0dcc217b546b7a910c0a09c863dec355a720bb6c54fe908f60aa59","cell_topology_v1","H0","mv06e_diagram_v1:7bcb13b339fc4f309194c9f5904fcafe4c50d2ba553a6dfff0b4b4143078666f","mv06e_diagram_v1:9622964daf402aa589ac37f7f7f904d474b9cd81a5337a734b6de07f7bcdcd22","closed",FALSE
"mv06e_throughput_pair_v1","mv06e_pair_v1:0cbcabee5d1271c8f89975b0520497c7924821bb881e9164b9278cf88d38d36c","cell_topology_v1","H0","mv06e_diagram_v1:9622964daf402aa589ac37f7f7f904d474b9cd81a5337a734b6de07f7bcdcd22","mv06e_diagram_v1:e69267c6d2508bd1d78278cb7e22433ae939e6e16e2f5424125987cefa4180d3","closed",FALSE
"mv06e_throughput_pair_v1","mv06e_pair_v1:0f36c0b55a002599aa90a9bfe94b19ff7da7e6e8087004000eb47691ab8d4ece","cell_topology_v1","H1","mv06e_diagram_v1:26c3d94b43154cf3df4ab8415f43868a40ec8799f2d0ac9cdfe922773873ed72","mv06e_diagram_v1:7bcb13b339fc4f309194c9f5904fcafe4c50d2ba553a6dfff0b4b4143078666f","closed",FALSE
"mv06e_throughput_pair_v1","mv06e_pair_v1:13b0567c81516ea95f310e432a72adcef4e55510e4de13dbfffa235b4e1081f1","cell_topology_v1","H1","mv06e_diagram_v1:7bcb13b339fc4f309194c9f5904fcafe4c50d2ba553a6dfff0b4b4143078666f","mv06e_diagram_v1:d64340b00ac5fac495d2504e7bf9d67a88adce7c8eb019a754f583e2d03e083e","closed",FALSE
"mv06e_throughput_pair_v1","mv06e_pair_v1:19fe9a985608ef62c2ae5bab6941b6580240f4bcdab999d19bf121aa2d27913e","cell_topology_v1","H0","mv06e_diagram_v1:e827a724e1bd3447756fe6ac4e80aa37ab59537f64ddb480133ddc48978213f0","mv06e_diagram_v1:ffa4ec0f53edc50bbf7fd03bd782575b90dcc09c32f4a8ea6019161062e73de0","closed",FALSE
"mv06e_throughput_pair_v1","mv06e_pair_v1:1c510f05c794eb035b3426228d98ae1142d80a9dc265d8802fa5d6697b1add9d","cell_topology_v1","H0","mv06e_diagram_v1:5f2f73c392463f65e025587dfea68bbc83d3a7ce7626943157da713a28f06f26","mv06e_diagram_v1:7bcb13b339fc4f309194c9f5904fcafe4c50d2ba553a6dfff0b4b4143078666f","closed",FALSE
"mv06e_throughput_pair_v1","mv06e_pair_v1:1cbdcfc2de0b59d02bd5753d4687cb4dbf191a6ffbff9e675d9c49f0c06a0ef4","cell_topology_v1","H0","mv06e_diagram_v1:26c3d94b43154cf3df4ab8415f43868a40ec8799f2d0ac9cdfe922773873ed72","mv06e_diagram_v1:ffa4ec0f53edc50bbf7fd03bd782575b90dcc09c32f4a8ea6019161062e73de0","closed",FALSE
