"contract_id","group_id","fold_id","fit_scope_id","held_out_study","seed","training_samples","held_out_samples","cell_ph_jobs","gene_ph_jobs","diagram_dimension_records","biological_pairs","landscape_component_rows","outcome_label_state","biological_outcomes_computed","fusion_jobs","clustering_jobs","outcome_jobs","stage","execution_order"
"mv06f_group_queue_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","large_loso_v1:SRA779509","large_loso_v1:SRA779509:training","SRA779509",20260807,65,25,90,90,360,1625,6500,"closed",FALSE,0,0,0,"stage_1_maximum",1
"mv06f_group_queue_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7","large_loso_v1:SRA779509","large_loso_v1:SRA779509:training","SRA779509",20260805,65,25,90,90,360,1625,6500,"closed",FALSE,0,0,0,"stage_2",2
"mv06f_group_queue_v1","mv06f_group_v1:dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065","large_loso_v1:SRA779509","large_loso_v1:SRA779509:training","SRA779509",20260806,65,25,90,90,360,1625,6500,"closed",FALSE,0,0,0,"stage_2",3
"mv06f_group_queue_v1","mv06f_group_v1:9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665","large_loso_v1:SRA779509","large_loso_v1:SRA779509:training","SRA779509",20260808,65,25,90,90,360,1625,6500,"closed",FALSE,0,0,0,"stage_2",4
"mv06f_group_queue_v1","mv06f_group_v1:93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67","large_loso_v1:SRA779509","large_loso_v1:SRA779509:training","SRA779509",20260809,65,25,90,90,360,1625,6500,"closed",FALSE,0,0,0,"stage_2",5
"mv06f_group_queue_v1","mv06f_group_v1:2519b46581f7f2c91691fbe8e7b5d3dee98d00bdf38dace46a96d025dd694b26","large_loso_v1:SRA645804","large_loso_v1:SRA645804:training","SRA645804",20260805,80,10,90,90,360,800,3200,"closed",FALSE,0,0,0,"stage_2",6
"mv06f_group_queue_v1","mv06f_group_v1:46fb2e2ee24ce2b14b9bc31f5f076ac7240b86ef871227f8e2593e9eb8444f66","large_loso_v1:SRA645804","large_loso_v1:SRA645804:training","SRA645804",20260806,80,10,90,90,360,800,3200,"closed",FALSE,0,0,0,"stage_2",7
"mv06f_group_queue_v1","mv06f_group_v1:92c24466932dbbdc2c20c1f18664eb2ed4b07f5c013dfdeee20ed9381a6fcdd3","large_loso_v1:SRA645804","large_loso_v1:SRA645804:training","SRA645804",20260807,80,10,90,90,360,800,3200,"closed",FALSE,0,0,0,"stage_2",8
"mv06f_group_queue_v1","mv06f_group_v1:394be69720fe1c8d1f1079746d7f8b512262c954632e11fbbc488f93697ebc15","large_loso_v1:SRA645804","large_loso_v1:SRA645804:training","SRA645804",20260808,80,10,90,90,360,800,3200,"closed",FALSE,0,0,0,"stage_2",9
"mv06f_group_queue_v1","mv06f_group_v1:028dc0fb6bf19467f7d7f98b72c2b356b558ae4647763fd9f96ad1022346d34d","large_loso_v1:SRA645804","large_loso_v1:SRA645804:training","SRA645804",20260809,80,10,90,90,360,800,3200,"closed",FALSE,0,0,0,"stage_2",10
"mv06f_group_queue_v1","mv06f_group_v1:202da4b3725f8981b02bd1b53a07055ab079a4f3995ae4e5cb4fb7f60dacc4b0","large_loso_v1:SRA728025","large_loso_v1:SRA728025:training","SRA728025",20260805,81,9,90,90,360,729,2916,"closed",FALSE,0,0,0,"stage_2",11
"mv06f_group_queue_v1","mv06f_group_v1:19131b37e2c9b21894c06d7dc933e65aabe3b75b6453cf2e3b9dee1c9a75c621","large_loso_v1:SRA728025","large_loso_v1:SRA728025:training","SRA728025",20260806,81,9,90,90,360,729,2916,"closed",FALSE,0,0,0,"stage_2",12
"mv06f_group_queue_v1","mv06f_group_v1:adc0117d4c99bc1eb26bbec46d2d7790b200f9d4b3f46b85da022e89cae1fdad","large_loso_v1:SRA728025","large_loso_v1:SRA728025:training","SRA728025",20260807,81,9,90,90,360,729,2916,"closed",FALSE,0,0,0,"stage_2",13
"mv06f_group_queue_v1","mv06f_group_v1:2dbd4707322a9b93d461f93a522f7dd079fc0403847d8fbbccc4697db12de23d","large_loso_v1:SRA728025","large_loso_v1:SRA728025:training","SRA728025",20260808,81,9,90,90,360,729,2916,"closed",FALSE,0,0,0,"stage_2",14
"mv06f_group_queue_v1","mv06f_group_v1:edecded5b1ae4d084e6e5d13df954c48b837df89a4a4f667c7487242425bf2a0","large_loso_v1:SRA728025","large_loso_v1:SRA728025:training","SRA728025",20260809,81,9,90,90,360,729,2916,"closed",FALSE,0,0,0,"stage_2",15
"mv06f_group_queue_v1","mv06f_group_v1:6a6c02b897dc8af3a16c5599cb993b923d68d2c2bf3e7784cb65c01aaea7bf78","large_loso_v1:SRA826293","large_loso_v1:SRA826293:training","SRA826293",20260805,82,8,90,90,360,656,2624,"closed",FALSE,0,0,0,"stage_2",16
"mv06f_group_queue_v1","mv06f_group_v1:43f741b24882a216e9dea3995eff9193f316a6de993f9d242ea71e63ef10688e","large_loso_v1:SRA826293","large_loso_v1:SRA826293:training","SRA826293",20260806,82,8,90,90,360,656,2624,"closed",FALSE,0,0,0,"stage_2",17
"mv06f_group_queue_v1","mv06f_group_v1:6173ccea6d63851b2e9b82720bd8ede9dc2c3a7eac0ee941069a06c0bba1f6ef","large_loso_v1:SRA826293","large_loso_v1:SRA826293:training","SRA826293",20260807,82,8,90,90,360,656,2624,"closed",FALSE,0,0,0,"stage_2",18
"mv06f_group_queue_v1","mv06f_group_v1:83857e729b5c915d1730fa26a699f3c51f7b46c4e5c022a9d6a0b39dfd18b7a4","large_loso_v1:SRA826293","large_loso_v1:SRA826293:training","SRA826293",20260808,82,8,90,90,360,656,2624,"closed",FALSE,0,0,0,"stage_2",19
"mv06f_group_queue_v1","mv06f_group_v1:217c8c9c0c930f18f2771bf0196d626a14dfd0c03b58ff35e9c3f6305c982c6c","large_loso_v1:SRA826293","large_loso_v1:SRA826293:training","SRA826293",20260809,82,8,90,90,360,656,2624,"closed",FALSE,0,0,0,"stage_2",20
"mv06f_group_queue_v1","mv06f_group_v1:fc5d677c53b007825795a532217a7a0b304d1ba194ed55ac2b9453bb46528caf","large_loso_v1:SRA667709","large_loso_v1:SRA667709:training","SRA667709",20260805,84,6,90,90,360,504,2016,"closed",FALSE,0,0,0,"stage_2",21
"mv06f_group_queue_v1","mv06f_group_v1:d3489bd29f963998a866f656c34b28ad83f39f428edb2044db6ba7d6c74b497e","large_loso_v1:SRA667709","large_loso_v1:SRA667709:training","SRA667709",20260806,84,6,90,90,360,504,2016,"closed",FALSE,0,0,0,"stage_2",22
"mv06f_group_queue_v1","mv06f_group_v1:f626f7a23c0da9442869073a8d1578ff762ca365755279f9d24c91fa42f02744","large_loso_v1:SRA667709","large_loso_v1:SRA667709:training","SRA667709",20260807,84,6,90,90,360,504,2016,"closed",FALSE,0,0,0,"stage_2",23
"mv06f_group_queue_v1","mv06f_group_v1:4098ac5af058ba0e221a63270e46cf59c3d75ced53824e13d228750b93a14176","large_loso_v1:SRA667709","large_loso_v1:SRA667709:training","SRA667709",20260808,84,6,90,90,360,504,2016,"closed",FALSE,0,0,0,"stage_2",24
"mv06f_group_queue_v1","mv06f_group_v1:5a583b2218848b65208a9a6bb9aa69dedba69c7379bc71dbcb10d07756fb8843","large_loso_v1:SRA667709","large_loso_v1:SRA667709:training","SRA667709",20260809,84,6,90,90,360,504,2016,"closed",FALSE,0,0,0,"stage_2",25
"mv06f_group_queue_v1","mv06f_group_v1:4a29e4b73f9837e3269f46e4075ba7ff92d136a44fb18445e29ea5b5f700bfa2","large_loso_v1:SRA550660","large_loso_v1:SRA550660:training","SRA550660",20260805,85,5,90,90,360,425,1700,"closed",FALSE,0,0,0,"stage_2",26
