"contract_id","path","before_sha256","after_sha256","before_bytes","after_bytes","before_modified_epoch_seconds","after_modified_epoch_seconds","sha256_unchanged","bytes_unchanged","mtime_unchanged","outcome_label_state","biological_outcomes_computed"
"mv06f_complete_resume_v1","mv06f_group_v1_fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1/diagrams.rds","25e9780dc76b0da2fb9e2d503247eb0c6fb915d2d665b41cebc982e69ef0c832","25e9780dc76b0da2fb9e2d503247eb0c6fb915d2d665b41cebc982e69ef0c832",7484632,7484632,1786736945.98101,1786736945.98101,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1/diagram-manifest.csv","7a1828fb2aac8315577da0b8812c59660deef159eaeaad4c89a1c41d42f15f5f","7a1828fb2aac8315577da0b8812c59660deef159eaeaad4c89a1c41d42f15f5f",63070,63070,1786736945.98984,1786736945.98984,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1/distances.csv","776bf94392cb6c37a0fdc9243032f1f007ea580d497252bc4cb172ece1dd6a4c","776bf94392cb6c37a0fdc9243032f1f007ea580d497252bc4cb172ece1dd6a4c",2797261,2797261,1786736946.42291,1786736946.42291,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1/metrics.csv","378db26b187c0502525d5b42c9f594f9938a13ef1496c56d92134f30467a712a","378db26b187c0502525d5b42c9f594f9938a13ef1496c56d92134f30467a712a",361,361,1786736946.42291,1786736946.42291,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1/status.csv","7598d5e3398e49ebd977f6eeeefbbcc3a37effc29aed57d96a87cc175453ce19","7598d5e3398e49ebd977f6eeeefbbcc3a37effc29aed57d96a87cc175453ce19",1106,1106,1786736947.14093,1786736947.14093,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7/diagrams.rds","21feae3c4670e6827a670ceea06df04aac0b46f7daa221e6e9abdb32b1ab97fc","21feae3c4670e6827a670ceea06df04aac0b46f7daa221e6e9abdb32b1ab97fc",7420061,7420061,1786739264.84308,1786739264.84308,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7/diagram-manifest.csv","cc98877226bfc8d290efba66d5aff7324c2a0109643eb0f66e5f340d1adf51dc","cc98877226bfc8d290efba66d5aff7324c2a0109643eb0f66e5f340d1adf51dc",63068,63068,1786739264.85887,1786739264.85887,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7/distances.csv","80e5b0c694ca9028779dbce1bfc6f501077dbc839a90cdc5a4351d4165688b17","80e5b0c694ca9028779dbce1bfc6f501077dbc839a90cdc5a4351d4165688b17",2797074,2797074,1786739265.31849,1786739265.31849,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7/metrics.csv","2c6efe558f186ac1a65a05b5755c1c65158f2f5af835611451890e932b896108","2c6efe558f186ac1a65a05b5755c1c65158f2f5af835611451890e932b896108",361,361,1786739265.31849,1786739265.31849,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7/status.csv","0cff75e7f1a889e492975a4f301635c5e186cbaa7f8a3b200fc1b1ff42d9e7ad","0cff75e7f1a889e492975a4f301635c5e186cbaa7f8a3b200fc1b1ff42d9e7ad",1106,1106,1786739266.06041,1786739266.06041,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065/diagrams.rds","b3d1195d1b7e87b3ce96ddedc257f0535bbde0d1fede770e55ac74eeb408a67f","b3d1195d1b7e87b3ce96ddedc257f0535bbde0d1fede770e55ac74eeb408a67f",7480903,7480903,1786740099.40948,1786740099.40948,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065/diagram-manifest.csv","e199e16c1ebfb673aa11723a5a033b9013ddc98ade10b9e80b140f94c871de8c","e199e16c1ebfb673aa11723a5a033b9013ddc98ade10b9e80b140f94c871de8c",63068,63068,1786740099.42787,1786740099.42787,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065/distances.csv","08a257609f67ad8078c574b08de810c972d049c772e9ea2b9b0b15250fb54a0b","08a257609f67ad8078c574b08de810c972d049c772e9ea2b9b0b15250fb54a0b",2797133,2797133,1786740099.89038,1786740099.89038,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065/metrics.csv","ddb5df6ab5749993d3ceab4dd3333a0004492b61461d6862f05292b918f3b49e","ddb5df6ab5749993d3ceab4dd3333a0004492b61461d6862f05292b918f3b49e",360,360,1786740099.89825,1786740099.89825,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065/status.csv","269a4ce362ac348649ae16a64ac8fa3dc458722fc7d3301be21e9b8c8bf49e4a","269a4ce362ac348649ae16a64ac8fa3dc458722fc7d3301be21e9b8c8bf49e4a",1106,1106,1786740100.64469,1786740100.64469,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665/diagrams.rds","433793f8281a50201d16a85d29576c6bb5a3395f0a79e38ea215682e4f1faff3","433793f8281a50201d16a85d29576c6bb5a3395f0a79e38ea215682e4f1faff3",7473148,7473148,1786740414.38531,1786740414.38531,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665/diagram-manifest.csv","bd118ab52aaa34a1b77b2467943c85c30cf40ecbbde550c6600f7fff94a97efb","bd118ab52aaa34a1b77b2467943c85c30cf40ecbbde550c6600f7fff94a97efb",63066,63066,1786740414.39499,1786740414.39499,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665/distances.csv","0bf74d5c229bdfa2bc24e998f588aecb4c3f8a459e96dc094bb237df96770f27","0bf74d5c229bdfa2bc24e998f588aecb4c3f8a459e96dc094bb237df96770f27",2797357,2797357,1786740414.89589,1786740414.89589,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665/metrics.csv","3939538fcf7595fa2f5c3379d3d7e1121e730ab7e4ac1d72121db7ad1213ff7e","3939538fcf7595fa2f5c3379d3d7e1121e730ab7e4ac1d72121db7ad1213ff7e",361,361,1786740414.90742,1786740414.90742,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665/status.csv","b2ff3312707bede23868dee773bc23d16a21fa0af7cc0906a54ea893893bbebf","b2ff3312707bede23868dee773bc23d16a21fa0af7cc0906a54ea893893bbebf",1106,1106,1786740415.77282,1786740415.77282,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67/diagrams.rds","aa4614e40ab81b9c5a9a6a1c1b8ebb5ef2964e6696dfcf31bbacc76c01284f68","aa4614e40ab81b9c5a9a6a1c1b8ebb5ef2964e6696dfcf31bbacc76c01284f68",7482299,7482299,1786740751.60975,1786740751.60975,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67/diagram-manifest.csv","ed154b368ab04aedad22adf0b7def97eb19c4e6dc39fe7903a12fb58eaddb469","ed154b368ab04aedad22adf0b7def97eb19c4e6dc39fe7903a12fb58eaddb469",63069,63069,1786740751.63517,1786740751.63517,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67/distances.csv","e0a00402a9a5e6e3e72a4a8ee06abc7fd89cae1da49a79fab2a4276d85d9e805","e0a00402a9a5e6e3e72a4a8ee06abc7fd89cae1da49a79fab2a4276d85d9e805",2797316,2797316,1786740752.19887,1786740752.19887,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67/metrics.csv","617916d9d4d2eef47bc221803f90b5e9126a9c653da6034f100c33adee8e7d31","617916d9d4d2eef47bc221803f90b5e9126a9c653da6034f100c33adee8e7d31",361,361,1786740752.2036,1786740752.2036,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67/status.csv","b116214642bfb712681b82656156ea4416fc71bc26f5531238dc619d2d232bd2","b116214642bfb712681b82656156ea4416fc71bc26f5531238dc619d2d232bd2",1106,1106,1786740753.64597,1786740753.64597,TRUE,TRUE,TRUE,"closed",FALSE
"mv06f_complete_resume_v1","mv06f_group_v1_2519b46581f7f2c91691fbe8e7b5d3dee98d00bdf38dace46a96d025dd694b26/diagrams.rds","54514ded6065eefb9afa28668b9af37a7097c587ce827c092b8b92ae0e44a30d","54514ded6065eefb9afa28668b9af37a7097c587ce827c092b8b92ae0e44a30d",7405081,7405081,1786741109.93066,1786741109.93066,TRUE,TRUE,TRUE,"closed",FALSE
