"contract_id","group_id","pair_id","fold_id","seed","query_sample_id","training_sample_id","view_id","homology_dimension","first_finite_intervals","second_finite_intervals","selection_stratum","outcome_label_state","biological_outcomes_computed"
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:000ce23b2f4a5b84e3dba326f17c05d521a3342a17b77f4e8ed14a0d58ab5402","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805249","SRA728025_SRS3454427","cell_topology_v1","H0",383,383,"minimum_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:7df9583d8400a234e1fc6669e7ebd18365f83150eadee3fd0f37ad8a379d305d","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805268","SRA716608_SRS3391633","cell_topology_v1","H0",383,383,"median_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:fff3e6bb3eddc656e3a42682b51e92a4f5278cfac5532491bcf9c3fa4652416e","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805268","SRA728025_SRS3454427","cell_topology_v1","H0",383,383,"maximum_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:0953af0f8b7fa2cdb76cbaf283e1ac981fbd8ddd335f4c28041d36aa0c377aae","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805251","SRA645804_SRS2823408","cell_topology_v1","H1",228,150,"minimum_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:c81ba5d7fa5c2fc9c5f45e41edfcf79e3d68b19b06a3b1c9688d602aa5cd200d","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805245","SRA784242_SRS3822686","cell_topology_v1","H1",300,353,"median_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:40be9ab1f2f9ba4671f343a492383eecf7860aa99eca112e46250e647c5eca7e","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805265","SRA621638_SRS2610285","cell_topology_v1","H1",423,476,"maximum_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:00149dad601d9ab6bbdb3ea91789aab807c573ae39233c92af6ba3d0d30361ea","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805253","SRA645804_SRS2823410","gene_topology_v1","H0",499,499,"minimum_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:838a344da983b855851f612c9d0122b1f2464dbec03bac1658823bce2a3ba04c","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805267","SRA645804_SRS3572594","gene_topology_v1","H0",499,499,"median_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:ffd3efe18bfde1b2a6d99210e11fdc8d9ed6f9fb3292b42e0310c1700249d96a","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805253","SRA667709_SRS3065431","gene_topology_v1","H0",499,499,"maximum_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:695997ad971eebe49080a81bd0881108ee3c2f89dad63a2e6125129ea122cb20","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805262","SRA645804_SRS2823410","gene_topology_v1","H1",220,111,"minimum_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:5040c90db3b8594d1202161f18aaa666ae519c5151baa33cc51144c870d8a154","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805264","SRA728025_SRS3454426","gene_topology_v1","H1",1451,386,"median_depth","closed",FALSE
"mv06f_stage1_oracle_selection_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","mv06f_pair_v1:5b3c1072b1f134742b5602d6ffd89a3779f2c43ef571cae8c6e7e4fa5c20dcea","large_loso_v1:SRA779509",20260807,"SRA779509_SRS3805265","SRA628554_SRS2664364","gene_topology_v1","H1",1742,3165,"maximum_depth","closed",FALSE
