"contract_id","pair_id","view_id","homology_dimension","selection_stratum","first_diagram_id","second_diagram_id","rust_squared_distance","r_squared_distance","absolute_error","acceptance_tolerance","r_method","r_exact","r_achieved_absolute_error","first_finite_intervals","second_finite_intervals","elapsed_seconds","passed","outcome_label_state","biological_outcomes_computed"
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:000ce23b2f4a5b84e3dba326f17c05d521a3342a17b77f4e8ed14a0d58ab5402","cell_topology_v1","H0","minimum_depth","mv06f_oracle_diagram_v1:ac04a0a9ee4b0a8ab156c1eb2a724af0bec4faa3ea7385949de3a84d973a0ef1","mv06f_oracle_diagram_v1:d8cebfbb611b682bf968b2cb5b4b842003e221cec183f56e199d8ed83711aca1",3877.46524909275,3877.46524909276,5.00222085975111e-12,3.87846524909276e-07,"exact_breakpoint_stream_v1",TRUE,0,383,383,4.267,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:7df9583d8400a234e1fc6669e7ebd18365f83150eadee3fd0f37ad8a379d305d","cell_topology_v1","H0","median_depth","mv06f_oracle_diagram_v1:6594b74cf73eadeb83797632b5eb817001579492cb2bb02105e2b83bac880dda","mv06f_oracle_diagram_v1:f52cbdfaf87448bbefe0bcc05187f6786c929dfac66e46331ddfbcbff611941e",733.292884839268,733.292884839268,0,7.34292884839268e-08,"exact_breakpoint_stream_v1",TRUE,0,383,383,3.386,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:fff3e6bb3eddc656e3a42682b51e92a4f5278cfac5532491bcf9c3fa4652416e","cell_topology_v1","H0","maximum_depth","mv06f_oracle_diagram_v1:6594b74cf73eadeb83797632b5eb817001579492cb2bb02105e2b83bac880dda","mv06f_oracle_diagram_v1:d8cebfbb611b682bf968b2cb5b4b842003e221cec183f56e199d8ed83711aca1",770.204757112179,770.204757112178,1.47792889038101e-12,7.71204757112177e-08,"exact_breakpoint_stream_v1",TRUE,0,383,383,3.478,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:0953af0f8b7fa2cdb76cbaf283e1ac981fbd8ddd335f4c28041d36aa0c377aae","cell_topology_v1","H1","minimum_depth","mv06f_oracle_diagram_v1:a1820d3058ebc7fcfaeaec5afb307abd29aadc54edf0dd770abaac21d401f221","mv06f_oracle_diagram_v1:667684164ff2fa43e9abca489cff54442985261a4b4620207e3c76198e94719b",2.34700570618689,2.34700570618689,4.88498130835069e-15,3.3470057061869e-10,"exact_breakpoint_stream_v1",TRUE,0,228,150,1.165,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:c81ba5d7fa5c2fc9c5f45e41edfcf79e3d68b19b06a3b1c9688d602aa5cd200d","cell_topology_v1","H1","median_depth","mv06f_oracle_diagram_v1:cf9f3dfac4225a84c48b756a76d87c2a8a2b9375199c720bab7270936e1d6444","mv06f_oracle_diagram_v1:759dee7e794a369e132903e32a9e041f67bc0d87a277e0c6921c025c452d2607",4.13388053110561,4.13388053110561,4.44089209850063e-15,5.13388053110561e-10,"exact_breakpoint_stream_v1",TRUE,0,300,353,4.134,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:40be9ab1f2f9ba4671f343a492383eecf7860aa99eca112e46250e647c5eca7e","cell_topology_v1","H1","maximum_depth","mv06f_oracle_diagram_v1:47178da2348deab5af4021b442d5d246ca4af83f949fef202736925c77c7c521","mv06f_oracle_diagram_v1:1916e3cede5f84a84d073d8b05c2ac2a1d147e8e7bbf6015504b5c5cc440de68",0.919739101082595,0.919739101082594,7.7715611723761e-16,1.91973910108259e-10,"exact_breakpoint_stream_v1",TRUE,0,423,476,9.065,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:00149dad601d9ab6bbdb3ea91789aab807c573ae39233c92af6ba3d0d30361ea","gene_topology_v1","H0","minimum_depth","mv06f_oracle_diagram_v1:278273232cb391f84692c96d77891729c09efb1c590c85323d053d35fa378256","mv06f_oracle_diagram_v1:684b38d27df194e20e59d30f826e2646b53646aacec8d803a7a80a4e5b32ccf2",14.9328224015889,14.9328224015889,4.44089209850063e-14,1.59328224015889e-09,"exact_breakpoint_stream_v1",TRUE,0,499,499,5.21599999999999,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:838a344da983b855851f612c9d0122b1f2464dbec03bac1658823bce2a3ba04c","gene_topology_v1","H0","median_depth","mv06f_oracle_diagram_v1:e7ff4f427ac8f74b2acf96b08df11452d28961e10918655be3c07dd134b51354","mv06f_oracle_diagram_v1:b7c8c00ed95724907ab08e26801f8b9f0e30946f432e6256a41c9e68b0039bb8",11.7980421270595,11.7980421270595,2.1316282072803e-14,1.27980421270595e-09,"exact_breakpoint_stream_v1",TRUE,0,499,499,5.231,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:ffd3efe18bfde1b2a6d99210e11fdc8d9ed6f9fb3292b42e0310c1700249d96a","gene_topology_v1","H0","maximum_depth","mv06f_oracle_diagram_v1:278273232cb391f84692c96d77891729c09efb1c590c85323d053d35fa378256","mv06f_oracle_diagram_v1:d2366c147c9a1326af48054a336c462a05321be6a94a21e269b6ef874cd2ca5d",3.70684167116774,3.70684167116774,3.10862446895044e-15,4.70684167116774e-10,"exact_breakpoint_stream_v1",TRUE,0,499,499,5.198,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:695997ad971eebe49080a81bd0881108ee3c2f89dad63a2e6125129ea122cb20","gene_topology_v1","H1","minimum_depth","mv06f_oracle_diagram_v1:3ccc87d3b3a1c94bec0b98c1e172fa9d534dd33a1758e06ac4e439e66ba1f236","mv06f_oracle_diagram_v1:b32fcb30a98e3603b6f2c06c23cfa9bbee6c0163a08f86d32497c86091943eb7",0.000269536118271504,0.000269536118271504,1.62630325872826e-19,1.00026953611827e-10,"exact_breakpoint_stream_v1",TRUE,0,220,111,0.863,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:5040c90db3b8594d1202161f18aaa666ae519c5151baa33cc51144c870d8a154","gene_topology_v1","H1","median_depth","mv06f_oracle_diagram_v1:87cc75012510032e513d035b4c869713b763fddc58175e9d4c6af3b287554b9f","mv06f_oracle_diagram_v1:89fd4c95b845ceb74d762e822d4a4ddfee422f27c5fe407abc636a8328563e97",0.00120692966135883,0.0012069296605226,8.36228222084179e-13,8.98392607298825e-11,"adaptive_quadpack_partitioned_v2",FALSE,8.981705626939e-11,1451,386,62.502,TRUE,"closed",FALSE
"mv06f_stage1_r_oracle_v1","mv06f_pair_v1:5b3c1072b1f134742b5602d6ffd89a3779f2c43ef571cae8c6e7e4fa5c20dcea","gene_topology_v1","H1","maximum_depth","mv06f_oracle_diagram_v1:4b83b23455d90590b13684ae56f39afe6f808aa3c12db943ec88dc81125e6790","mv06f_oracle_diagram_v1:8e746d10f76fe20458434729bb23d12317d0447287429bf38f1cb78d7df8b405",0.0018899242002207,0.00188992420020801,1.26899359076393e-14,8.71970830471934e-12,"adaptive_quadpack_partitioned_v2",FALSE,8.69750384422684e-12,1742,3165,288.004,TRUE,"closed",FALSE
