"contract_id","group_id","fold_id","seed","execution_order","training_biological_pairs","training_component_rows","query_biological_pairs","query_ranking_rows","training_distances_sha256","scales_sha256","rankings_sha256","metrics_sha256","status_sha256","group_bytes","outcome_label_state","biological_outcomes_computed"
"mv06g_complete_group_inventory_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","large_loso_v1:SRA779509",20260807,1,2080,8320,1625,14625,"a97f38c82dacfb86380aafc9cec0406ffa110079b5046b2e9a9db473d24ba095","e5458c6875990ec9349d2baac61aeccc6e5aa21c13d0b1970d3d015e031afac4","ee84d39d3f9c6db359406a741cc205d7d14bfa95cd5e5a77ab856335481f5dd7","021f7c8c248f070cdb9ceda85e37a45280acdd867aaec432938cf9e5dca169f7","b02cd7d448c7ff7b5128276a13d6b2c3862c845e402ebcc96782b58e0a209a61",8064620,"closed",FALSE
"mv06g_complete_group_inventory_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7","large_loso_v1:SRA779509",20260805,2,2080,8320,1625,14625,"e8d80946243559d43a07b5b10de742717624e7f002581e9217cdde83b506b2eb","06616775392e632a4ff592d335597aef1af8204c84454bda37f1ef19f9265b1a","7e6514bf0bbf16761fff32cd624fd535da6275b9e58b00b673de24639be47fb2","c97090a264ce6f2b0389298e15f67319363e3c6b597739b81d149a99a168717f","0c3213b7f4cffc8eed4673804f1543cfbc2d45772a004aecbe8eab0486dc6958",8064682,"closed",FALSE
"mv06g_complete_group_inventory_v1","mv06f_group_v1:dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065","large_loso_v1:SRA779509",20260806,3,2080,8320,1625,14625,"fa04f11145d3782453e7708ae054c60d51a1721f9f3ca870133fd340b945875e","84537e2375a1be9407565ee005e1188d6322fca5aa197633161a5dd88cacf552","7bcea1d1acb5c2002ced14400bc43efdfabd06bcc0aa095f2b326af45d623f6b","d8108fd7f452cd1c3559673c88cfc23610a5fdccb9dd18bcce8c8b3da8755a3e","72492610cd1fde1a42983f4294dd89a6895d5a785b6481d4aa48dbfc89c2ce08",8064334,"closed",FALSE
"mv06g_complete_group_inventory_v1","mv06f_group_v1:9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665","large_loso_v1:SRA779509",20260808,4,2080,8320,1625,14625,"04aa02fed4e4bee332555dce40e8727786250832b969af198c267a18d767bf5a","df642639d5fe176c1351742ef1e2a262aa9e2ec93be90bb7afcb0ce5b1589f33","178bcc3810708e571b45eb52f6eb5d9d41da3351374af3448551bdb57b283ef0","9ff1acd2a373b332ba0e12d3010c247f6b50dd0ad12385c5195e1674e32c7fd0","a533aca55d77aad3f10582eaa568e56b6a173b67f656b27d4dcd3e3d059a9193",8064749,"closed",FALSE
"mv06g_complete_group_inventory_v1","mv06f_group_v1:93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67","large_loso_v1:SRA779509",20260809,5,2080,8320,1625,14625,"a460ec9669b2b43738c47c42e7673d876f4d1f8e0342896cd8e0b474871cf78a","2915b5c4dfcc69375e186ec22fad45eec55c38b2b75c1a2656da34b6da97ad23","32c50fa6ef6a11650c4970fa66d90c9c8f682d81e12fb5d90f31a640c71664ca","4705f8edcd494afb1b4396704df34fcf32941b62bca80a98f0ad23ae5ee8431f","8b35c0573d24b02e2a8d0e27b0758cac950ab3fcd40417078f580fd904d227ab",8064739,"closed",FALSE
"mv06g_complete_group_inventory_v1","mv06f_group_v1:2519b46581f7f2c91691fbe8e7b5d3dee98d00bdf38dace46a96d025dd694b26","large_loso_v1:SRA645804",20260805,6,3160,12640,800,7200,"2619867b590ed139cc2e1907ce7e04be4bd7680c1f4b09c8d6cb44fb15b1d3d2","5685924b068a043476c8067584fc71772a99a1a8ca16f07a6bdb9ecf6669c9c4","3ebc20f86fc336811f876644a6f3713119c3244864bdce22011625c0a448ff34","bdaa23fc7533d0f4c8ce2dc0b5f7c066474d5cab6c81f057ded957b07df8d9b8","635b7f7342e8f9891c911d9aba339c4b250d3b57b1815c7835b583ba88eadc45",7545367,"closed",FALSE
"mv06g_complete_group_inventory_v1","mv06f_group_v1:46fb2e2ee24ce2b14b9bc31f5f076ac7240b86ef871227f8e2593e9eb8444f66","large_loso_v1:SRA645804",20260806,7,3160,12640,800,7200,"322d30a5cec4cbe7fed18e53e2915640411ace5be50e4f049f7bbb8f6be903be","7095faa9c218296dc11857868a3461140852a8dbd8f5149260d4570f53faef1e","f689d59258486a223bb0864499fcc26fd567012cbc20e30fd88212afe8920021","370b5afed0fb32a4931bd9121131cb948749098ba27d42be509887002ef910cd","6c7f40b9cd5ffbef260cdcb96718e8b99ddc396b38de889bda206d1519658bed",7545380,"closed",FALSE
"mv06g_complete_group_inventory_v1","mv06f_group_v1:92c24466932dbbdc2c20c1f18664eb2ed4b07f5c013dfdeee20ed9381a6fcdd3","large_loso_v1:SRA645804",20260807,8,3160,12640,800,7200,"9588bbb8e98765552b9446684009fb79f92c935785a337c5df142bc58b5523f7","c7c85196f77e44d29a19da3e7c80553c91a69e8810e6bd0c6051f6fd44a6b741","3a75b344fa3c4a944ece961be0fff3dbcdeabc21942ffba31eb6e31ba37b94b8","da35ae6304a7ad11b7dfdf8d70b1ea95ba4baafd65c5f9618e439e4585eb1c4c","51deab835672b5cbe3ce48f1459607e0d3c541e23f65e6fabb3511f3b43922d0",7545063,"closed",FALSE
"mv06g_complete_group_inventory_v1","mv06f_group_v1:394be69720fe1c8d1f1079746d7f8b512262c954632e11fbbc488f93697ebc15","large_loso_v1:SRA645804",20260808,9,3160,12640,800,7200,"a8375910dd97ca7a772f14e1ba292bef1e99e0a0c415c47ba689115081a72261","db964d3d2e621252697cab0d725ef37d46f47ec2e8612e323e186bb784dc990b","94eb83c1f9e7bb2546284c7c7a7bccdd2a1ea7b8b401557dd75a783869d59a9d","33f3d738069dd880e2c117b5d51710a9fea7d89e0b4216d48233240698e3b14a","dc7e8e290f295b3f417810d04ae2cea3da4ac0709aaaaefe209a944020af3ad8",7544438,"closed",FALSE
"mv06g_complete_group_inventory_v1","mv06f_group_v1:028dc0fb6bf19467f7d7f98b72c2b356b558ae4647763fd9f96ad1022346d34d","large_loso_v1:SRA645804",20260809,10,3160,12640,800,7200,"15e5d68dda4cc9a5cc3f90ad3ec4314f42b08f2c4e40b91a87f4549557bb6eaa","d96925ab5a68c14e383ad6fe50f8f1a5991b3b8fda1d70c9d8c51061c53adaa9","481a3fe8fdaf80fd5a15dbc04d39dee06ec75cecc1bc1cd6f3365398dcc8156e","b5dab77a917c80a7d4b273d236b0cc01755fcc1001b88d221cef545981b8c726","4abdadf35a214776b12dabc8d65154d5dd6db6ca11ef8cf8b57dd40987bdda75",7545620,"closed",FALSE
