"contract_id","group_id","execution_order","disposition","exit_status","elapsed_seconds","charged_worker_seconds","peak_process_tree_rss_bytes","cumulative_worker_seconds","cumulative_private_bytes","scientific_group_complete","scientific_implementation_root_sha256","execution_implementation_root_sha256","rust_library_sha256","runner_stdout_sha256","runner_stderr_sha256","runner_stderr_tail","outcome_label_state","biological_outcomes_computed","fusion_evaluations","outcome_jobs"
"mv06g_serial_completion_metric_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7",2,"completed",0,178.847376346588,178.847376346588,162127872,178.847376346588,8064797,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","b61670777ad887966d559131d7f96ebf7016cd92f0fad5367b1e6c6122fd1d76","Completed MV6-G production group: mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7.","closed",FALSE,0,0
"mv06g_serial_completion_metric_v1","mv06f_group_v1:dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065",3,"completed",0,192.359350919724,192.359350919724,169553920,371.206727266312,16129246,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","f54f3858a9eb7c1650a81a389fa33d325c841c606cbaf2be40191060491bb76c","Completed MV6-G production group: mv06f_group_v1:dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065.","closed",FALSE,0,0
"mv06g_serial_completion_metric_v1","mv06f_group_v1:9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665",4,"completed",0,191.431246995926,191.431246995926,168734720,562.637974262238,24194110,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","afbe00b6d9113e4e7d2bfbe113db9892a3e4cf3a18d643d07eca1e4160ec2a65","Completed MV6-G production group: mv06f_group_v1:9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665.","closed",FALSE,0,0
"mv06g_serial_completion_metric_v1","mv06f_group_v1:93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67",5,"completed",0,190.771307468414,190.771307468414,167890944,753.409281730652,32258964,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","e5c75ea038b142fa68d6b589f233d223adbfc18855c0a2e659c46e9b1dfb80e5","Completed MV6-G production group: mv06f_group_v1:93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67.","closed",FALSE,0,0
"mv06g_serial_completion_metric_v1","mv06f_group_v1:2519b46581f7f2c91691fbe8e7b5d3dee98d00bdf38dace46a96d025dd694b26",6,"completed",0,279.685303449631,279.685303449631,176791552,1033.09458518028,39804446,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","f3ba6cccaf80cf9e33b70ca680b958f593f41fea9d4f15033421d46b3634892f","Completed MV6-G production group: mv06f_group_v1:2519b46581f7f2c91691fbe8e7b5d3dee98d00bdf38dace46a96d025dd694b26.","closed",FALSE,0,0
"mv06g_serial_completion_metric_v1","mv06f_group_v1:46fb2e2ee24ce2b14b9bc31f5f076ac7240b86ef871227f8e2593e9eb8444f66",7,"completed",0,290.900002241135,290.900002241135,171585536,1323.99458742142,47349941,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","9f151a7940448197abcc60cac14d12ff5797aae939f749320a7818ef0d31593b","Completed MV6-G production group: mv06f_group_v1:46fb2e2ee24ce2b14b9bc31f5f076ac7240b86ef871227f8e2593e9eb8444f66.","closed",FALSE,0,0
"mv06g_serial_completion_metric_v1","mv06f_group_v1:92c24466932dbbdc2c20c1f18664eb2ed4b07f5c013dfdeee20ed9381a6fcdd3",8,"completed",0,284.808494091034,284.808494091034,168554496,1608.80308151245,54895119,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","66233318e82d091dec9413795e5d83dde60012838433880596f04289f6670b9a","Completed MV6-G production group: mv06f_group_v1:92c24466932dbbdc2c20c1f18664eb2ed4b07f5c013dfdeee20ed9381a6fcdd3.","closed",FALSE,0,0
"mv06g_serial_completion_metric_v1","mv06f_group_v1:394be69720fe1c8d1f1079746d7f8b512262c954632e11fbbc488f93697ebc15",9,"completed",0,275.146974086761,275.146974086761,170819584,1883.95005559921,62439672,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","3f1420f69c01217619ccef875b98d42660398b16002fbd6ae610a1efa70c1564","Completed MV6-G production group: mv06f_group_v1:394be69720fe1c8d1f1079746d7f8b512262c954632e11fbbc488f93697ebc15.","closed",FALSE,0,0
"mv06g_serial_completion_metric_v1","mv06f_group_v1:028dc0fb6bf19467f7d7f98b72c2b356b558ae4647763fd9f96ad1022346d34d",10,"completed",0,279.963787794113,279.963787794113,170536960,2163.91384339333,69985407,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","3017ee7d5ac0cba7bf0787eba93a8215c941a7ca7ffc2793172942a8dbd7c6af","Completed MV6-G production group: mv06f_group_v1:028dc0fb6bf19467f7d7f98b72c2b356b558ae4647763fd9f96ad1022346d34d.","closed",FALSE,0,0
"mv06g_serial_completion_metric_v1","mv06f_group_v1:202da4b3725f8981b02bd1b53a07055ab079a4f3995ae4e5cb4fb7f60dacc4b0",11,"completed",0,277.018290758133,277.018290758133,175226880,2440.93213415146,77463815,TRUE,"8b0a1e42d9e46234edb847bcab82a2e770a47f3934d21f2a81c352c74c9cec0c","deb03fbc3e3bcf49d7c6fcbd356256c94aae0e3dae7672ec4150b3702e36f745","51d3fca4808c6620c46c7b1100ddfad4753af02d37f87ec3eb278008846b160d","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","3c9760edddbf3a347a7ccf2cca581b79c55bd188325d5e9f4396bd8ed641f00f","Completed MV6-G production group: mv06f_group_v1:202da4b3725f8981b02bd1b53a07055ab079a4f3995ae4e5cb4fb7f60dacc4b0.","closed",FALSE,0,0
