"contract_id","group_id","fold_id","seed","execution_order","diagrams_bytes","diagrams_sha256","distances_bytes","distances_sha256","outcome_label_state","biological_outcomes_computed"
"mv06g_source_group_inventory_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","large_loso_v1:SRA779509",20260807,1,7484632,"25e9780dc76b0da2fb9e2d503247eb0c6fb915d2d665b41cebc982e69ef0c832",2797261,"776bf94392cb6c37a0fdc9243032f1f007ea580d497252bc4cb172ece1dd6a4c","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7","large_loso_v1:SRA779509",20260805,2,7420061,"21feae3c4670e6827a670ceea06df04aac0b46f7daa221e6e9abdb32b1ab97fc",2797074,"80e5b0c694ca9028779dbce1bfc6f501077dbc839a90cdc5a4351d4165688b17","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065","large_loso_v1:SRA779509",20260806,3,7480903,"b3d1195d1b7e87b3ce96ddedc257f0535bbde0d1fede770e55ac74eeb408a67f",2797133,"08a257609f67ad8078c574b08de810c972d049c772e9ea2b9b0b15250fb54a0b","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665","large_loso_v1:SRA779509",20260808,4,7473148,"433793f8281a50201d16a85d29576c6bb5a3395f0a79e38ea215682e4f1faff3",2797357,"0bf74d5c229bdfa2bc24e998f588aecb4c3f8a459e96dc094bb237df96770f27","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67","large_loso_v1:SRA779509",20260809,5,7482299,"aa4614e40ab81b9c5a9a6a1c1b8ebb5ef2964e6696dfcf31bbacc76c01284f68",2797316,"e0a00402a9a5e6e3e72a4a8ee06abc7fd89cae1da49a79fab2a4276d85d9e805","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:2519b46581f7f2c91691fbe8e7b5d3dee98d00bdf38dace46a96d025dd694b26","large_loso_v1:SRA645804",20260805,6,7405081,"54514ded6065eefb9afa28668b9af37a7097c587ce827c092b8b92ae0e44a30d",1375825,"d913278f4cfbed8164d33142e4805b6e367925f24adda1ea9b107b9e6583cd05","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:46fb2e2ee24ce2b14b9bc31f5f076ac7240b86ef871227f8e2593e9eb8444f66","large_loso_v1:SRA645804",20260806,7,7450313,"06064957624b4838fd36b0eeaad104892a6c8be919d71df66d727eaab852038b",1375660,"0734d25f972748d60181252dc0b6cdc228a18f2990ddf88ea66304ea3c5aaef0","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:92c24466932dbbdc2c20c1f18664eb2ed4b07f5c013dfdeee20ed9381a6fcdd3","large_loso_v1:SRA645804",20260807,8,7463667,"0b3be4786dce166d6fbf9b0bbe14f07935b9629c43e65dec92228eabbbbae582",1375643,"2c8f1c0a8f33ffaac6acd7bef3e79091e383b72e064128f57145017d69955a91","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:394be69720fe1c8d1f1079746d7f8b512262c954632e11fbbc488f93697ebc15","large_loso_v1:SRA645804",20260808,9,7457888,"84b8b64a7e3de46777ba70743b34eccfbe333d396dd33aace1f4171d31c944db",1375671,"bb8ffa11776b035d3cb5247ea5525212752769135e755c5703834cc46c5bb1ab","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:028dc0fb6bf19467f7d7f98b72c2b356b558ae4647763fd9f96ad1022346d34d","large_loso_v1:SRA645804",20260809,10,7460529,"a1c81b642221a7247a54a04deb47ade49f2665de460a065036b30fee9699cf71",1375766,"c2b156280db20f8a53bb89b780c4b7305e5e3a41f3234eaa232fb172414b7ad1","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:202da4b3725f8981b02bd1b53a07055ab079a4f3995ae4e5cb4fb7f60dacc4b0","large_loso_v1:SRA728025",20260805,11,7393776,"91cde4f03a68d413826ded3d365266d86a0ebeea776e08c9a9541bfd9abd09ef",1253515,"da1c9a7e21e5310e3200cfc7b3b14c7b1556c491d4583dbdd8d3a7590f30a482","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:19131b37e2c9b21894c06d7dc933e65aabe3b75b6453cf2e3b9dee1c9a75c621","large_loso_v1:SRA728025",20260806,12,7451328,"1d63a4bf6f5cd1b7e5499fb24272ee6e4f95bf9467c02d18fa843d7de573953f",1253390,"24bc37fb5fcaf9bfbff279a65497c370a307c7b585b8f5972c21149ef1f391a6","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:adc0117d4c99bc1eb26bbec46d2d7790b200f9d4b3f46b85da022e89cae1fdad","large_loso_v1:SRA728025",20260807,13,7472417,"e767d73a76ca13dde2392caeccdf6420a847b3c3a85abe6518e60268a56a12ac",1253516,"7b972491ac5de663ca0bd87be7f2799d4151c99cba9260fb744ff074de55c62c","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:2dbd4707322a9b93d461f93a522f7dd079fc0403847d8fbbccc4697db12de23d","large_loso_v1:SRA728025",20260808,14,7454318,"92b0f7ca25b8f946fd7136795d21dd098362fd4e933dc190e05c975ef386493c",1253374,"80a46c86bdd22a3021ec182ea1fb70f2b0803f2bb78c4905feb8bc25d5a1735b","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:edecded5b1ae4d084e6e5d13df954c48b837df89a4a4f667c7487242425bf2a0","large_loso_v1:SRA728025",20260809,15,7457484,"17fc84c040ee6169dce3bcd1d73d2b244d9f25a2907a7b8260a7076a6f738b33",1253443,"d9f48cbd424a17095d87c78e874d7c3155540a66c54ec849a94151242fa754cf","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:6a6c02b897dc8af3a16c5599cb993b923d68d2c2bf3e7784cb65c01aaea7bf78","large_loso_v1:SRA826293",20260805,16,7401231,"b37ee84dcf71c565ca84610e9ed42b799c3635391fc74a1bff3de011e2e917c0",1129524,"46f5ecbca4ef8c5f8cef13010f4de5955f0d9ef08e27b82df29bb7d24104573d","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:43f741b24882a216e9dea3995eff9193f316a6de993f9d242ea71e63ef10688e","large_loso_v1:SRA826293",20260806,17,7448038,"ef16ef989d4d5950588ed21cd5e777a01763a22f89d24247ba74a27515a1b766",1129614,"b6b8a9a7e8ebca4bf96b736968b7f02f31c8f1ae6d7431bd264f2b6d33bbed79","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:6173ccea6d63851b2e9b82720bd8ede9dc2c3a7eac0ee941069a06c0bba1f6ef","large_loso_v1:SRA826293",20260807,18,7461777,"38477a78420940416c18f015a73cdb7c4bc092a61ec5527faa25689d83e5aa9a",1129518,"e8440ef81aa7b052e52d3b69cffaf7509d72c5c70d5444173dcae606d0c826a2","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:83857e729b5c915d1730fa26a699f3c51f7b46c4e5c022a9d6a0b39dfd18b7a4","large_loso_v1:SRA826293",20260808,19,7452498,"629cc65d18bf3f43390bfbccab479c99afaf43eab9d0b7183d7009dd74eee6ed",1129494,"fe015a4a60c0361d00418b947d7c37062f4756bc8644c2806712a2bb7ea6ebaa","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:217c8c9c0c930f18f2771bf0196d626a14dfd0c03b58ff35e9c3f6305c982c6c","large_loso_v1:SRA826293",20260809,20,7462244,"5f54379903b0086c3ccecc0e8a35c4b6c7c7324fdf0125dbf8ad2449266e8651",1129600,"0c21bd97d7b8805f79ce7515965af3d5f939ffed472f056ad000df15f0ac4a79","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:fc5d677c53b007825795a532217a7a0b304d1ba194ed55ac2b9453bb46528caf","large_loso_v1:SRA667709",20260805,21,7404101,"71e3eca3dc74b6d4d757b349b96da8447a9d379ce5a21823b5b5fd7be9d40ac8",866738,"e5263d0add7af3a7ff83c2383ad9cb1d0fbc518b77a9925d2b5c80cded0c538b","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:d3489bd29f963998a866f656c34b28ad83f39f428edb2044db6ba7d6c74b497e","large_loso_v1:SRA667709",20260806,22,7449683,"47b977a93ca85a867f6ea212232bbb2d11af75f19ca91dcd00c4a33f4485bbb1",866739,"47e5870ba8a5af1afe544f28a580f3ea88c97378c9250d0e9d4836fc62c84a44","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:f626f7a23c0da9442869073a8d1578ff762ca365755279f9d24c91fa42f02744","large_loso_v1:SRA667709",20260807,23,7454672,"992b94e822f6478fd50e02cf700f749945ab652a0d14ddd49c26bf4f410d519e",866753,"7d70794e8c691c84ae0b14fcf2b25265c0444ca2a59cad9ea609bc06efbe9271","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:4098ac5af058ba0e221a63270e46cf59c3d75ced53824e13d228750b93a14176","large_loso_v1:SRA667709",20260808,24,7452078,"dbf143497c40622e6ad58a0fbe08a11df49ae3f1f77e313c4b3592e1f355d1c6",866694,"5c0e4e836d5554a279ff0716dc9b8f55e7baafd8b8edee6ac7595abee94bd58c","closed",FALSE
"mv06g_source_group_inventory_v1","mv06f_group_v1:5a583b2218848b65208a9a6bb9aa69dedba69c7379bc71dbcb10d07756fb8843","large_loso_v1:SRA667709",20260809,25,7459724,"021bef1f9d7adce0e58253dbf01a703873dcbb4d4f2c27b1921cc096a7e828e9",866811,"e5f1a609c63d65fcaea21a97dfd66606a4cba8ffa2120084459483681220ad48","closed",FALSE
