"contract_id","group_id","fold_id","held_out_study","seed","execution_order","training_samples","held_out_samples","training_biological_pairs","training_component_rows","component_scales","query_biological_pairs","query_component_rows","ranking_methods","query_ranking_rows","outcome_label_state","biological_outcomes_computed","fusion_jobs","outcome_jobs"
"mv06g_training_scale_workload_v1","mv06f_group_v1:fbed6ad04f8243313ed439ecb5f29ddd43326a478d9b60fb21ff84be70b6ebf1","large_loso_v1:SRA779509","SRA779509",20260807,1,65,25,2080,8320,4,1625,6500,9,14625,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7","large_loso_v1:SRA779509","SRA779509",20260805,2,65,25,2080,8320,4,1625,6500,9,14625,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:dd313858dc9ffd6ea3fc525acd499918846e034806bcae3cf04bca1a95132065","large_loso_v1:SRA779509","SRA779509",20260806,3,65,25,2080,8320,4,1625,6500,9,14625,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:9b2d1f39b561e50dc627020719820107f43f2cdc3fead74850072e711dbdb665","large_loso_v1:SRA779509","SRA779509",20260808,4,65,25,2080,8320,4,1625,6500,9,14625,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:93330cf105cfdf4e425ea228174eeb758ac21ca417d1e649f537e74682c1de67","large_loso_v1:SRA779509","SRA779509",20260809,5,65,25,2080,8320,4,1625,6500,9,14625,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:2519b46581f7f2c91691fbe8e7b5d3dee98d00bdf38dace46a96d025dd694b26","large_loso_v1:SRA645804","SRA645804",20260805,6,80,10,3160,12640,4,800,3200,9,7200,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:46fb2e2ee24ce2b14b9bc31f5f076ac7240b86ef871227f8e2593e9eb8444f66","large_loso_v1:SRA645804","SRA645804",20260806,7,80,10,3160,12640,4,800,3200,9,7200,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:92c24466932dbbdc2c20c1f18664eb2ed4b07f5c013dfdeee20ed9381a6fcdd3","large_loso_v1:SRA645804","SRA645804",20260807,8,80,10,3160,12640,4,800,3200,9,7200,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:394be69720fe1c8d1f1079746d7f8b512262c954632e11fbbc488f93697ebc15","large_loso_v1:SRA645804","SRA645804",20260808,9,80,10,3160,12640,4,800,3200,9,7200,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:028dc0fb6bf19467f7d7f98b72c2b356b558ae4647763fd9f96ad1022346d34d","large_loso_v1:SRA645804","SRA645804",20260809,10,80,10,3160,12640,4,800,3200,9,7200,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:202da4b3725f8981b02bd1b53a07055ab079a4f3995ae4e5cb4fb7f60dacc4b0","large_loso_v1:SRA728025","SRA728025",20260805,11,81,9,3240,12960,4,729,2916,9,6561,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:19131b37e2c9b21894c06d7dc933e65aabe3b75b6453cf2e3b9dee1c9a75c621","large_loso_v1:SRA728025","SRA728025",20260806,12,81,9,3240,12960,4,729,2916,9,6561,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:adc0117d4c99bc1eb26bbec46d2d7790b200f9d4b3f46b85da022e89cae1fdad","large_loso_v1:SRA728025","SRA728025",20260807,13,81,9,3240,12960,4,729,2916,9,6561,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:2dbd4707322a9b93d461f93a522f7dd079fc0403847d8fbbccc4697db12de23d","large_loso_v1:SRA728025","SRA728025",20260808,14,81,9,3240,12960,4,729,2916,9,6561,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:edecded5b1ae4d084e6e5d13df954c48b837df89a4a4f667c7487242425bf2a0","large_loso_v1:SRA728025","SRA728025",20260809,15,81,9,3240,12960,4,729,2916,9,6561,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:6a6c02b897dc8af3a16c5599cb993b923d68d2c2bf3e7784cb65c01aaea7bf78","large_loso_v1:SRA826293","SRA826293",20260805,16,82,8,3321,13284,4,656,2624,9,5904,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:43f741b24882a216e9dea3995eff9193f316a6de993f9d242ea71e63ef10688e","large_loso_v1:SRA826293","SRA826293",20260806,17,82,8,3321,13284,4,656,2624,9,5904,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:6173ccea6d63851b2e9b82720bd8ede9dc2c3a7eac0ee941069a06c0bba1f6ef","large_loso_v1:SRA826293","SRA826293",20260807,18,82,8,3321,13284,4,656,2624,9,5904,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:83857e729b5c915d1730fa26a699f3c51f7b46c4e5c022a9d6a0b39dfd18b7a4","large_loso_v1:SRA826293","SRA826293",20260808,19,82,8,3321,13284,4,656,2624,9,5904,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:217c8c9c0c930f18f2771bf0196d626a14dfd0c03b58ff35e9c3f6305c982c6c","large_loso_v1:SRA826293","SRA826293",20260809,20,82,8,3321,13284,4,656,2624,9,5904,"closed",FALSE,0,0
