"contract_id","pair_id","component_id","view_id","homology_dimension","selection_stratum","first_diagram_id","second_diagram_id","rust_squared_distance","r_squared_distance","absolute_error","acceptance_tolerance","r_method","r_exact","first_finite_intervals","second_finite_intervals","passed","outcome_label_state","biological_outcomes_computed"
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:0028500aa0a8ffaadfbc97589db2cf21da553a7351488b092125043ab92a14c3","cell_H0","cell_topology_v1","H0","minimum_depth","mv06g_oracle_diagram_v1:f24337f009c3dcbaa0cbe0e1535c8eab583cbeaf61dc8d530c286d9d69fed933","mv06g_oracle_diagram_v1:d15c2f07e8c530a5faa8e58d1574cfff50e30230a7652f0787418c62f76799a2",3370.87336745715,3370.87336745716,5.45696821063757e-12,3.37187336745716e-07,"exact_breakpoint_stream_v1",TRUE,383,383,TRUE,"closed",FALSE
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:7aa29fd87027596019eb4e813a7b875d8920f887b3bc89638dd569734bdecdcb","cell_H0","cell_topology_v1","H0","median_depth","mv06g_oracle_diagram_v1:2bc7aea7f531cf888c31055886786ac8b229e2902a1d2ffffe01a2de3d9040a0","mv06g_oracle_diagram_v1:3e5f260466aa731156bb5c4893642727de1b37409eaa99747c986e4a2f8214cd",464.982250869066,464.982250869066,4.54747350886464e-13,4.65982250869066e-08,"exact_breakpoint_stream_v1",TRUE,383,383,TRUE,"closed",FALSE
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:ffe88819bc1338f80d44c66ed19650ef2785c17892884ba6afd7332aeaeb5fd7","cell_H0","cell_topology_v1","H0","maximum_depth","mv06g_oracle_diagram_v1:bbd0e5ec8b307eb5c6cfd0fe68331c7e61d880573662299a23df136557d74c45","mv06g_oracle_diagram_v1:7a4a10c54b0158e9d16f8295aad115182444c8e07fe3b1dcd921a6878bbb6e96",4379.35090903296,4379.35090903296,3.63797880709171e-12,4.38035090903296e-07,"exact_breakpoint_stream_v1",TRUE,383,383,TRUE,"closed",FALSE
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:642b4c713f25653a271f2f022c06830b5fda6104dafc9c86bb1df9e9f29c2cce","cell_H1","cell_topology_v1","H1","minimum_depth","mv06g_oracle_diagram_v1:667684164ff2fa43e9abca489cff54442985261a4b4620207e3c76198e94719b","mv06g_oracle_diagram_v1:90a5e47fda3b750cc1ce44b3226581cb97c74b508134b0ab1ab50b8fd27de161",2.91738284560685,2.91738284560685,3.99680288865056e-15,3.91738284560685e-10,"exact_breakpoint_stream_v1",TRUE,150,190,TRUE,"closed",FALSE
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:9d26d9af42725ff71ff662cc0a691a8aaa612cbd6a4fe775b3ae52ee04733aa1","cell_H1","cell_topology_v1","H1","median_depth","mv06g_oracle_diagram_v1:81b878dfc56e95764899de82a2a7d2f9e518afab4305dc9526883c90564c8c97","mv06g_oracle_diagram_v1:781fcf29ff706b0d5e5bc68b1d4f50619bf353434b468f3441a9066fdfeaa103",7.53368869952804,7.53368869952804,2.66453525910038e-15,8.53368869952804e-10,"exact_breakpoint_stream_v1",TRUE,264,359,TRUE,"closed",FALSE
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:ecbb0f21a8d923a4dd389e4055dd43abe0276d2100c2e3a321636873e6c7bde9","cell_H1","cell_topology_v1","H1","maximum_depth","mv06g_oracle_diagram_v1:1916e3cede5f84a84d073d8b05c2ac2a1d147e8e7bbf6015504b5c5cc440de68","mv06g_oracle_diagram_v1:11f19570dbea9b370b405cdb10a26d15089730d0e86794591c4eda478fbcf127",1.29131738269052,1.29131738269052,8.88178419700125e-16,2.29131738269052e-10,"exact_breakpoint_stream_v1",TRUE,476,476,TRUE,"closed",FALSE
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:0004bcd3da3fb482aed997d12b3ca99c7156f3587e688b3b2d4c219168d9bb5f","gene_H0","gene_topology_v1","H0","minimum_depth","mv06g_oracle_diagram_v1:f230ff711db55541f6695005f2465b73dcc1dd61df188d4c468d70c11b3c82d9","mv06g_oracle_diagram_v1:71ef00e5657800a1d3ce6f781ec89de017d6360c507406fe0896ba5093e2bba4",0.0280903922722496,0.0280903922722496,3.46944695195361e-18,1.02809039227225e-10,"exact_breakpoint_stream_v1",TRUE,499,499,TRUE,"closed",FALSE
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:7ecdde037275d7c667af7e31c50a6c87a26c96b1bd0fe03d2fd9e6b3e7a514fb","gene_H0","gene_topology_v1","H0","median_depth","mv06g_oracle_diagram_v1:1afb0e790c0790c6b51b4cd5d76806a537495af221901631a0cb70b58ffe8980","mv06g_oracle_diagram_v1:71ef00e5657800a1d3ce6f781ec89de017d6360c507406fe0896ba5093e2bba4",2.00836488711862,2.00836488711861,6.21724893790088e-15,3.00836488711861e-10,"exact_breakpoint_stream_v1",TRUE,499,499,TRUE,"closed",FALSE
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:fffc950deb3b78f6d3a01fd012b766a4133c101588e13061b4df1f7ba22ff48e","gene_H0","gene_topology_v1","H0","maximum_depth","mv06g_oracle_diagram_v1:122b9279e08652d4a855ebc3846ca7c979cf96c69fe2215e1671d36dd5c0cfde","mv06g_oracle_diagram_v1:f1645d5d385b045e88735240d45647e057cbb0446c524e7f1b36236062d8d14d",0.151275339694265,0.151275339694265,2.77555756156289e-17,1.15127533969427e-10,"exact_breakpoint_stream_v1",TRUE,499,499,TRUE,"closed",FALSE
"mv06g_stage1_r_oracle_v1","mv06g_training_pair_v1:bd63ece46ce4170c0b4e8178e59ec0c64a2ff414997c7c64c24648e1c48fb962","gene_H1","gene_topology_v1","H1","minimum_depth","mv06g_oracle_diagram_v1:b32fcb30a98e3603b6f2c06c23cfa9bbee6c0163a08f86d32497c86091943eb7","mv06g_oracle_diagram_v1:6c1ced4dc30e790109888cbe8beb94f7345cb2e35dccaf9e39121aa66f9677f1",0.000219893432006502,0.000219893432006502,3.52365706057789e-19,1.00021989343201e-10,"exact_breakpoint_stream_v1",TRUE,111,128,TRUE,"closed",FALSE
