"contract_id","group_id","fold_id","held_out_study","seed","method_id","query_sample_id","query_tissue","training_samples","first_same_tissue_sample_id","first_same_tissue_rank","reciprocal_rank","nearest_sample_id","nearest_tissue","one_nn_correct","endpoint_status","labels_opened_after_prediction_lock","upstream_refit","reranked_after_label_open","method_selection_executed","outcomes_computed"
"mv06h_query_method_outcome_v1","mv06f_group_v1:7c19ff1e3d0cc1f6840e8dc812b71fe9aa67efc7dcfe7452f3b7d9e5ee2002d2","large_loso_v1:SRA621638","SRA621638",20260805,"cell_H0","SRA621638_SRS2610283","bone marrow",88,"SRA779509_SRS3805253",2,0.5,"SRA784242_SRS3822680","testis",FALSE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
"mv06h_query_method_outcome_v1","mv06f_group_v1:7c19ff1e3d0cc1f6840e8dc812b71fe9aa67efc7dcfe7452f3b7d9e5ee2002d2","large_loso_v1:SRA621638","SRA621638",20260805,"cell_H0","SRA621638_SRS2610285","bone marrow",88,"SRA779509_SRS3805259",1,1,"SRA779509_SRS3805259","bone marrow",TRUE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
"mv06h_query_method_outcome_v1","mv06f_group_v1:67858282214382f3e8fecbe28b794feda7d00799e52ae46575d632bd59d1a89d","large_loso_v1:SRA740174","SRA740174",20260805,"cell_H0","SRA740174_SRS3548780","bone marrow",86,"SRA779509_SRS3805268",8,0.125,"SRA728025_SRS3454422","colon",FALSE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
"mv06h_query_method_outcome_v1","mv06f_group_v1:67858282214382f3e8fecbe28b794feda7d00799e52ae46575d632bd59d1a89d","large_loso_v1:SRA740174","SRA740174",20260805,"cell_H0","SRA740174_SRS3548781","bone marrow",86,"SRA779509_SRS3805251",9,0.111111111111111,"SRA826293_SRS4181129","testis",FALSE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
"mv06h_query_method_outcome_v1","mv06f_group_v1:67858282214382f3e8fecbe28b794feda7d00799e52ae46575d632bd59d1a89d","large_loso_v1:SRA740174","SRA740174",20260805,"cell_H0","SRA740174_SRS3548782","bone marrow",86,"SRA779509_SRS3805251",8,0.125,"SRA826293_SRS4181127","testis",FALSE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
"mv06h_query_method_outcome_v1","mv06f_group_v1:67858282214382f3e8fecbe28b794feda7d00799e52ae46575d632bd59d1a89d","large_loso_v1:SRA740174","SRA740174",20260805,"cell_H0","SRA740174_SRS3548783","bone marrow",86,"SRA779509_SRS3805251",15,0.0666666666666667,"SRA760933_SRS3693061","liver",FALSE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
"mv06h_query_method_outcome_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7","large_loso_v1:SRA779509","SRA779509",20260805,"cell_H0","SRA779509_SRS3805245","bone marrow",65,"SRA621638_SRS2610283",5,0.2,"SRA826293_SRS4181129","testis",FALSE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
"mv06h_query_method_outcome_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7","large_loso_v1:SRA779509","SRA779509",20260805,"cell_H0","SRA779509_SRS3805246","bone marrow",65,"SRA621638_SRS2610285",21,0.0476190476190476,"SRA826293_SRS4181123","testis",FALSE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
"mv06h_query_method_outcome_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7","large_loso_v1:SRA779509","SRA779509",20260805,"cell_H0","SRA779509_SRS3805247","bone marrow",65,"SRA621638_SRS2610285",26,0.0384615384615385,"SRA550660_SRS2089637","pbmc",FALSE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
"mv06h_query_method_outcome_v1","mv06f_group_v1:1fdd87ee5e65ad31c7f286b5b15dc9e13314d98d6ca81e353781a52bde5bbac7","large_loso_v1:SRA779509","SRA779509",20260805,"cell_H0","SRA779509_SRS3805248","bone marrow",65,"SRA621638_SRS2610285",25,0.04,"SRA550660_SRS2089637","pbmc",FALSE,"estimable",TRUE,FALSE,FALSE,FALSE,TRUE
