"contract_id","method_id","query_sample_id","query_tissue","held_out_study","mean_reciprocal_rank","one_nn_balanced_accuracy","seeds"
"mv06h_sample_method_summary_v1","cell_H0","SRA550660_SRS2089635","pbmc","SRA550660",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA550660_SRS2089636","pbmc","SRA550660",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA550660_SRS2089637","pbmc","SRA550660",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA550660_SRS2089638","pbmc","SRA550660",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA550660_SRS2089639","pbmc","SRA550660",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA621638_SRS2610283","bone marrow","SRA621638",0.55,0.2,5
"mv06h_sample_method_summary_v1","cell_H0","SRA621638_SRS2610285","bone marrow","SRA621638",0.9,0.8,5
"mv06h_sample_method_summary_v1","cell_H0","SRA628554_SRS2664364","pbmc","SRA628554",0.7,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA628554_SRS2664365","pbmc","SRA628554",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS2823404","testis","SRA645804",0.9,0.8,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS2823405","testis","SRA645804",0.9,0.8,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS2823406","testis","SRA645804",0.766666666666667,0.6,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS2823407","testis","SRA645804",0.511904761904762,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS2823408","testis","SRA645804",0.0925727866904337,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS2823409","testis","SRA645804",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS2823410","testis","SRA645804",0.766666666666667,0.6,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS2823411","testis","SRA645804",0.441666666666667,0.2,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS2823412","testis","SRA645804",0.7,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA645804_SRS3572594","testis","SRA645804",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA667709_SRS3065426","testis","SRA667709",0.573333333333333,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA667709_SRS3065427","testis","SRA667709",0.628571428571429,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA667709_SRS3065428","testis","SRA667709",0.263333333333333,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA667709_SRS3065429","testis","SRA667709",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA667709_SRS3065430","testis","SRA667709",0.545238095238095,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA667709_SRS3065431","testis","SRA667709",0.728571428571429,0.6,5
"mv06h_sample_method_summary_v1","cell_H0","SRA703206_SRS3296611","colon","SRA703206",0.0298884915540885,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA703206_SRS3296612","colon","SRA703206",0.069498556998557,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA703206_SRS3296613","colon","SRA703206",0.6,0.2,5
"mv06h_sample_method_summary_v1","cell_H0","SRA703206_SRS3296614","colon","SRA703206",0.9,0.8,5
"mv06h_sample_method_summary_v1","cell_H0","SRA713577_SRS3363004","pbmc","SRA713577",0.416666666666667,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA716608_SRS3391629","liver","SRA716608",0.0145515709070696,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA716608_SRS3391630","liver","SRA716608",0.0154964893726686,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA716608_SRS3391631","liver","SRA716608",0.0140519576526925,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA716608_SRS3391632","liver","SRA716608",0.0754711954711955,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA716608_SRS3391633","liver","SRA716608",0.0142501413711024,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA728025_SRS3454421","colon","SRA728025",0.0918997668997669,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA728025_SRS3454422","colon","SRA728025",0.466666666666667,0.2,5
"mv06h_sample_method_summary_v1","cell_H0","SRA728025_SRS3454423","colon","SRA728025",0.202222222222222,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA728025_SRS3454424","colon","SRA728025",0.5,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA728025_SRS3454425","colon","SRA728025",0.161111111111111,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA728025_SRS3454426","colon","SRA728025",0.273333333333333,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA728025_SRS3454427","colon","SRA728025",0.222222222222222,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA728025_SRS3454428","colon","SRA728025",0.123566433566434,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA728025_SRS3454430","colon","SRA728025",0.180793650793651,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA740174_SRS3548780","bone marrow","SRA740174",0.176515151515152,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA740174_SRS3548781","bone marrow","SRA740174",0.280555555555556,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA740174_SRS3548782","bone marrow","SRA740174",0.144365079365079,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA740174_SRS3548783","bone marrow","SRA740174",0.113419913419913,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA749327_SRS3693910","pbmc","SRA749327",0.148717948717949,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA749327_SRS3693911","pbmc","SRA749327",0.733333333333333,0.6,5
"mv06h_sample_method_summary_v1","cell_H0","SRA749327_SRS3693912","pbmc","SRA749327",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA749327_SRS3693913","pbmc","SRA749327",1,1,5
"mv06h_sample_method_summary_v1","cell_H0","SRA760933_SRS3693061","liver","SRA760933",0.0277949377949378,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805245","bone marrow","SRA779509",0.54,0.2,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805246","bone marrow","SRA779509",0.0569888444888445,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805247","bone marrow","SRA779509",0.0424755244755245,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805248","bone marrow","SRA779509",0.0411711766494375,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805249","bone marrow","SRA779509",0.0451889483065954,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805250","bone marrow","SRA779509",0.0473766233766234,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805251","bone marrow","SRA779509",0.138888888888889,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805252","bone marrow","SRA779509",0.119102564102564,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805253","bone marrow","SRA779509",0.236363636363636,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805254","bone marrow","SRA779509",0.203888888888889,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805255","bone marrow","SRA779509",0.253419913419913,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805256","bone marrow","SRA779509",0.575,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805257","bone marrow","SRA779509",0.227142857142857,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805258","bone marrow","SRA779509",0.3202331002331,0.2,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805259","bone marrow","SRA779509",0.143888888888889,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805260","bone marrow","SRA779509",0.0536147186147186,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805261","bone marrow","SRA779509",0.0826190476190476,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805262","bone marrow","SRA779509",0.104126984126984,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805263","bone marrow","SRA779509",0.16576635924462,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805264","bone marrow","SRA779509",0.102598039215686,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805265","bone marrow","SRA779509",0.0667112299465241,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805266","bone marrow","SRA779509",0.191515151515151,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805267","bone marrow","SRA779509",0.0465899800682409,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805268","bone marrow","SRA779509",0.148571428571429,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA779509_SRS3805269","bone marrow","SRA779509",0.137619047619048,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA784242_SRS3822680","testis","SRA784242",0.393181818181818,0.2,5
"mv06h_sample_method_summary_v1","cell_H0","SRA784242_SRS3822682","testis","SRA784242",0.241666666666667,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA784242_SRS3822683","testis","SRA784242",0.193030303030303,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA784242_SRS3822686","testis","SRA784242",0.397619047619048,0.2,5
"mv06h_sample_method_summary_v1","cell_H0","SRA826293_SRS4181123","testis","SRA826293",0.0683561670975859,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA826293_SRS4181124","testis","SRA826293",0.706666666666667,0.6,5
"mv06h_sample_method_summary_v1","cell_H0","SRA826293_SRS4181125","testis","SRA826293",0.0534057402865452,0,5
"mv06h_sample_method_summary_v1","cell_H0","SRA826293_SRS4181126","testis","SRA826293",0.262836134453782,0.2,5
"mv06h_sample_method_summary_v1","cell_H0","SRA826293_SRS4181127","testis","SRA826293",0.666666666666667,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA826293_SRS4181128","testis","SRA826293",0.55,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA826293_SRS4181129","testis","SRA826293",0.616666666666667,0.4,5
"mv06h_sample_method_summary_v1","cell_H0","SRA826293_SRS4181130","testis","SRA826293",0.616666666666667,0.4,5
"mv06h_sample_method_summary_v1","cell_H1","SRA550660_SRS2089635","pbmc","SRA550660",0.74,0.6,5
"mv06h_sample_method_summary_v1","cell_H1","SRA550660_SRS2089636","pbmc","SRA550660",1,1,5
"mv06h_sample_method_summary_v1","cell_H1","SRA550660_SRS2089637","pbmc","SRA550660",1,1,5
"mv06h_sample_method_summary_v1","cell_H1","SRA550660_SRS2089638","pbmc","SRA550660",0.85,0.8,5
"mv06h_sample_method_summary_v1","cell_H1","SRA550660_SRS2089639","pbmc","SRA550660",1,1,5
"mv06h_sample_method_summary_v1","cell_H1","SRA621638_SRS2610283","bone marrow","SRA621638",0.257051282051282,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA621638_SRS2610285","bone marrow","SRA621638",0.866666666666667,0.8,5
"mv06h_sample_method_summary_v1","cell_H1","SRA628554_SRS2664364","pbmc","SRA628554",0.6,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA628554_SRS2664365","pbmc","SRA628554",1,1,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS2823404","testis","SRA645804",0.8,0.6,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS2823405","testis","SRA645804",0.6,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS2823406","testis","SRA645804",0.6,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS2823407","testis","SRA645804",0.495238095238095,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS2823408","testis","SRA645804",0.245,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS2823409","testis","SRA645804",0.84,0.8,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS2823410","testis","SRA645804",0.9,0.8,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS2823411","testis","SRA645804",0.566666666666667,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS2823412","testis","SRA645804",0.268571428571429,0,5
"mv06h_sample_method_summary_v1","cell_H1","SRA645804_SRS3572594","testis","SRA645804",1,1,5
"mv06h_sample_method_summary_v1","cell_H1","SRA667709_SRS3065426","testis","SRA667709",0.9,0.8,5
"mv06h_sample_method_summary_v1","cell_H1","SRA667709_SRS3065427","testis","SRA667709",0.6,0.4,5
"mv06h_sample_method_summary_v1","cell_H1","SRA667709_SRS3065428","testis","SRA667709",0.666666666666667,0.4,5
"mv06h_sample_method_summary_v1","cell_H1","SRA667709_SRS3065429","testis","SRA667709",0.428571428571429,0.2,5
"mv06h_sample_method_summary_v1","cell_H1","SRA667709_SRS3065430","testis","SRA667709",0.9,0.8,5
"mv06h_sample_method_summary_v1","cell_H1","SRA667709_SRS3065431","testis","SRA667709",0.9,0.8,5
