"contract_id","criterion_order","criterion_id","passed","evidence"
"mv07a_acceptance_criteria_v1",1,"source_freeze_complete",TRUE,"23_of_23_files_exist_and_hash"
"mv07a_acceptance_criteria_v1",2,"robustness_axes_complete",TRUE,"14_fixed_axes"
"mv07a_acceptance_criteria_v1",3,"confounding_axes_complete",TRUE,"10_fixed_axes"
"mv07a_acceptance_criteria_v1",4,"landscape_contract_preserved",TRUE,"8_of_8_items_unchanged"
"mv07a_acceptance_criteria_v1",5,"cell_gene_boundaries_separate",TRUE,"view_specific_states_and_claims"
"mv07a_acceptance_criteria_v1",6,"negative_fusion_retained",TRUE,"mv06h_no_reliable_outperformance"
"mv07a_acceptance_criteria_v1",7,"selection_firewall",TRUE,"zero_numerical_rows_to_decision"
"mv07a_acceptance_criteria_v1",8,"no_new_ph_or_data",TRUE,"both_authorizations_false"
"mv07a_acceptance_criteria_v1",9,"computation_reconciled",TRUE,"four_measured_plus_one_bounded_projection"
"mv07a_acceptance_criteria_v1",10,"single_structural_next_action",TRUE,"mv7b_prefreeze_only"
