"contrast_id","endpoint_id","deletion_axis","deleted_id","full_estimate","deletion_estimate","sign_changed"
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA550660",0.0586408492842693,0.0483795550229751,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA621638",0.0586408492842693,0.054309123453064,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA628554",0.0586408492842693,0.0374476868911069,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA645804",0.0586408492842693,0.0598868008727368,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA667709",0.0586408492842693,0.0596682424757626,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA703206",0.0586408492842693,0.0484662887964127,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA713577",0.0586408492842693,0.0717954724388925,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA716608",0.0586408492842693,-0.0119891325636323,TRUE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA728025",0.0586408492842693,0.0815336103819466,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA740174",0.0586408492842693,0.0667564824380575,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA749327",0.0586408492842693,0.076023327916748,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA760933",0.0586408492842693,0.0727668456538497,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA779509",0.0586408492842693,0.0430571749430486,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA784242",0.0586408492842693,0.0688908748012449,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","study","SRA826293",0.0586408492842693,0.0440893297236354,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","tissue","bone marrow",0.0586408492842693,0.0880635922959342,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","tissue","colon",0.0586408492842693,0.00615784125429925,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","tissue","liver",0.0586408492842693,0.0980648498467252,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","tissue","pbmc",0.0586408492842693,0.0382583265626016,FALSE
"cell_H0_minus_gene_H0","mean_reciprocal_rank","tissue","testis",0.0586408492842693,0.0626596364617863,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA550660",0.0522096183386506,0.0293524754815077,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA621638",0.0522096183386506,0.0478047240116205,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA628554",0.0522096183386506,0.0322096183386506,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA645804",0.0522096183386506,0.0612572373862696,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA667709",0.0522096183386506,0.0497420858711181,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA703206",0.0522096183386506,0.0381925243215566,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA713577",0.0522096183386506,0.0740278001568324,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA716608",0.0522096183386506,0.0188762850053172,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA728025",0.0522096183386506,0.0837480798771121,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA740174",0.0522096183386506,0.0575620675620675,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA749327",0.0522096183386506,0.0672096183386506,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA760933",0.0522096183386506,0.0588762850053172,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA779509",0.0522096183386506,0.0494139194139194,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA784242",0.0522096183386506,0.059590570719603,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","study","SRA826293",0.0522096183386506,0.0379239040529363,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","tissue","bone marrow",0.0522096183386506,0.0701007326007326,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","tissue","colon",0.0522096183386506,0.0421850998463901,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","tissue","liver",0.0522096183386506,0.0735953562566466,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","tissue","pbmc",0.0522096183386506,0.0152620229233132,FALSE
"cell_H0_minus_gene_H0","one_nn_balanced_accuracy","tissue","testis",0.0522096183386506,0.0599048800661704,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA550660",0.0736966382500116,0.0579649678040555,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA621638",0.0736966382500116,0.0738210966009851,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA628554",0.0736966382500116,0.0840765324299058,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA645804",0.0736966382500116,0.10044432440445,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA667709",0.0736966382500116,0.0727095716262596,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA703206",0.0736966382500116,0.0597140079093683,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA713577",0.0736966382500116,0.0822026507560241,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA716608",0.0736966382500116,0.0570847056479593,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA728025",0.0736966382500116,0.105157556516459,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA740174",0.0736966382500116,0.074780808361683,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA749327",0.0736966382500116,0.0627912149695883,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA760933",0.0736966382500116,0.0770190247704221,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA779509",0.0736966382500116,0.0682163240511178,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA784242",0.0736966382500116,0.0611147151401141,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","study","SRA826293",0.0736966382500116,0.0658078017290211,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","tissue","bone marrow",0.0736966382500116,0.123150246611376,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","tissue","colon",0.0736966382500116,0.0324484773613187,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","tissue","liver",0.0736966382500116,0.0984971231717783,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","tissue","pbmc",0.0736966382500116,0.0772464591881759,FALSE
"cell_H1_minus_gene_H1","mean_reciprocal_rank","tissue","testis",0.0736966382500116,0.0371408849174092,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA550660",0.0751872858324471,0.0504253810705424,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA621638",0.0751872858324471,0.0766110900593659,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA628554",0.0751872858324471,0.0938539524991138,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA645804",0.0751872858324471,0.106457127102288,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA667709",0.0751872858324471,0.0709015715467328,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA703206",0.0751872858324471,0.0515975422427035,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA713577",0.0751872858324471,0.0873084979536592,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA716608",0.0751872858324471,0.0751872858324471,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA728025",0.0751872858324471,0.12826420890937,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA740174",0.0751872858324471,0.0738013838013838,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA749327",0.0751872858324471,0.0568539524991138,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA760933",0.0751872858324471,0.0751872858324471,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA779509",0.0751872858324471,0.0745421245421245,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA784242",0.0751872858324471,0.0609015715467328,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","study","SRA826293",0.0751872858324471,0.0689015715467328,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","tissue","bone marrow",0.0751872858324471,0.118177655677656,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","tissue","colon",0.0751872858324471,0.0478302611367128,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","tissue","liver",0.0751872858324471,0.0939841072905589,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","tissue","pbmc",0.0751872858324471,0.0773174406238923,FALSE
"cell_H1_minus_gene_H1","one_nn_balanced_accuracy","tissue","testis",0.0751872858324471,0.038626964433416,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA550660",0.0370572568001835,0.0274673097102364,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA621638",0.0370572568001835,0.0336278852009296,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA628554",0.0370572568001835,0.047038738281665,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA645804",0.0370572568001835,0.054943910901032,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA667709",0.0370572568001835,0.03989891500635,FALSE
