"method_id","endpoint_id","study_id","snrna_minus_scrna"
"cell_H0","mean_reciprocal_rank","SRA550660",0
"cell_H0","mean_reciprocal_rank","SRA645804",0.00780027162380093
"cell_H0","mean_reciprocal_rank","SRA779509",-0.123380755587597
"cell_H0","one_nn_balanced_accuracy","SRA550660",0
"cell_H0","one_nn_balanced_accuracy","SRA645804",0.0399999999999999
"cell_H0","one_nn_balanced_accuracy","SRA779509",-0.0333333333333333
"cell_H1","mean_reciprocal_rank","SRA550660",0.136666666666667
"cell_H1","mean_reciprocal_rank","SRA645804",0.0383333333333334
"cell_H1","mean_reciprocal_rank","SRA779509",-0.121656380274256
"cell_H1","one_nn_balanced_accuracy","SRA550660",0.2
"cell_H1","one_nn_balanced_accuracy","SRA645804",0.24
"cell_H1","one_nn_balanced_accuracy","SRA779509",-0.025
"gene_H0","mean_reciprocal_rank","SRA550660",-0.252222222222223
"gene_H0","mean_reciprocal_rank","SRA645804",0.52680876283695
"gene_H0","mean_reciprocal_rank","SRA779509",-0.144361835236238
"gene_H0","one_nn_balanced_accuracy","SRA550660",-0.4
"gene_H0","one_nn_balanced_accuracy","SRA645804",0.56
"gene_H0","one_nn_balanced_accuracy","SRA779509",-0.05
"gene_H1","mean_reciprocal_rank","SRA550660",-0.434603174603174
"gene_H1","mean_reciprocal_rank","SRA645804",0.0660476190476195
"gene_H1","mean_reciprocal_rank","SRA779509",-0.156643707887836
"gene_H1","one_nn_balanced_accuracy","SRA550660",-0.566666666666667
"gene_H1","one_nn_balanced_accuracy","SRA645804",0.12
"gene_H1","one_nn_balanced_accuracy","SRA779509",-0.125
"cell_composite","mean_reciprocal_rank","SRA550660",0
"cell_composite","mean_reciprocal_rank","SRA645804",0.173999000999001
"cell_composite","mean_reciprocal_rank","SRA779509",-0.125658108482009
"cell_composite","one_nn_balanced_accuracy","SRA550660",0
"cell_composite","one_nn_balanced_accuracy","SRA645804",0.4
"cell_composite","one_nn_balanced_accuracy","SRA779509",-0.0583333333333333
"gene_composite","mean_reciprocal_rank","SRA550660",0.0277777777777776
"gene_composite","mean_reciprocal_rank","SRA645804",0.52191789909437
"gene_composite","mean_reciprocal_rank","SRA779509",-0.1924922953578
"gene_composite","one_nn_balanced_accuracy","SRA550660",0.0333333333333333
"gene_composite","one_nn_balanced_accuracy","SRA645804",0.56
"gene_composite","one_nn_balanced_accuracy","SRA779509",-0.0833333333333333
