"method_id","endpoint_id","estimate","ci_lower","ci_upper","mixed_studies","replicates","seed"
"cell_H0","mean_reciprocal_rank",-0.038526827987932,-0.123380755587597,0.00780027162380093,3,2000,20260818
"cell_H0","one_nn_balanced_accuracy",0.0022222222222222,-0.0333333333333333,0.0399999999999999,3,2000,20260818
"cell_H1","mean_reciprocal_rank",0.017781206575248,-0.121656380274256,0.136666666666667,3,2000,20260818
"cell_H1","one_nn_balanced_accuracy",0.138333333333333,-0.025,0.24,3,2000,20260818
"gene_H0","mean_reciprocal_rank",0.043408235126163,-0.252222222222223,0.52680876283695,3,2000,20260818
"gene_H0","one_nn_balanced_accuracy",0.0366666666666667,-0.4,0.56,3,2000,20260818
"gene_H1","mean_reciprocal_rank",-0.175066421147797,-0.434603174603174,0.0660476190476195,3,2000,20260818
"gene_H1","one_nn_balanced_accuracy",-0.190555555555556,-0.566666666666667,0.12,3,2000,20260818
"cell_composite","mean_reciprocal_rank",0.0161136308389971,-0.125658108482009,0.173999000999001,3,2000,20260818
"cell_composite","one_nn_balanced_accuracy",0.113888888888889,-0.0583333333333333,0.4,3,2000,20260818
"gene_composite","mean_reciprocal_rank",0.119067793838116,-0.1924922953578,0.52191789909437,3,2000,20260818
"gene_composite","one_nn_balanced_accuracy",0.17,-0.0833333333333333,0.56,3,2000,20260818
