"contract_id","criterion_order","criterion_id","passed","evidence"
"mv07d_acceptance_criteria_v1",1,"candidate_axis_127",TRUE,"127 public candidates"
"mv07d_acceptance_criteria_v1",2,"retained_axis_124",TRUE,"124 post-QC retained"
"mv07d_acceptance_criteria_v1",3,"primary_axis_90",TRUE,"90 accepted queries"
"mv07d_acceptance_criteria_v1",4,"single_study_omission_34",TRUE,"12 pancreatic plus 16 prostate plus 6 substantia nigra"
"mv07d_acceptance_criteria_v1",5,"below_threshold_3",TRUE,"166 169 and 197 post-QC cells"
"mv07d_acceptance_criteria_v1",6,"source_coverage_complete",TRUE,"127 sparse 127 Seurat 90 corrected"
"mv07d_acceptance_criteria_v1",7,"sentinel_panel_frozen",TRUE,"minimum and maximum depth per omitted tissue"
"mv07d_acceptance_criteria_v1",8,"approach_disagreements_explicit",TRUE,"16 retained metadata conflicts retained"
"mv07d_acceptance_criteria_v1",9,"landscape_contract_preserved",TRUE,"eight fixed items"
"mv07d_acceptance_criteria_v1",10,"no_expanded_outcome",TRUE,"source and SCT feasibility only"
"mv07d_acceptance_criteria_v1",11,"separate_estimand_populations",TRUE,"five explicit populations"
