"sample_id","study","tissue","approach","approach_public","approach_historical_retained","approach_metadata_conflict","post_qc_cells","corpus_class","candidate_sparse_rdata_found","individual_seurat_rds_found","corrected_artifact_status","outcome_use"
"SRA850958_SRS4386092","SRA850958","substantia nigra","snRNA-seq","snRNA-seq",,FALSE,169,"below_250_pre_ph_exclusion",TRUE,TRUE,"not_computed_below_250","separate_threshold_sensitivity_not_authorized"
"SRA850958_SRS4386091","SRA850958","substantia nigra","snRNA-seq","snRNA-seq",,FALSE,197,"below_250_pre_ph_exclusion",TRUE,TRUE,"not_computed_below_250","separate_threshold_sensitivity_not_authorized"
"SRA850958_SRS4386107","SRA850958","substantia nigra","snRNA-seq","snRNA-seq",,FALSE,166,"below_250_pre_ph_exclusion",TRUE,TRUE,"not_computed_below_250","separate_threshold_sensitivity_not_authorized"
"SRA850958_SRS4386101","SRA850958","substantia nigra","snRNA-seq","snRNA-seq","snRNA-seq",FALSE,1015,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA850958_SRS4386110","SRA850958","substantia nigra","scRNA-seq","snRNA-seq","scRNA-seq",TRUE,617,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA850958_SRS4386109","SRA850958","substantia nigra","scRNA-seq","snRNA-seq","scRNA-seq",TRUE,809,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA850958_SRS4386113","SRA850958","substantia nigra","snRNA-seq","snRNA-seq","snRNA-seq",FALSE,584,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA850958_SRS4386112","SRA850958","substantia nigra","snRNA-seq","snRNA-seq","snRNA-seq",FALSE,713,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA850958_SRS4386111","SRA850958","substantia nigra","snRNA-seq","snRNA-seq","snRNA-seq",FALSE,778,"single_study_tissue_descriptive_only",TRUE,TRUE,"not_computed_omitted_34","descriptive_only"
"SRA826293_SRS4181124","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1664,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA826293_SRS4181125","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,609,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA826293_SRS4181123","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4490,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA826293_SRS4181126","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2250,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA826293_SRS4181127","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5276,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA826293_SRS4181128","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4681,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA826293_SRS4181129","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4038,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA826293_SRS4181130","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,7965,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA784242_SRS3822686","SRA784242","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,623,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
"SRA784242_SRS3822683","SRA784242","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,647,"primary_cross_study_eligible",TRUE,TRUE,"complete_accepted_90","primary_and_descriptive"
