"candidate_order","sample_id","study","tissue","approach","approach_public","approach_historical_retained","approach_metadata_conflict","post_qc_cells","historical_min_cells","historical_retained_124","historical_ph_output_expected","corrected_primary_90","corrected_descriptive_124","threshold_sensitivity_only","corpus_class","reason_code","outcome_use","candidate_sparse_rdata_found","individual_seurat_rds_found","corrected_artifact_status"
1,"SRA850958_SRS4386092","SRA850958","substantia nigra","snRNA-seq","snRNA-seq",,FALSE,169,250,FALSE,FALSE,FALSE,FALSE,TRUE,"below_250_pre_ph_exclusion","excluded_post_qc_min_cells","separate_threshold_sensitivity_not_authorized",TRUE,TRUE,"not_computed_below_250"
2,"SRA850958_SRS4386091","SRA850958","substantia nigra","snRNA-seq","snRNA-seq",,FALSE,197,250,FALSE,FALSE,FALSE,FALSE,TRUE,"below_250_pre_ph_exclusion","excluded_post_qc_min_cells","separate_threshold_sensitivity_not_authorized",TRUE,TRUE,"not_computed_below_250"
3,"SRA850958_SRS4386107","SRA850958","substantia nigra","snRNA-seq","snRNA-seq",,FALSE,166,250,FALSE,FALSE,FALSE,FALSE,TRUE,"below_250_pre_ph_exclusion","excluded_post_qc_min_cells","separate_threshold_sensitivity_not_authorized",TRUE,TRUE,"not_computed_below_250"
4,"SRA850958_SRS4386101","SRA850958","substantia nigra","snRNA-seq","snRNA-seq","snRNA-seq",FALSE,1015,250,TRUE,TRUE,FALSE,TRUE,FALSE,"single_study_tissue_descriptive_only","single_study_tissue_not_estimable","descriptive_only",TRUE,TRUE,"not_computed_omitted_34"
5,"SRA850958_SRS4386110","SRA850958","substantia nigra","scRNA-seq","snRNA-seq","scRNA-seq",TRUE,617,250,TRUE,TRUE,FALSE,TRUE,FALSE,"single_study_tissue_descriptive_only","single_study_tissue_not_estimable","descriptive_only",TRUE,TRUE,"not_computed_omitted_34"
6,"SRA850958_SRS4386109","SRA850958","substantia nigra","scRNA-seq","snRNA-seq","scRNA-seq",TRUE,809,250,TRUE,TRUE,FALSE,TRUE,FALSE,"single_study_tissue_descriptive_only","single_study_tissue_not_estimable","descriptive_only",TRUE,TRUE,"not_computed_omitted_34"
7,"SRA850958_SRS4386113","SRA850958","substantia nigra","snRNA-seq","snRNA-seq","snRNA-seq",FALSE,584,250,TRUE,TRUE,FALSE,TRUE,FALSE,"single_study_tissue_descriptive_only","single_study_tissue_not_estimable","descriptive_only",TRUE,TRUE,"not_computed_omitted_34"
8,"SRA850958_SRS4386112","SRA850958","substantia nigra","snRNA-seq","snRNA-seq","snRNA-seq",FALSE,713,250,TRUE,TRUE,FALSE,TRUE,FALSE,"single_study_tissue_descriptive_only","single_study_tissue_not_estimable","descriptive_only",TRUE,TRUE,"not_computed_omitted_34"
9,"SRA850958_SRS4386111","SRA850958","substantia nigra","snRNA-seq","snRNA-seq","snRNA-seq",FALSE,778,250,TRUE,TRUE,FALSE,TRUE,FALSE,"single_study_tissue_descriptive_only","single_study_tissue_not_estimable","descriptive_only",TRUE,TRUE,"not_computed_omitted_34"
10,"SRA826293_SRS4181124","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1664,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
11,"SRA826293_SRS4181125","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,609,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
12,"SRA826293_SRS4181123","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4490,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
13,"SRA826293_SRS4181126","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2250,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
14,"SRA826293_SRS4181127","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5276,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
15,"SRA826293_SRS4181128","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4681,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
16,"SRA826293_SRS4181129","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4038,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
17,"SRA826293_SRS4181130","SRA826293","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,7965,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
18,"SRA784242_SRS3822686","SRA784242","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,623,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
19,"SRA784242_SRS3822683","SRA784242","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,647,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
20,"SRA784242_SRS3822682","SRA784242","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,574,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
21,"SRA784242_SRS3822680","SRA784242","testis","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,537,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
22,"SRA779509_SRS3805264","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,979,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
23,"SRA779509_SRS3805249","SRA779509","bone marrow","snRNA-seq","scRNA-seq","snRNA-seq",TRUE,874,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
24,"SRA779509_SRS3805261","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,1137,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
25,"SRA779509_SRS3805267","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,3427,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
26,"SRA779509_SRS3805260","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2989,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
27,"SRA779509_SRS3805256","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4564,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
28,"SRA779509_SRS3805253","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4111,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
29,"SRA779509_SRS3805250","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,3018,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
30,"SRA779509_SRS3805251","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,2111,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
31,"SRA779509_SRS3805257","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,3831,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
32,"SRA779509_SRS3805254","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4499,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
33,"SRA779509_SRS3805252","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5071,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
34,"SRA779509_SRS3805268","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5042,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
35,"SRA779509_SRS3805258","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5403,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
36,"SRA779509_SRS3805265","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5646,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
37,"SRA779509_SRS3805269","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5226,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
38,"SRA779509_SRS3805246","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5413,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
39,"SRA779509_SRS3805259","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5868,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
40,"SRA779509_SRS3805263","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5200,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
41,"SRA779509_SRS3805266","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5590,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
42,"SRA779509_SRS3805245","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,5651,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
43,"SRA779509_SRS3805248","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,4536,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
44,"SRA779509_SRS3805262","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,6124,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
45,"SRA779509_SRS3805255","SRA779509","bone marrow","scRNA-seq","scRNA-seq","scRNA-seq",FALSE,7261,250,TRUE,TRUE,TRUE,TRUE,FALSE,"primary_cross_study_eligible","included_primary_cross_study","primary_and_descriptive",TRUE,TRUE,"complete_accepted_90"
