"contract_id","source_id","artifact_locator","sha256","bytes","accepted_head","private_source"
"mv07d_source_freeze_v1","candidate_metadata","inst/extdata/inputs/metadata_MultiTissueAnalysis.csv","ca608488e474ff825f571e76ec13b1fab7e25132e0bbc4f4ebd9f0e994df02b4",19948,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","retained_metadata","private:historical_retained_metadata","e2b6f1e7d7dc05ba8e80627aad4ea1677c3b718a844397acd06596d7e22a18d0",33255,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",TRUE
"mv07d_source_freeze_v1","accepted_90_evidence","docs/audits/mv06h-outcome-evidence/mv06h-sample-method-summaries.csv","0558d2522379ef9852cb135ab46af664221d21879d185e7e476e0130da72159f",91699,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","phase0_trace","docs/audits/phase-0/BIORXIV_V2_RECONSTRUCTION_TRACE.md","f5a99c3aa4337a674d57a3b6d63ed3fae7e913ca6d9b56b86846834de74a15f9",7361,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","statistical_plan","docs/specifications/MV05_STATISTICAL_BENCHMARK_PLAN_V1.md","be07bd0d292efcd70fb225e2c547b60dee73dadf8061274dbea8d33a0c9295bf",19946,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","landscape_specification","docs/specifications/PERSISTENCE_LANDSCAPE_SPECIFICATION_V1.md","941b2bfd246d1766d544d97d23d571513c9d3c79ab76471b991b61efdeb0fddb",11589,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","helper","R/mv07d_full_corpus_reconciliation.R","82badc4391f7128aa2d7ea3aaddce007a5ec9198b0a393bb12d6e61be5edb538",10802,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","builder","scripts/build_mv07d_full_corpus_reconciliation.R","136c25028239a70a729bd37ad71467aeaa0d6f2a78f0130288747a3bdd3b71d2",10062,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","validator","scripts/validate_mv07d_full_corpus_reconciliation.R","df45aeeaf597cf149b9211a004227b1a521d2425a4082b55440a83a0335a263b",5669,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","feasibility_runner","scripts/run_mv07d_omitted_source_sct_feasibility.R","530f659af8701c89fc0869946de02caf68376a7431c3a142f7095110626cb3a6",9496,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","tests","tests/testthat/test-mv07d-full-corpus-reconciliation.R","0dcb1f2bc9b1334879841a40b443126e3ddd2663ce78611c78676b94dc4979e4",1967,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
"mv07d_source_freeze_v1","specification","docs/specifications/MV07D_FULL_CORPUS_RECONCILIATION_PREFREEZE_V1.md","bbad1eef0b5fb1d98eb700369c88a6052eceb6834580e5ae3b5ee895430f486c",4879,"f2588655ff4bf0ab6deb7c96316c93d3a93b3093",FALSE
