"sample_id","srs","srr","geo_sample","geo_series","public_approach","historical_heuristic_approach","canonical_approach","official_method_indicator","official_url","accessed_date"
"SRA550660_SRS2089637","SRS2089637","SRR5398238","GSM2560248","GSE96583","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify droplet-based single-cell RNA sequencing","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2560248","2026-08-15"
"SRA550660_SRS2089639","SRS2089639","SRR5398239","GSM2560249","GSE96583","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify droplet-based single-cell RNA sequencing","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2560249","2026-08-15"
"SRA628554_SRS2664364","SRS2664364","SRR6260181;SRR6260182","GSM2842538","GSE106543;GSE106544","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify 10x single-cell RNA sequencing","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2842538","2026-08-15"
"SRA628554_SRS2664365","SRS2664365","SRR6260183;SRR6260184","GSM2842539","GSE106543;GSE106544","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify 10x single-cell RNA sequencing","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2842539","2026-08-15"
"SRA645804_SRS2823408","SRS2823408","SRR6459192","GSM2928382","GSE109037","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify dissociated cells and single-cell libraries","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2928382","2026-08-15"
"SRA645804_SRS2823409","SRS2823409","SRR6459191","GSM2928381","GSE109037","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify dissociated cells and single-cell libraries","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2928381","2026-08-15"
"SRA645804_SRS2823410","SRS2823410","SRR6459193","GSM2928383","GSE109037","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify dissociated cells and single-cell libraries","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2928383","2026-08-15"
"SRA645804_SRS2823412","SRS2823412","SRR6459194","GSM2928384","GSE109037","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify dissociated cells and single-cell libraries","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2928384","2026-08-15"
"SRA645804_SRS3572594","SRS3572594","SRR7553900","GSM3302524","GSE109037","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify dissociated cells and single-cell libraries","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3302524","2026-08-15"
"SRA701877_SRS3279688","SRS3279688","SRR7142651","GSM3138944","GSE114297","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify dissociated pancreatic cells on a Chromium Single Cell instrument","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3138944","2026-08-15"
"SRA701877_SRS3279693","SRS3279693","SRR7142655","GSM3138948","GSE114297","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify dissociated pancreatic cells on a Chromium Single Cell instrument","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3138948","2026-08-15"
"SRA701877_SRS3279695","SRS3279695","SRR7142657","GSM3138950","GSE114297","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify dissociated pancreatic cells on a Chromium Single Cell instrument","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3138950","2026-08-15"
"SRA742961_SRS3565208","SRS3565208","SRR7545341","GSM3293884","GSE117403;GSE120716","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify single-cell suspensions loaded on a Chromium controller","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3293884","2026-08-15"
"SRA779509_SRS3805249","SRS3805249","SRR7881402","GSM3396164","GSE120221;GSE120446","scRNA-seq","snRNA-seq","scRNA-seq","Official GEO methods identify droplet-based 10x single-cell RNA sequencing","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3396164","2026-08-15"
"SRA850958_SRS4386109","SRS4386109","SRR8599208","GSM3615059","GSE126836","snRNA-seq","scRNA-seq","snRNA-seq","Official GEO methods identify tissue dissociation followed by nuclei extraction and DAPI singlet sorting","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3615059","2026-08-15"
"SRA850958_SRS4386110","SRS4386110","SRR8599209","GSM3615060","GSE126836","snRNA-seq","scRNA-seq","snRNA-seq","Official GEO methods identify tissue dissociation followed by nuclei extraction and DAPI singlet sorting","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM3615060","2026-08-15"
