"contract_id","sample_id","study","tissue","corrected_primary_90","historical_heuristic_approach","public_metadata_approach","canonical_approach","metadata_conflict","official_accession_resolution","canonical_source","historical_heuristic_use"
"mv07e_canonical_approach_v1","SRA550660_SRS2089635","SRA550660","pbmc",TRUE,"scRNA-seq","scRNA-seq","scRNA-seq",FALSE,FALSE,"public_metadata","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA550660_SRS2089636","SRA550660","pbmc",TRUE,"scRNA-seq","scRNA-seq","scRNA-seq",FALSE,FALSE,"public_metadata","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA550660_SRS2089637","SRA550660","pbmc",TRUE,"snRNA-seq","scRNA-seq","scRNA-seq",TRUE,TRUE,"public_metadata_confirmed_by_official_geo_methods","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA550660_SRS2089638","SRA550660","pbmc",TRUE,"scRNA-seq","scRNA-seq","scRNA-seq",FALSE,FALSE,"public_metadata","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA550660_SRS2089639","SRA550660","pbmc",TRUE,"snRNA-seq","scRNA-seq","scRNA-seq",TRUE,TRUE,"public_metadata_confirmed_by_official_geo_methods","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA621638_SRS2610283","SRA621638","bone marrow",TRUE,"scRNA-seq","scRNA-seq","scRNA-seq",FALSE,FALSE,"public_metadata","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA621638_SRS2610285","SRA621638","bone marrow",TRUE,"scRNA-seq","scRNA-seq","scRNA-seq",FALSE,FALSE,"public_metadata","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA628554_SRS2664364","SRA628554","pbmc",TRUE,"snRNA-seq","scRNA-seq","scRNA-seq",TRUE,TRUE,"public_metadata_confirmed_by_official_geo_methods","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA628554_SRS2664365","SRA628554","pbmc",TRUE,"snRNA-seq","scRNA-seq","scRNA-seq",TRUE,TRUE,"public_metadata_confirmed_by_official_geo_methods","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA645804_SRS2823404","SRA645804","testis",TRUE,"scRNA-seq","scRNA-seq","scRNA-seq",FALSE,FALSE,"public_metadata","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA645804_SRS2823405","SRA645804","testis",TRUE,"scRNA-seq","scRNA-seq","scRNA-seq",FALSE,FALSE,"public_metadata","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA645804_SRS2823406","SRA645804","testis",TRUE,"scRNA-seq","scRNA-seq","scRNA-seq",FALSE,FALSE,"public_metadata","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA645804_SRS2823407","SRA645804","testis",TRUE,"scRNA-seq","scRNA-seq","scRNA-seq",FALSE,FALSE,"public_metadata","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA645804_SRS2823408","SRA645804","testis",TRUE,"snRNA-seq","scRNA-seq","scRNA-seq",TRUE,TRUE,"public_metadata_confirmed_by_official_geo_methods","prohibited_for_scientific_approach_labels"
"mv07e_canonical_approach_v1","SRA645804_SRS2823409","SRA645804","testis",TRUE,"snRNA-seq","scRNA-seq","scRNA-seq",TRUE,TRUE,"public_metadata_confirmed_by_official_geo_methods","prohibited_for_scientific_approach_labels"
