"contract_id","sample_id","source_features","normalized_unique_features","panel_features","panel_features_present","missing_features","missing_feature_ids","expression_values_used","expression_values_exported","topology_read","biological_labels_read","source_basename","source_bytes","source_sha256"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279684",27466,27466,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279684.sparse.RData",9516144,"6af3c5cf3c224d0dddfddd0e2cad7cdf2967962e6f6f4653573d57a340e7ee49"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279685",24481,24481,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279685.sparse.RData",4968069,"b0a7fbf10172880ff6dc1761317601c6fd4c74e89a4b7959b1edbf63a485c8ba"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279686",28260,28260,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279686.sparse.RData",9693971,"ea80b614b0c05995afe72b24de28f738d1a480f3f5e3f07519d5ca4c59ba3fd8"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279687",29148,29148,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279687.sparse.RData",13553574,"8c9790e1b72b3429c8bdebfe5662ea0818f8176c6dda7148196131f4bd5b278e"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279688",21630,21630,500,499,1,"KLF2-ENSG00000127528.5",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279688.sparse.RData",1920989,"5045af8161f39787b4f0c90f0de8fd9930f545d35a19976353339e55df6274bd"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279689",28086,28086,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279689.sparse.RData",7373169,"1d64331a10c5b858c986b430014f9ed9ddec7771ba7dae38ccfc2f6f4a4b7e85"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279690",29902,29902,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279690.sparse.RData",13308452,"a20f4b7716c832fb4339bbec918996742f5eb537a7150217712d273f40c2a448"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279691",28858,28858,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279691.sparse.RData",9404402,"2c781a7679a3ba20b003279ce348d3003c7613a4407123ebc3caaddd5399e89a"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279692",31725,31725,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279692.sparse.RData",16725165,"adf35ce267dc5bd12b30ce57bf4b3c369e44478752df3ffd987c68c95f7bba45"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279693",28800,28800,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279693.sparse.RData",17881954,"9a3fdf82a5d04c2ab781277c74e3ba8098cab797fd8b011aa5c42d8bb620683b"
"mv07e_added_sample_panel_availability_v1","SRA701877_SRS3279694",26765,26765,500,500,0,"",FALSE,FALSE,FALSE,FALSE,"SRA701877_SRS3279694.sparse.RData",8526668,"637cd420d04870013c65f6bf5a036dcac7d2849654ba6e9c26f165fb1121479b"
