"contract_id","artifact","primary_sha256","repeat_sha256","primary_bytes","repeat_bytes","byte_identical"
"mv07e_byte_repeat_v1","mv07e-source-freeze.csv","f677113fb644bc77896aba7ba0e8a1d09f9f5b12bf1a2c4f833bf65783b4e12e","f677113fb644bc77896aba7ba0e8a1d09f9f5b12bf1a2c4f833bf65783b4e12e",2696,2696,TRUE
"mv07e_byte_repeat_v1","mv07e-accession-resolution.csv","fd1c2eb3d6089bc6b032f2dd96b1d31b4a83dafc48284d0a22a7e460d0698e02","fd1c2eb3d6089bc6b032f2dd96b1d31b4a83dafc48284d0a22a7e460d0698e02",4557,4557,TRUE
"mv07e_byte_repeat_v1","mv07e-approach-field-lineage.csv","a06b3625cad3081ac7edb5a4d019cfb061633d513aaa2e1f909bfb788095db3e","a06b3625cad3081ac7edb5a4d019cfb061633d513aaa2e1f909bfb788095db3e",622,622,TRUE
"mv07e_byte_repeat_v1","mv07e-canonical-approach.csv","ed37c25d00c62b09c3e598a551f75853afbb9f9d8b939300225808444d379b18","ed37c25d00c62b09c3e598a551f75853afbb9f9d8b939300225808444d379b18",24562,24562,TRUE
"mv07e_byte_repeat_v1","mv07e-approach-correction.csv","801b59b42581858ee3cc1c3beadf5bf52ebb95470822549f72f51599b80458c4","801b59b42581858ee3cc1c3beadf5bf52ebb95470822549f72f51599b80458c4",489,489,TRUE
"mv07e_byte_repeat_v1","mv07e-panel-availability.csv","8e79dd47477b95cf5f327d045370d8e776cc1d878aefd5da169aa54ca116f947","8e79dd47477b95cf5f327d045370d8e776cc1d878aefd5da169aa54ca116f947",8033,8033,TRUE
"mv07e_byte_repeat_v1","mv07e-panel-decision.csv","08f993468db68dc51768800440effaa7fd96433e3c41c8bb8a39e61e673a84c4","08f993468db68dc51768800440effaa7fd96433e3c41c8bb8a39e61e673a84c4",532,532,TRUE
"mv07e_byte_repeat_v1","mv07e-sample-seed-axis.csv","5e1d98a62bb6a14c497a7b04f75f9440cba29a6be406ed1e84e6769945f46574","5e1d98a62bb6a14c497a7b04f75f9440cba29a6be406ed1e84e6769945f46574",51468,51468,TRUE
"mv07e_byte_repeat_v1","mv07e-fit-scopes.csv","5283d3067da508289cf2f8d4a2a229de9837dd4452da292cc31078b2009b6d28","5283d3067da508289cf2f8d4a2a229de9837dd4452da292cc31078b2009b6d28",1310,1310,TRUE
"mv07e_byte_repeat_v1","mv07e-typed-topology.csv","9fadb2a26854b51f25c2595d77cdebbcef765a0bc5a5c093b838fa380fcffc60","9fadb2a26854b51f25c2595d77cdebbcef765a0bc5a5c093b838fa380fcffc60",663,663,TRUE
"mv07e_byte_repeat_v1","mv07e-pair-scope.csv","7b7380fe7a2ae8a8b840a50be89fe7feab807acca2397e63d013890c000b8974","7b7380fe7a2ae8a8b840a50be89fe7feab807acca2397e63d013890c000b8974",290,290,TRUE
"mv07e_byte_repeat_v1","mv07e-landscape-contract.csv","b74c8db1981720a9ab77b9bf1e2d82bb6bdb6c10f77fd0d481fcfe5cb1087187","b74c8db1981720a9ab77b9bf1e2d82bb6bdb6c10f77fd0d481fcfe5cb1087187",762,762,TRUE
"mv07e_byte_repeat_v1","mv07e-resource-resume-contract.csv","6f03e7c5598f903b2c8cc1dbea3bfe89da335262baa03f522af0bbcd433055b5","6f03e7c5598f903b2c8cc1dbea3bfe89da335262baa03f522af0bbcd433055b5",750,750,TRUE
"mv07e_byte_repeat_v1","mv07e-label-firewall.csv","761b1bfb75d79a8ff4997f3a6321e0a6374dc4850e802fcfb69a413b36562f0e","761b1bfb75d79a8ff4997f3a6321e0a6374dc4850e802fcfb69a413b36562f0e",1023,1023,TRUE
"mv07e_byte_repeat_v1","mv07e-stage-authorization.csv","488f09be96794b107e2fe552ea22a964c80863ef8eda8217a90147ae47474483","488f09be96794b107e2fe552ea22a964c80863ef8eda8217a90147ae47474483",807,807,TRUE
"mv07e_byte_repeat_v1","mv07e-acceptance-criteria.csv","2882b40d47098e07d62a6030f05516be65793c20c187c295fee8f54bbcd6cd4d","2882b40d47098e07d62a6030f05516be65793c20c187c295fee8f54bbcd6cd4d",1632,1632,TRUE
"mv07e_byte_repeat_v1","mv07e-decision.csv","89494bb07a0affb08fd0189ded8d6aab1331e29dc17d70b5a3ff7cac8e9cdea5","89494bb07a0affb08fd0189ded8d6aab1331e29dc17d70b5a3ff7cac8e9cdea5",507,507,TRUE
