"contract_id","criterion_order","criterion_id","passed","evidence"
"mv07f_prefreeze_acceptance_v1",1,"mv07e_authorization",TRUE,"MV7-E exact decision"
"mv07f_prefreeze_acceptance_v1",2,"source_freeze",TRUE,"19 exact code and evidence sources"
"mv07f_prefreeze_acceptance_v1",3,"source_coverage",TRUE,"34 unique individual Seurat sources"
"mv07f_prefreeze_acceptance_v1",4,"raw_queue",TRUE,"34 atomic raw jobs"
"mv07f_prefreeze_acceptance_v1",5,"sct_queue",TRUE,"170 atomic SCT jobs"
"mv07f_prefreeze_acceptance_v1",6,"seed_depth_axis",TRUE,"five seeds and 384 cells"
"mv07f_prefreeze_acceptance_v1",7,"resource_caps",TRUE,"four prospective caps"
"mv07f_prefreeze_acceptance_v1",8,"repeat_target",TRUE,"one fixed byte-repeat sample-seed"
"mv07f_prefreeze_acceptance_v1",9,"label_firewall",TRUE,"closed labels and zero outcomes"
"mv07f_prefreeze_acceptance_v1",10,"upstream_only",TRUE,"raw SCT and selections only"
