"contract_id","cache_kind","sample_id","seed","private_cache_file","private_cache_bytes","private_cache_sha256","payload_sha256"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279684",,"SRA701877_SRS3279684__raw.rds",8869636,"a36558b9f3b73987e1a34da7085b5855280a5cd6f29322696dbd498fcf90b0ad","e6f08bce8ffb3ad44f695d5349ad6a1bfe578c402cea79fd9bb6347d176f8b4c"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279685",,"SRA701877_SRS3279685__raw.rds",4378417,"560a25a46e039d730828a1d264dfdb40fca81671b6105c33b38fd63cfca53f10","2759fb06d255e7744e074167eefc1be796b712cefdcd32b2f2e1441935352893"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279686",,"SRA701877_SRS3279686__raw.rds",9096110,"a282e32adb5f62c46e472a13ac4e3db74b7d24948b638e32264937684a39eec0","b1ccb2ac342908300a827a564ee05d321b5add30e3110ad7ff29370a5680c26f"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279687",,"SRA701877_SRS3279687__raw.rds",12580253,"0bcb5b6d6730fb3e301d883c66615bf7b7f8e0996faa4280046b58c8d1d894fb","b6b105ef2a7195e06dfe68217a8d2bfd901e401009650779ae6088714b72606e"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279688",,"SRA701877_SRS3279688__raw.rds",1577887,"b5fc88c6ebe85042b0a163f43a6e03966ec70c65900f12383711698d84762dd2","98d7202e620e950b41b9569b85d4b8aa5b1ab3f4886e85f25eef9d00bc47ed4c"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279689",,"SRA701877_SRS3279689__raw.rds",6831478,"9dea14ec77417ce6c648c7b719154e45672cfe59b424721794bf5aa7c4ea3f44","07c76254074ded56b5850e08e27c81d0e135bb370d598b46924df82f47eb3ee4"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279690",,"SRA701877_SRS3279690__raw.rds",12129510,"f880e73265ebf278305d60ef2da186027fb634c2dc9ac2870099e0a20bf9e185","0c367e056942314e8540b00c0bbbe3070685525584af59e258bd6277841f1a69"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279691",,"SRA701877_SRS3279691__raw.rds",8597801,"23b397551655ef8ee1fe45fee122c779ef9c391574828d3413d52ec0183cf239","0960d79c250f7ea1d5140d28539d6af30499453fdd989e3f7b0667776c8efecd"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279692",,"SRA701877_SRS3279692__raw.rds",15441253,"b639ad9600a620ce835f19429281c6464f3470563c86a2d7a372d3939e3ee018","00f12c6bcde2669541492c3f284b907f6d88587d0080ac68bb3bc27d31b4abc9"
"mv07f_cache_manifest_v1","raw","SRA701877_SRS3279693",,"SRA701877_SRS3279693__raw.rds",11877245,"62ac41fb3011395bd8c7fdb0b1afcc47043afdfa1b8298e21ec968cdaad79c73","cbcfab389ba81a12414dd8885f26e2c752557b209165cb2ddfde755e74456efb"
