"contract_id","sample_id","expected_post_qc_cells","observed_genes","observed_cells","individual_source_file","individual_source_sha256","counts_sha256","private_cache_file","private_cache_bytes","private_cache_sha256","disposition","elapsed_seconds","peak_rss_bytes","outcome_label_state","biological_outcomes_computed"
"mv07f_raw_production_v1","SRA701877_SRS3279684",1885,19917,1885,"SRA701877_SRS3279684.rds","89656b2b8936c6b6af3538ff6fbde4848f73e12cb3f019233ea20a2bb06edf89","e6f08bce8ffb3ad44f695d5349ad6a1bfe578c402cea79fd9bb6347d176f8b4c","SRA701877_SRS3279684__raw.rds",8869636,"a36558b9f3b73987e1a34da7085b5855280a5cd6f29322696dbd498fcf90b0ad","reuse_validated",16.308954000473,680656896,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279685",943,17112,943,"SRA701877_SRS3279685.rds","fe9d1051c1032ed59ffa7ae6ebc59d10f72e6967d1550537be1aebc88e78f7be","2759fb06d255e7744e074167eefc1be796b712cefdcd32b2f2e1441935352893","SRA701877_SRS3279685__raw.rds",4378417,"560a25a46e039d730828a1d264dfdb40fca81671b6105c33b38fd63cfca53f10","reuse_validated",11.0751171112061,550567936,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279686",1632,20410,1632,"SRA701877_SRS3279686.rds","602b72f684aaca5979baccb78b39f3b3d881ac17c23490031218940a35940a7d","b1ccb2ac342908300a827a564ee05d321b5add30e3110ad7ff29370a5680c26f","SRA701877_SRS3279686__raw.rds",9096110,"a282e32adb5f62c46e472a13ac4e3db74b7d24948b638e32264937684a39eec0","reuse_validated",15.9923934936523,682143744,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279687",2106,21451,2106,"SRA701877_SRS3279687.rds","1209b627cce42210ecd8b1617c5131d2093d18e727d9783c65c460d286106d99","b6b105ef2a7195e06dfe68217a8d2bfd901e401009650779ae6088714b72606e","SRA701877_SRS3279687__raw.rds",12580253,"0bcb5b6d6730fb3e301d883c66615bf7b7f8e0996faa4280046b58c8d1d894fb","reuse_validated",20.6313285827637,796495872,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279688",396,13884,396,"SRA701877_SRS3279688.rds","fefd1448f284e5deaa24b10c3397bce96eecb73cb85a1565994cbeed48371343","98d7202e620e950b41b9569b85d4b8aa5b1ab3f4886e85f25eef9d00bc47ed4c","SRA701877_SRS3279688__raw.rds",1577887,"b5fc88c6ebe85042b0a163f43a6e03966ec70c65900f12383711698d84762dd2","reuse_validated",7.50176239013672,463626240,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279689",1090,19988,1090,"SRA701877_SRS3279689.rds","39e77a3e75eeac33b9c65c1b02bf41f49756380446effd68d38176464dbfd269","07c76254074ded56b5850e08e27c81d0e135bb370d598b46924df82f47eb3ee4","SRA701877_SRS3279689__raw.rds",6831478,"9dea14ec77417ce6c648c7b719154e45672cfe59b424721794bf5aa7c4ea3f44","built_atomic",14.4257879257202,610754560,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279690",2157,21914,2157,"SRA701877_SRS3279690.rds","ebe8d6462c0e44a7ba714c160865443e81e2e84b72d843dbd6d3323dd0a17320","0c367e056942314e8540b00c0bbbe3070685525584af59e258bd6277841f1a69","SRA701877_SRS3279690__raw.rds",12129510,"f880e73265ebf278305d60ef2da186027fb634c2dc9ac2870099e0a20bf9e185","built_atomic",22.6675665378571,774950912,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279691",1640,20783,1640,"SRA701877_SRS3279691.rds","82834a4fbcd6f23f2339036ca301e7dc9eab843311a7c9095996b8a3d48bc8a0","0960d79c250f7ea1d5140d28539d6af30499453fdd989e3f7b0667776c8efecd","SRA701877_SRS3279691__raw.rds",8597801,"23b397551655ef8ee1fe45fee122c779ef9c391574828d3413d52ec0183cf239","built_atomic",17.4665303230286,666677248,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279692",2619,23687,2619,"SRA701877_SRS3279692.rds","93bb9a3cb697b444efb93a7a785e4f7585251e525c93f0217b3a3a924febd96c","00f12c6bcde2669541492c3f284b907f6d88587d0080ac68bb3bc27d31b4abc9","SRA701877_SRS3279692__raw.rds",15441253,"b639ad9600a620ce835f19429281c6464f3470563c86a2d7a372d3939e3ee018","built_atomic",27.5417971611023,875200512,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279693",2491,20879,2491,"SRA701877_SRS3279693.rds","292f77c248f18b966d011fceaab2646e6f49b4c38f015aad4a7bd0c89122ac7c","cbcfab389ba81a12414dd8885f26e2c752557b209165cb2ddfde755e74456efb","SRA701877_SRS3279693__raw.rds",11877245,"62ac41fb3011395bd8c7fdb0b1afcc47043afdfa1b8298e21ec968cdaad79c73","built_atomic",24.6963772773743,769609728,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279694",2213,18859,2213,"SRA701877_SRS3279694.rds","aa4b1ce3f86f0d1bc2af3ec09081e53bb0e2a2a36dc2b4112c2d233cc74b0820","576cae58fd7c06d999420488646c4b50dd1ebd0be55b40e3a3f5dd94f210fbd8","SRA701877_SRS3279694__raw.rds",7712702,"92efbc926491ec874edd72f688d1afeb0dbd7233f0cc42031c724c2398554fba","built_atomic",18.0503218173981,661942272,"closed",FALSE
"mv07f_raw_production_v1","SRA701877_SRS3279695",2992,21759,2992,"SRA701877_SRS3279695.rds","c975b5eac0e6683d9207d4c7eb0574644eacd885e41d79e59590ce380573eacb","2c52a3f0f214a5ee26e8430c126820ca06f84620f5c4508ea4c1881564e640f6","SRA701877_SRS3279695__raw.rds",14151602,"7ff73e3646f3d377e03681f35870788a25bf4deb2e3c1bef5fc71b4371832d30","reuse_validated",22.4178595542908,841330688,"closed",FALSE
"mv07f_raw_production_v1","SRA742961_SRS3565195",5718,21491,5718,"SRA742961_SRS3565195.rds","479c909d36c65f5fa1f2d9591cda5d64d57a92391488534cf05ad4f0df93483a","8d8666b3fdd21c63226d4985ce68969591c0e1d0fdf41ae5ddc6fd666a53f1af","SRA742961_SRS3565195__raw.rds",16108148,"21d0cb012788e34415fe6d4b192d47b46cbc2f8676ed168bdd448937170ee1d0","built_atomic",37.391345500946,994320384,"closed",FALSE
"mv07f_raw_production_v1","SRA742961_SRS3565196",7791,22324,7791,"SRA742961_SRS3565196.rds","e7fd566ae687c18fee2a19cc40da3c10bd75c108642ecec514a6e100f34a00e1","0562d169fdf7be279d3b849cfb1c00e22df85d6368faa22bb61b3f00208667e4","SRA742961_SRS3565196__raw.rds",24170735,"25a12d8613a8490066af75ee047086759f7fd2b65a7682ab86d1eed7317d64c3","built_atomic",47.3658833503723,1275252736,"closed",FALSE
