"contract_id","sample_id","seed","selected_cells","selected_cell_sha256","normalization_cache_key","payload_sha256","sct_genes","sct_cells","finite_sct_payload","private_cache_file","private_cache_bytes","private_cache_sha256","disposition","elapsed_seconds","peak_rss_bytes","seurat_version","sctransform_version","matrix_version","r_version","outcome_label_state","biological_outcomes_computed"
"mv07f_sct_production_v1","SRA701877_SRS3279684",20260805,384,"080121efa7a26e5a92480be12ade467739ab848c37abf58e4985f431c7c55bfc","mv05d0_sample_seed_sct_v2:4182ac81372ea6ee35c8ea89b7966f17f9777825786a352c5fbd0b6817a8883c","02322f22a3bd1868d723345a3720b22956d632dbe345f14f1d0cd4b152ebf736",13007,384,TRUE,"SRA701877_SRS3279684__20260805__sct.rds",8002417,"3184ee27d2bf92493a14f4b874979136e9e43f7cfe56da929d75fdb3ea02042c","built_atomic",21.6817886829376,1153277952,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
"mv07f_sct_production_v1","SRA701877_SRS3279685",20260805,384,"692d16177bc43d68dc6ca9baeed0dd26095a61021f99f236c90d27f0970d0182","mv05d0_sample_seed_sct_v2:f63b172acb2b8999658a2255e1dd1f5dd66183712b6875cf3fc5ba74dfc907cd","8155ee8998b401fe542462c9d6387738e11eea683fcca8efa61d629b52d0bef6",13283,384,TRUE,"SRA701877_SRS3279685__20260805__sct.rds",8691037,"81ccb23a08668efcd89eb73003cb11a76b754e6a8abecdf862b49613a2c820a6","built_atomic",20.3869633674622,1205772288,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
"mv07f_sct_production_v1","SRA701877_SRS3279686",20260805,384,"d4f73a88a31fdd72028f3d8833ce8ac13a8746cd52369451290866227394cbd3","mv05d0_sample_seed_sct_v2:8cb05abe34023ba6102a4ed99dff9096414be5a7bc2e70c7a671d93a02e5bfe9","e000322aa769d28168d51bd12db95a880d912b96b6324f1f33266d8fed453961",14133,384,TRUE,"SRA701877_SRS3279686__20260805__sct.rds",10253912,"4f1b76efbd71af3a8c98a0dec50bfc1d5c6ba635df8f6c58090292a3d21729c0","built_atomic",21.4063808917999,1213431808,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
"mv07f_sct_production_v1","SRA701877_SRS3279687",20260805,384,"2f1636300c0a4938df59429489462497e1ace522bfbdc7cf8ea8e610b88a6faf","mv05d0_sample_seed_sct_v2:ddd9c8291b57939e0522c7c6db3fa2e58a99646a75018e7e5bb28a015a16a656","b2fca14e6090d8432c3c62aad9f01ae7ac04ccb62eb83ac851b2d5ebd86b4754",14271,384,TRUE,"SRA701877_SRS3279687__20260805__sct.rds",10394492,"ea7b708a49dc9c512623f196f9d61160cd2390152b935ed0c97ecbad0be331a1","built_atomic",21.4100024700165,1312931840,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
"mv07f_sct_production_v1","SRA701877_SRS3279688",20260805,384,"640f1d66d9edcbf9b28fe978fb16689f294c748d442e8e4156de4c42962d9d2f","mv05d0_sample_seed_sct_v2:46ecfffb937347ed681d6bd8ee4d16d223a9164c841b5d0d6c8a6d4e115a4e87","60da863cc1fbd8b4fac71ef3ee5b4543e955196972344e23cd0f536991327007",12724,384,TRUE,"SRA701877_SRS3279688__20260805__sct.rds",7237085,"f21b03d284a366ae2b12db193ca17fadbe19940dcfdbc34a710f66437091135e","reuse_validated",71.9789795875549,463065088,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
"mv07f_sct_production_v1","SRA701877_SRS3279689",20260805,384,"025cecdec06f34d888ba0883cbe4796420efac86dffe6a6cd5ecbf7c535b42ea","mv05d0_sample_seed_sct_v2:90605249fe6431033490e551c5ba263342dc32795381c88b31b9ef06d44e8d7a","559ef92d841acef6230609327b6e9a52f2a5fff8f9d8081cff7dbae69e7f0904",15122,384,TRUE,"SRA701877_SRS3279689__20260805__sct.rds",11845620,"db3927c8e276f98f28b5afe1c13b8a2d1ddecd44acce76f8c38b7b8bac75ce61","built_atomic",22.4215135574341,1287311360,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
"mv07f_sct_production_v1","SRA701877_SRS3279690",20260805,384,"a93c053734e72e7f25426f754f5da5ba65b986d07a8e24504e34ff06f653fa4e","mv05d0_sample_seed_sct_v2:4295aef7e22344b770be0c77c137fdb3c22af0ce1ff07669a2df1503b71bbcc0","a1c6646c56e96b86203b7eb69f16522487acf27c4891f4dbc0a80e8d99df0ad5",14456,384,TRUE,"SRA701877_SRS3279690__20260805__sct.rds",10514085,"acc027058e88bb872ee1ab2dd861e3985740f8d8f217d166890ca5d0acce8033","built_atomic",22.1545119285583,1305751552,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
"mv07f_sct_production_v1","SRA701877_SRS3279691",20260805,384,"79bb070f0108f3c8efaf43dbab9bb671d40c1691cf607047d48d9b07478d7589","mv05d0_sample_seed_sct_v2:8e6051b88e8058a543c491dd4514392cd652569e8fd70ab45ac3c2e657822b18","01443112c34e8b85b9977cb08217699f55eef03c41a37c638de0750f5a463457",14416,384,TRUE,"SRA701877_SRS3279691__20260805__sct.rds",8920014,"eba517c043d041c4a9ec09b81a08e05336907e67d6a9657ed7e54b7a77b6b6c6","built_atomic",22.4169702529907,1235845120,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
"mv07f_sct_production_v1","SRA701877_SRS3279692",20260805,384,"3e9f59b955b24de31c93d3798218e060930afc0330d5e8969baacb656591d0c1","mv05d0_sample_seed_sct_v2:4f7ff7cf74531421fd0c85e01f73f60f812f5a93760de62e1159b1047b32b64f","966b379643169d0470580c63499d83026f1d8b547472dd129df294415bd8b55e",15003,384,TRUE,"SRA701877_SRS3279692__20260805__sct.rds",10561984,"bc415ad27ad88eee51dd6050529f0dcb50daceb8905f44dacc0d91c816f2fc8c","built_atomic",20.8639595508575,1311162368,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
"mv07f_sct_production_v1","SRA701877_SRS3279693",20260805,384,"08864a3cc7c0b5be13a30a0444d0d51d39ba64f87f05c5c036de751919a0234e","mv05d0_sample_seed_sct_v2:ede11f2eccd430b15cd200da7ff4118f7c91e5dee15b7d2ecf7d95bcfb5705ef","10afc8cde839b6a04d413036507189c06a63763bbf00399e9abc08c01f8c8921",13180,384,TRUE,"SRA701877_SRS3279693__20260805__sct.rds",8531317,"7521e238d55e45c88a9cfcf188844d2915be596f1f3108373c3050386e277785","built_atomic",21.1203670501709,1225142272,"5.3.0","0.4.1","1.7.3","R version 4.4.1 (2024-06-14)","closed",FALSE
