"contract_id","category","passed","detail"
"mv07g_prefreeze_acceptance_v1","mv07fp_closure",TRUE,"500-gene canonical panel locked"
"mv07g_prefreeze_acceptance_v1","cache_axis",TRUE,"124 by five immutable caches"
"mv07g_prefreeze_acceptance_v1","sentinel_axis",TRUE,"six by five frozen identities"
"mv07g_prefreeze_acceptance_v1","fit_scopes",TRUE,"five global descriptive fits"
"mv07g_prefreeze_acceptance_v1","typed_topology",TRUE,"384-cell and 500-gene views"
"mv07g_prefreeze_acceptance_v1","queue",TRUE,"five fits plus sixty PH jobs"
"mv07g_prefreeze_acceptance_v1","resource_caps",TRUE,"serial no retry atomic"
"mv07g_prefreeze_acceptance_v1","cross_engine",TRUE,"first seed twelve views H0/H1"
"mv07g_prefreeze_acceptance_v1","repeat",TRUE,"one seed thirteen artifacts"
"mv07g_prefreeze_acceptance_v1","landscape_unchanged",TRUE,"eight requirements unchanged"
"mv07g_prefreeze_acceptance_v1","label_firewall",TRUE,"labels outcomes landscapes closed"
"mv07g_prefreeze_acceptance_v1","no_execution",TRUE,"zero PCA and PH jobs"
