"job_order","job_id","stage","seed","sample_id","view_id","output_file","elapsed_cap_seconds","rss_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed"
1,"fit__20260805","global_fit_views",20260805,,,"source/mv07g__20260805__source.rds",1800,8589934592,1,0,"closed",FALSE
2,"fit__20260806","global_fit_views",20260806,,,"source/mv07g__20260806__source.rds",1800,8589934592,1,0,"closed",FALSE
3,"fit__20260807","global_fit_views",20260807,,,"source/mv07g__20260807__source.rds",1800,8589934592,1,0,"closed",FALSE
4,"fit__20260808","global_fit_views",20260808,,,"source/mv07g__20260808__source.rds",1800,8589934592,1,0,"closed",FALSE
5,"fit__20260809","global_fit_views",20260809,,,"source/mv07g__20260809__source.rds",1800,8589934592,1,0,"closed",FALSE
6,"cell_ph__20260805__SRA701877_SRS3279688","cell_ph",20260805,"SRA701877_SRS3279688","cell_topology_v1","ph/mv07g__20260805__SRA701877_SRS3279688__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
7,"cell_ph__20260805__SRA701877_SRS3279695","cell_ph",20260805,"SRA701877_SRS3279695","cell_topology_v1","ph/mv07g__20260805__SRA701877_SRS3279695__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
8,"cell_ph__20260805__SRA742961_SRS3565197","cell_ph",20260805,"SRA742961_SRS3565197","cell_topology_v1","ph/mv07g__20260805__SRA742961_SRS3565197__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
9,"cell_ph__20260805__SRA742961_SRS3565205","cell_ph",20260805,"SRA742961_SRS3565205","cell_topology_v1","ph/mv07g__20260805__SRA742961_SRS3565205__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
10,"cell_ph__20260805__SRA850958_SRS4386101","cell_ph",20260805,"SRA850958_SRS4386101","cell_topology_v1","ph/mv07g__20260805__SRA850958_SRS4386101__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
11,"cell_ph__20260805__SRA850958_SRS4386113","cell_ph",20260805,"SRA850958_SRS4386113","cell_topology_v1","ph/mv07g__20260805__SRA850958_SRS4386113__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
12,"cell_ph__20260806__SRA701877_SRS3279688","cell_ph",20260806,"SRA701877_SRS3279688","cell_topology_v1","ph/mv07g__20260806__SRA701877_SRS3279688__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
