"contract_id","category","passed","detail"
"mv07h_fallback_prefreeze_acceptance_v1","owner_authorization",TRUE,"project owner approved exact fallback and 12 GiB cap"
"mv07h_fallback_prefreeze_acceptance_v1","base_prefreeze",TRUE,"19 exact v4 prefreeze artifacts"
"mv07h_fallback_prefreeze_acceptance_v1","resource_gate",TRUE,"one Ripserr RSS failure"
"mv07h_fallback_prefreeze_acceptance_v1","full_engine_equivalence",TRUE,"full 500-gene H0 H1 maximum error zero"
"mv07h_fallback_prefreeze_acceptance_v1","fallback_policy",TRUE,"gene only after RSS cap; one GUDHI attempt"
"mv07h_fallback_prefreeze_acceptance_v1","implementation_freeze",TRUE,"nine exact implementation sources"
"mv07h_fallback_prefreeze_acceptance_v1","partial_ledger",TRUE,"21 exact attempt receipts"
"mv07h_fallback_prefreeze_acceptance_v1","partial_artifacts",TRUE,"20 of 20 completed artifacts match"
"mv07h_fallback_prefreeze_acceptance_v1","failed_output_atomicity",TRUE,"failed output absent"
"mv07h_fallback_prefreeze_acceptance_v1","landscape_invariance",TRUE,"all active exact separate H0 H1 unchanged"
"mv07h_fallback_prefreeze_acceptance_v1","label_firewall",TRUE,"labels outcomes clustering claims closed"
