"contract_id","job_id","stage","seed","sample_id","view_id","disposition","exit_status","elapsed_seconds","peak_process_tree_rss_bytes","output_file","output_bytes","output_sha256","elapsed_cap_seconds","rss_cap_bytes","outcome_label_state","biological_outcomes_computed"
"mv07h_fallback_partial_state_v1","source__20260805","source_views",20260805,"","","completed",0,223.173968076706,691781632,"source/mv07h__20260805__source.rds",146569565,"5f25228552bbf6481b29de12052ae03aa7462590676009edb7770efd38aebf33",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","source__20260806","source_views",20260806,"","","completed",0,212.802558422089,806625280,"source/mv07h__20260806__source.rds",146569565,"f820a59ff62a4fc5c5109492db234aea7eb39b9f00060b03f19a62c0621ae757",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","source__20260807","source_views",20260807,"","","completed",0,211.772901296616,763457536,"source/mv07h__20260807__source.rds",146569565,"3d4e5e352ee327ee6e667b6f30343c4d6d02e6ef5040bf3ae2b5606f138188c6",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","source__20260808","source_views",20260808,"","","completed",0,203.840869188309,785403904,"source/mv07h__20260808__source.rds",146569565,"86772f3bc68abb7a21afc43f281af66171c3e9b3d3b5f2cfdc1e3546d2ec913d",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","source__20260809","source_views",20260809,"","","completed",0,166.385115385056,797364224,"source/mv07h__20260809__source.rds",146569565,"38997ac2f51bcd93e28facfd1576a9434f45dcfa1b1c77aa18e827dc8549912a",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089635__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089635","cell_topology_v1","completed",0,14.0524568557739,580939776,"ph/mv07h__20260805__SRA550660_SRS2089635__cell_topology_v1__ph.rds",32241,"7a88a39ff959ea29b0c1ea47caf6eac73b72983e6d6a15f2a0e1aebf84ba827b",600,4294967296,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089635__gene_topology_v1","gene_ph",20260805,"SRA550660_SRS2089635","gene_topology_v1","completed",0,14.0868444442749,592261120,"ph/mv07h__20260805__SRA550660_SRS2089635__gene_topology_v1__ph.rds",89357,"9c804cd0dec67b17cc5ed5b4d84bfca5e0c2954b30a077916eda8402db558cbd",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089636__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089636","cell_topology_v1","completed",0,12.5475225448608,663961600,"ph/mv07h__20260805__SRA550660_SRS2089636__cell_topology_v1__ph.rds",30141,"26b495d852e1995c14a1838bc41284879e8ae733d059e1df75fa01434041c5d7",600,4294967296,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089636__gene_topology_v1","gene_ph",20260805,"SRA550660_SRS2089636","gene_topology_v1","completed",0,13.057213306427,579899392,"ph/mv07h__20260805__SRA550660_SRS2089636__gene_topology_v1__ph.rds",89285,"d713524a05029f7077e7922edeb5bcd1061c641d692aa4d3bbc25d8393e1605a",1800,8589934592,"closed",FALSE
"mv07h_fallback_partial_state_v1","ph__20260805__SRA550660_SRS2089637__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089637","cell_topology_v1","completed",0,13.4162859916687,581767168,"ph/mv07h__20260805__SRA550660_SRS2089637__cell_topology_v1__ph.rds",29511,"d3a486eb745d704a58168e3c931f1a7effaa92fe2082474b042c8d6dfbf89016",600,4294967296,"closed",FALSE
