"contract_id","job_id","seed","sample_id","view_id","point_count","finite_h0_intervals","finite_h1_intervals","h0_mst_maximum_absolute_error","h0_mst_tolerance","h0_mst_passed","ph_engine","ph_engine_version","attempt_kind","fallback_trigger","diagram_sha256","ph_cache_key","elapsed_seconds","peak_process_tree_rss_bytes","output_bytes","output_sha256","outcome_label_state","biological_outcomes_computed"
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089635__cell_topology_v1",20260805,"SRA550660_SRS2089635","cell_topology_v1",384,383,440,0,8.32508219982255e-07,TRUE,"ripserr","0.3.0","primary","","9f97b665f5c8c68b97e7d0440f1b2af193f5f735688efe2970e5426f8343bfe1","mv07h_ph_record_v1:80bbdb37e53ecb7ee708997282cdadb7f8986ee3edfaac3e48377d2936067cb6",14.0524568557739,580939776,32241,"7a88a39ff959ea29b0c1ea47caf6eac73b72983e6d6a15f2a0e1aebf84ba827b","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089635__gene_topology_v1",20260805,"SRA550660_SRS2089635","gene_topology_v1",500,499,1915,0,1.32205763903349e-07,TRUE,"ripserr","0.3.0","primary","","cda5309f7c879dcc3374eeb90a2bb7950e861ae017e2b4ea250f14d16328aea9","mv07h_ph_record_v1:10fcd660334634fe2bc5df250c25073d1bd6355b781e5ad5012ef827fca59cef",14.0868444442749,592261120,89357,"9c804cd0dec67b17cc5ed5b4d84bfca5e0c2954b30a077916eda8402db558cbd","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089636__cell_topology_v1",20260805,"SRA550660_SRS2089636","cell_topology_v1",384,383,380,0,6.5602960363201e-07,TRUE,"ripserr","0.3.0","primary","","4059e4ec6ebc8529e0cc02a40d5a0b951b4dd446e243bc461ccafc5254eab1eb","mv07h_ph_record_v1:31dcd54063fcb13ec994ed359ae4248dd158a706767dd1ab7f8baa6f834d5c82",12.5475225448608,663961600,30141,"26b495d852e1995c14a1838bc41284879e8ae733d059e1df75fa01434041c5d7","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089636__gene_topology_v1",20260805,"SRA550660_SRS2089636","gene_topology_v1",500,499,1913,0,1.31674037905171e-07,TRUE,"ripserr","0.3.0","primary","","fb3e97f6bf1bc4aafb3b82712063eaa917b87f2c0f99bd6097db69d4cca810ff","mv07h_ph_record_v1:16a1b7b9a36744b03d11f6390c3d1b5e2d48f04b1d9128c81395717718995ffd",13.057213306427,579899392,89285,"d713524a05029f7077e7922edeb5bcd1061c641d692aa4d3bbc25d8393e1605a","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089637__cell_topology_v1",20260805,"SRA550660_SRS2089637","cell_topology_v1",384,383,362,0,6.90754153549099e-07,TRUE,"ripserr","0.3.0","primary","","f8a6e480858644162a22c4f96800e37affab7a5cb04f115167748f936aba3742","mv07h_ph_record_v1:adfdd648074323bcb3324a825a304ec69bd3a8446ccda3207867fe1b93d198b8",13.4162859916687,581767168,29511,"d3a486eb745d704a58168e3c931f1a7effaa92fe2082474b042c8d6dfbf89016","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089637__gene_topology_v1",20260805,"SRA550660_SRS2089637","gene_topology_v1",500,499,1636,0,1.32269071850997e-07,TRUE,"ripserr","0.3.0","primary","","faaabb2ffb49f0bce4b4f3eb21a8d9ca5e627e5f0188cb936b88b859a315ddba","mv07h_ph_record_v1:628698fcd8b82e3fe1130681496f1ca9cb6c8d3112f0e53563234a58561ba495",13.3674323558807,592384000,79313,"4dbe64c62b27c83d9c1c31654b161f697dc87a979e0fc969214ac7b87d95125f","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089638__cell_topology_v1",20260805,"SRA550660_SRS2089638","cell_topology_v1",384,383,399,0,7.06049637994087e-07,TRUE,"ripserr","0.3.0","primary","","6f2664b2a8e3f59935b3f1670be0e7593ae5ec3a2578a726aac08ec6c07e4ef8","mv07h_ph_record_v1:e45b0a3c645928ba811524cef301f466e40eb0137295a909b3378c760c53abcb",13.1044516563416,672460800,30806,"e2d5c26b26fd1fef4e2649fc7864d3d88eaca2c6d33581c0b799e2365c561414","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089638__gene_topology_v1",20260805,"SRA550660_SRS2089638","gene_topology_v1",500,499,2061,0,1.32313098503656e-07,TRUE,"ripserr","0.3.0","primary","","9056e0f53125b701c1521a67f1401f75346c4cd3107273bc69e6c2e5a079cf70","mv07h_ph_record_v1:d5de86ca84de3b42b70a37471a0abb1d89ea0c94dc02e0f2e606b6d1dea6265d",13.6079950332642,709152768,94613,"26368d2b733a68b7419e5c2e56b0bca45dbee47ce4afd907a7ebecf3969dffb3","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089639__cell_topology_v1",20260805,"SRA550660_SRS2089639","cell_topology_v1",384,383,378,0,6.37626728631713e-07,TRUE,"ripserr","0.3.0","primary","","6b023fec7d5a79a105c8430dc5d77db8676032be92965112f7efe6922d866cfc","mv07h_ph_record_v1:132b4e1e0d478b1447098b8c2eaaaedbbae9277f021a9d1e40946cd30fef2267",12.5858302116394,676503552,30071,"6450c3a323cc62ebae26b014adb88d3ea1696e186cf1b98f2335e03cdf072ba8","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA550660_SRS2089639__gene_topology_v1",20260805,"SRA550660_SRS2089639","gene_topology_v1",500,499,1483,0,1.32122002955507e-07,TRUE,"ripserr","0.3.0","primary","","42195e33d08e85de7bd4e4f40097d7bf82810737e2e5e4c437927737204301ed","mv07h_ph_record_v1:4d323b5a89c9ac17fc4ed8f712274b1cb3b2de2f9df2bcf6f4eb8b56aeaa6b04",13.0932319164276,626974720,73805,"c1031d78553ecad349e3837283d847db83c2df0d1b4baeb9626c515aeca1b49d","closed",FALSE
"mv07h_ph_metric_v1","ph__20260805__SRA621638_SRS2610283__cell_topology_v1",20260805,"SRA621638_SRS2610283","cell_topology_v1",384,383,311,0,1.10029244387097e-06,TRUE,"ripserr","0.3.0","primary","","26f563ddad431436bc23edaa531e39b646112519a275d6aece107d478d2179c6","mv07h_ph_record_v1:8120c68c9e3b6ec6f4118c060891e7f7beb911af0ec565852f1b40951c5d9b27",12.8261525630951,609112064,27726,"a4d992c87b5a581c3eb7b879479d73bf7abd4858f846dd9b688fca369eb7d610","closed",FALSE
