"contract_id","source_id","artifact_locator","sha256","bytes","accepted_head","private_source"
"mv07h_source_freeze_v1","panel","docs/audits/mv07g-prefreeze-evidence/mv07g-panel.csv","fe22220dc89deafd3c84714434a73ce8243c4d3e15d1eeb43cd51f5e6170b69b",97166,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","cache_manifest","docs/audits/mv07g-prefreeze-evidence/mv07g-cache-manifest.csv","73a080e3a6b4ca38edc80dd973e296823e2adfa10ba627a808c0d2c9279d2f3d",292032,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","sentinel_axis","docs/audits/mv07g-prefreeze-evidence/mv07g-sentinel-axis.csv","54f7cbfcea6fbeb681615a5824940f149ef9b5683be82bb2699e3d5079e975df",4671,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","landscape_contract","docs/audits/mv07g-prefreeze-evidence/mv07g-landscape-contract.csv","b74c8db1981720a9ab77b9bf1e2d82bb6bdb6c10f77fd0d481fcfe5cb1087187",762,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","mv07g_validation_decision","docs/audits/mv07g-sentinel-evidence/mv07g-validation-decision.csv","d4b9598dec8eeac544ad7ee55ae28a17f70f7e0e0fa6c1a5346cab3ab708c3e0",490,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","mv07g_independent_validation","docs/audits/mv07g-sentinel-evidence/mv07g-independent-validation.csv","164b341a3704fec7bb81270106a691baa1dcecdaf9eee112bdf02ae2eb655ed5",979,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","mv07g_ph_metrics","docs/audits/mv07g-sentinel-evidence/mv07g-ph-metrics.csv","5940fadc332e8d976e75f32b8df3af277c4c6a108350cab5839d63531f516083",25656,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","mv07g_projection","docs/audits/mv07g-sentinel-evidence/mv07g-full-ph-projection.csv","f14516f65544131b9e8bcf2dd13a9dc766fe631af6e003437adeaf353aef04db",564,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","topology_runtime","R/dual_view_topology.R","ea6238c3923e6c5d8e622e8b03eeaf67d50779bb9bd774da69e972ce7de5a0d5",36339,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","standardization_runtime","R/mv03_pilot.R","c3dde943f6790d6282eb8697c04cd3fc1235b3aed1c25ddebafc8aedfcdb973b",8038,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","cache_runtime","R/mv05_resource_safe_execution.R","43f23ed58cd0fbc9c82d17f66e6feb2f78e1e4debc387ede3a567597a109947d",56421,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","sentinel_runtime","R/mv07g_sentinel.R","7e1f7a08879cc1e93a2dacdae394d916e38f414c56fdd6c0cc25b39816aca39d",12825,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","landscape_rust_shim","R/landscape_rust_prototype.R","4771ec396759dacaf36e860819b49978b37d8cc8d4224e54cc72b0077f8a5eb1",5137,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","landscape_contract_runtime","R/landscape_contract.R","4e60dcc8e291ae657c326bc08b9fff0b4eedbbdf7e831eb7e1226acd9c173fa9",10372,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","landscape_reference_runtime","R/landscape_reference.R","8b02d47d1d037107397078f7437d5130dd2dd883c652d83055c3ed3871bbf691",14033,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","mv07h_runtime","R/mv07h_full_topology.R","5159e2e993511d278cd5e60ca00ff5b35678589d3ba56a65dffe0c56f51e2178",16554,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","source_runner","scripts/run_mv07h_source_entry.R","10ae2e9ef5d0ff85223de6fe32c02ae9bf5206534235839d2df4d49ee2c772a9",4957,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","ph_runner","scripts/run_mv07h_ph_entry.R","deadfe945277a2ce203487afa2fcc1defd90c481af4455958b37591d61a9c6a3",1694,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","full_ph_monitor","scripts/run_mv07h_full_ph.R","84a666e2f2d56b7a1f41f09c04142a9ee0393f3abbd5b0efbc5952f567b03b4d",15579,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","full_ph_validator","scripts/validate_mv07h_full_ph.R","717ef8595857e33ae9fdf54d3a8b67b051664be1ad1e214699077fe20ef6763f",10138,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","landscape_group_runner","scripts/run_mv07h_landscape_group.R","3a3c5d9f0af00e40d8f2c117b75aa84a3ebb7256babffa4870e06512e07b3796",8000,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","stress_monitor","scripts/run_mv07h_landscape_stress.R","2f887ced70e92ad4cdf18409e2f5bb49da56bc05a4027efa4e63c3c6c21d2d5d",8390,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","stress_validator","scripts/validate_mv07h_landscape_stress.R","101d377ccca14b20b63a4e595cafe303bf10168d24a26d1cf1a316b3b51ba57a",10496,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","builder","scripts/build_mv07h_prefreeze.R","f431eda7aa04a95a8d5b465863597089abc1aba3353d0abe7b59d5023baa5fd4",12987,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","prefreeze_validator","scripts/validate_mv07h_prefreeze.R","b501df3dc42790659dea7f022cd56273d99a75b21930ece4e8ea91ea878bf4e6",4992,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","repeat_validator","scripts/validate_mv07h_prefreeze_repeat.R","04c44a7c7c99ebe78a88694d4b372f7ca9b87894d446c5b2570dbb92640f1446",1637,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","tests","tests/testthat/test-mv07h-full-topology.R","d3354f1517b75f78a8b002ff2942947dda6d6b35934137cf0d702523f2d26fd4",3994,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","specification","docs/specifications/MV07H_FULL124_DUAL_VIEW_TOPOLOGY_LANDSCAPE_PREFREEZE_V1.md","10c65f05603a9173462dc949d4555420116b2b0adca0427014ca6c3fc40c9622",3907,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","mv06f_resource_audit","docs/audits/MV06F_STAGE2_COMPLETE_PREFREEZE_2026-08-14.md","6a49d5f8a79792d089c98784e48da2396357f7954bb77df67f51506750d777fd",3387,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","rust_manifest","rust/scph_landscape_kernel/Cargo.toml","b3bb9e2e5dd403b95f82ef66cd20e4facb71fad984847495475b3764da0c389a",357,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","rust_lock","rust/scph_landscape_kernel/Cargo.lock","b5656db9c642426754e11124cedb85c32e79be871a5c84da44c7d1dd74baf7f9",172,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
"mv07h_source_freeze_v1","rust_source","rust/scph_landscape_kernel/src/lib.rs","35979730d533005aee5bf9fa79083f17c531123329b89e78e87c1968d1428381",18702,"cbc75a4e07f42322a99598f1ba96d295f5d15bf2",FALSE
