"contract_id","category","passed","detail"
"mv07h_prefreeze_acceptance_v1","mv07g_closure",TRUE,"11 accepted MV7-G categories"
"mv07h_prefreeze_acceptance_v1","panel",TRUE,"exact MV7-FP 500"
"mv07h_prefreeze_acceptance_v1","cache_axis",TRUE,"124 samples by five seeds"
"mv07h_prefreeze_acceptance_v1","source_queue",TRUE,"five reused-transform bundles"
"mv07h_prefreeze_acceptance_v1","ph_queue",TRUE,"620 cell plus 620 gene PH"
"mv07h_prefreeze_acceptance_v1","landscape_queue",TRUE,"20 groups; one stress first"
"mv07h_prefreeze_acceptance_v1","component_balance",TRUE,"76,260 pairs; 152,520 separate components"
"mv07h_prefreeze_acceptance_v1","landscape_definition",TRUE,"eight dissertation-aligned requirements"
"mv07h_prefreeze_acceptance_v1","rust_identity",TRUE,"accepted Rust binary"
"mv07h_prefreeze_acceptance_v1","resource_caps",TRUE,"serial zero-retry bounded groups"
"mv07h_prefreeze_acceptance_v1","resource_projection",TRUE,"conservative total under 48h"
"mv07h_prefreeze_acceptance_v1","repeat_oracles",TRUE,"source/PH repeat plus stress R oracles"
"mv07h_prefreeze_acceptance_v1","label_firewall",TRUE,"labels outcomes closed"
"mv07h_prefreeze_acceptance_v1","no_execution",TRUE,"zero MV7-H production jobs"
