"contract_id","partition_order","representation_id","algorithm_id","algorithm_role","selected_k","seeds","samples_per_seed","selected_partition_sha256","refit_authorized","outcome_driven_selection_authorized","association_computed"
"mv07i_outcome_partition_registry_v1",1,"cell_H0","pam_stability_k_v1","primary",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",2,"cell_H0","hclust_average_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",3,"cell_H1","pam_stability_k_v1","primary",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",4,"cell_H1","hclust_average_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",5,"cell_H0_H1_secondary","pam_stability_k_v1","primary",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",6,"cell_H0_H1_secondary","hclust_average_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",7,"gene_H0","pam_stability_k_v1","primary",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",8,"gene_H0","hclust_average_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",9,"gene_H1","pam_stability_k_v1","primary",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",10,"gene_H1","hclust_average_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",11,"gene_H0_H1_secondary","pam_stability_k_v1","primary",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
"mv07i_outcome_partition_registry_v1",12,"gene_H0_H1_secondary","hclust_average_v1","sensitivity",2,"20260805;20260806;20260807;20260808;20260809",124,"e20eeac218821bc23f9d3d5c4d41d612c4c5a04c8b04be093fbb1713c3414695",FALSE,FALSE,FALSE
