"contract_id","check","passed","detail"
"mv07i_outcome_prefreeze_check_v1","label_closed_admission",TRUE,"13/13 label-closed validation authorizes outcome prefreeze only"
"mv07i_outcome_prefreeze_check_v1","selected_artifact_hash",TRUE,"private selected partitions match the public production SHA-256"
"mv07i_outcome_prefreeze_check_v1","selected_partition_axis",TRUE,"6 representations x 2 algorithms x 5 seeds x 124 samples"
"mv07i_outcome_prefreeze_check_v1","metadata_authority",TRUE,"MV7-D tissue/study and MV7-E canonical approach only"
"mv07i_outcome_prefreeze_check_v1","metadata_sample_axis",TRUE,"124 full and 90 contextual sample axes match immutable partitions"
"mv07i_outcome_prefreeze_check_v1","full124_category_support",TRUE,"8 tissues, 18 studies, 118 scRNA-seq and 6 nested snRNA-seq"
"mv07i_outcome_prefreeze_check_v1","primary90_category_support",TRUE,"5 tissues, 15 studies, and one approach class"
"mv07i_outcome_prefreeze_check_v1","representation_algorithm_scope",TRUE,"all six representations; PAM primary and average sensitivity"
"mv07i_outcome_prefreeze_check_v1","endpoint_scope",TRUE,"five scheduled endpoints plus explicit non-estimable primary approach"
"mv07i_outcome_prefreeze_check_v1","metric_scope",TRUE,"ARI and max-NMI; no p-values"
"mv07i_outcome_prefreeze_check_v1","queue_scope",TRUE,"120 fixed units and 600 expected seed rows"
"mv07i_outcome_prefreeze_check_v1","seed_aggregation",TRUE,"all seeds plus mean/median/range/jackknife SE; no pooling"
"mv07i_outcome_prefreeze_check_v1","confounding_boundaries",TRUE,"seven mandatory interpretation limits"
"mv07i_outcome_prefreeze_check_v1","publication_firewall",TRUE,"public summaries contain neither label values nor sample IDs"
"mv07i_outcome_prefreeze_check_v1","resource_repeat_resume",TRUE,"one worker, 900 seconds, 2 GiB, repeat and immutable resume"
