"contract_id","evaluation_unit_id","execution_order","endpoint_id","population_id","label_axis","representation_id","algorithm_id","algorithm_role","selected_k","metric_id","expected_seeds","expected_samples_per_seed","cluster_metadata_join_executed","association_computed","method_selection_executed"
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:d3290a4d9679e8a02663429c24bd0098677e41ed3fb2459fee3fdc8651fcab70",1,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0","pam_stability_k_v1","primary",2,"adjusted_rand_index",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:3644c8d1e22e948e2c1b626f19bb14ae1c1954cb0f399ef51e35170b03b73444",2,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:a13969b2d744823ca8edb71c5d31ef6d588c8b5a9ff5fc140b9d1e68ca3f43e2",3,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:0740fa4969ad7fe23faa6f45faf64d0d9a345853c3674551bc36dd57a598daec",4,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:0770e4b5e671bf3532012f11098dc38b075b04589fb7566eb88ed2ee107d95b1",5,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H1","pam_stability_k_v1","primary",2,"adjusted_rand_index",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:44514cfca889a9234721ac777e7bf1ba54c74af8cd199e3899d6343d8651d47a",6,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H1","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:69d30cd34c164b1797a6d6c6800fbda8510f43dcc27bf7209f8d5e7aa4b9daf2",7,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H1","hclust_average_v1","sensitivity",2,"adjusted_rand_index",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:503a8895a33dd11f5d71d79ba682f333bfbc8751b8a72b7a241abef21f2f8c1f",8,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H1","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:7252f80e4bed9bcda786b7b6538c653445fce2da8e57c5ce0d80004d8e007a8d",9,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0_H1_secondary","pam_stability_k_v1","primary",2,"adjusted_rand_index",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:dffc404013ad68b766ce1207608b7bfcefbc4709943777129e3efff19f4f8ba8",10,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0_H1_secondary","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:f685e2a8ada11597dae1dda46ad27ac555e524bada266f19b8486baf2e5eecbf",11,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0_H1_secondary","hclust_average_v1","sensitivity",2,"adjusted_rand_index",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:a65328ee5fa80466bd526c19e94b3a3d787a9afa1b57eae8ae5e1ec8a52a17a7",12,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0_H1_secondary","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:759bef977b727277a00cb5e1105050f3fb61f907d1e6146a3f7e6cd219b42abf",13,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0","pam_stability_k_v1","primary",2,"adjusted_rand_index",5,124,FALSE,FALSE,FALSE
"mv07i_outcome_execution_queue_v1","mv07i_outcome_v1:e9c234e8d6d3c655d75219b2187ecd042cc7244cd32825ef79c05d91e564d7a7",14,"full124_descriptive__tissue","full124_descriptive","tissue","gene_H0","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",5,124,FALSE,FALSE,FALSE
