"contract_id","category","passed","detail"
"mv07i_descriptive_prefreeze_check_v1","mv07h_admission",TRUE,"MV7-H full landscape decision and 13/13 validation"
"mv07i_descriptive_prefreeze_check_v1","landscape_inventory",TRUE,"20 groups and 152,520 rows"
"mv07i_descriptive_prefreeze_check_v1","sample_seed_axis",TRUE,"124 samples x five seeds"
"mv07i_descriptive_prefreeze_check_v1","representation_scope",TRUE,"four primary components plus two secondary composites"
"mv07i_descriptive_prefreeze_check_v1","dimension_separation",TRUE,"H0/H1 primary components never replaced"
"mv07i_descriptive_prefreeze_check_v1","seed_aggregation",TRUE,"within-seed derivation and complete five-seed summaries"
"mv07i_descriptive_prefreeze_check_v1","label_free_k",TRUE,"k=2:10 five-seed one-SE without labels"
"mv07i_descriptive_prefreeze_check_v1","algorithm_scope",TRUE,"PAM primary and average-linkage sensitivity only"
"mv07i_descriptive_prefreeze_check_v1","population_scope",TRUE,"90 primary context, 124 descriptive, three excluded sensitivity"
"mv07i_descriptive_prefreeze_check_v1","metadata_lineage",TRUE,"canonical sample/tissue/study/approach lineage"
"mv07i_descriptive_prefreeze_check_v1","single_study_limit",TRUE,"three single-study tissues descriptive only"
"mv07i_descriptive_prefreeze_check_v1","label_firewall",TRUE,"labels and outcomes closed for authorized stages"
"mv07i_descriptive_prefreeze_check_v1","resource_resume",TRUE,"one worker, caps, repeat and immutable resume"
