"contract_id","evaluation_unit_id","execution_order","endpoint_id","population_id","label_axis","representation_id","algorithm_id","algorithm_role","selected_k","metric_id","seed_mean","seed_median","seed_minimum","seed_maximum","seed_jackknife_se","completed_seeds","expected_seeds","status","p_value_computed","method_selection_executed","claim_scope","external_generalization"
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:d3290a4d9679e8a02663429c24bd0098677e41ed3fb2459fee3fdc8651fcab70",1,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0927253816495164,0.095047677254766,0.0814158303889527,0.0971571232285311,0.00288926529105565,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:3644c8d1e22e948e2c1b626f19bb14ae1c1954cb0f399ef51e35170b03b73444",2,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.151356621237667,0.150725298401062,0.145719339165183,0.157855417325775,0.00249083866419802,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:a13969b2d744823ca8edb71c5d31ef6d588c8b5a9ff5fc140b9d1e68ca3f43e2",3,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0","hclust_average_v1","sensitivity",2,"adjusted_rand_index",0.043887051018783,0.00980259111348459,0.00265135901233063,0.130098106823649,0.0254122680079632,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:0740fa4969ad7fe23faa6f45faf64d0d9a345853c3674551bc36dd57a598daec",4,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.0625904032047016,0.0308654875566734,0.00992914339619166,0.157947350646934,0.0294821395445771,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:0770e4b5e671bf3532012f11098dc38b075b04589fb7566eb88ed2ee107d95b1",5,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H1","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0743307523317655,0.0684488087205518,0.0584391197486244,0.0963280296041766,0.00688374796719103,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:44514cfca889a9234721ac777e7bf1ba54c74af8cd199e3899d6343d8651d47a",6,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H1","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.138777617319075,0.129316499380562,0.123343872069852,0.167209456073317,0.00804803377040289,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:69d30cd34c164b1797a6d6c6800fbda8510f43dcc27bf7209f8d5e7aa4b9daf2",7,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H1","hclust_average_v1","sensitivity",2,"adjusted_rand_index",-0.00612642460731492,-0.00623692596719074,-0.0102092393244911,-0.00185822233758331,0.00159391555312885,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:503a8895a33dd11f5d71d79ba682f333bfbc8751b8a72b7a241abef21f2f8c1f",8,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H1","hclust_average_v1","sensitivity",2,"normalized_mutual_information_max",0.0145795730990713,0.0118032034682926,0.0058488878865971,0.0284474307963753,0.00388411197752761,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:7252f80e4bed9bcda786b7b6538c653445fce2da8e57c5ce0d80004d8e007a8d",9,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0_H1_secondary","pam_stability_k_v1","primary",2,"adjusted_rand_index",0.0927253816495164,0.095047677254766,0.0814158303889527,0.0971571232285311,0.00288926529105565,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
"mv07j_complete_outcome_summary_v1","mv07i_outcome_v1:dffc404013ad68b766ce1207608b7bfcefbc4709943777129e3efff19f4f8ba8",10,"full124_descriptive__tissue","full124_descriptive","tissue","cell_H0_H1_secondary","pam_stability_k_v1","primary",2,"normalized_mutual_information_max",0.151356621237667,0.150725298401062,0.145719339165183,0.157855417325775,0.00249083866419802,5,5,"completed",FALSE,FALSE,"descriptive_only_no_ranking",FALSE
