"contract_id","figure_order","figure_id","placement","title","source_artifact","estimand","population","uncertainty","limitation_visible","status","favorable_subset_allowed"
"mv07j_figure_map_v1",1,"F1","main","Corrected sample-comparison and dual-view pipeline","landscape_observation_contract;dual_view_spec","method_architecture","method_contract","none_diagrammatic",TRUE,"ready_for_corrected_render",FALSE
"mv07j_figure_map_v1",2,"F2","main","Cohort accountability and confounding structure","mv07d_reconciliation;mv07e_canonical_approach","population_and_nonidentifiability","full124_and_primary90","counts_and_nesting",TRUE,"ready_for_render",FALSE
"mv07j_figure_map_v1",3,"F3","main","Persistence diagrams to all-level H0/H1 landscapes","validated_mv07h_diagrams;landscape_observation_contract","corrected_landscape_definition","validated_representative_artifacts","error_controlled_integration",TRUE,"ready_for_corrected_render",FALSE
"mv07j_figure_map_v1",4,"F4","main","H1 contribution and H0/composite concordance","h1_contribution_distribution;h0_composite_concordance","distance_component_and_partition_sensitivity","full124","all_pairs_and_all_five_seeds",TRUE,"ready_for_render",FALSE
"mv07j_figure_map_v1",5,"F5","main","Label-free stability and selected cluster count","complete_stability_curve","label_free_cluster_stability","full124","ten_seed_pair_ARIs_and_jackknife_SE",TRUE,"ready_for_render",FALSE
"mv07j_figure_map_v1",6,"F6","main","Complete descriptive tissue and study alignment","complete_outcome_summary","descriptive_cluster_label_alignment","full124_and_primary90","all_five_seeds_and_jackknife_SE",TRUE,"ready_for_render",FALSE
"mv07j_figure_map_v1",7,"F7","main","PAM versus average-linkage sensitivity","algorithm_sensitivity","algorithm_membership_sensitivity","full124","all_five_seeds",TRUE,"ready_for_render",FALSE
"mv07j_figure_map_v1",8,"F8","main","Prior blocked integration and dual-view evidence","mv05l;mv05s;mv06h;mv07c","accepted_blocked_existing_data_results","primary90_blocked","frozen_blocked_intervals",TRUE,"requires_cross_stage_layout",FALSE
"mv07j_figure_map_v1",9,"S1","supplement","Complete seed-level descriptive outcomes","mv07i_outcome_seed_metrics","technical_seed_variability","full124_and_primary90","all_seed_estimates",TRUE,"ready_for_table_or_heatmap",FALSE
"mv07j_figure_map_v1",10,"S2","supplement","Landscape numerical equivalence and resource envelope","mv07h_closures;mv07i_resource_summaries","numerical_and_resource_validation","full124","repeat_and_oracle_bounds",TRUE,"ready_for_render",FALSE
"mv07j_figure_map_v1",11,"S3","supplement","Robustness coverage and unresolved evidence gaps","mv07a_robustness;mv07b;external_data_gate","coverage_not_performance","all_accepted","coverage_state",TRUE,"ready_for_render",FALSE
