"contract_id","mapping_order","main_sample_id","submission","sra_study","srs","srr","biosample","gsm","bioproject","validation_sample","exact_accession_overlap","independent_external_library"
"mv08b_gse120221_overlap_map_v1",1,"SRA779509_SRS3805245","SRA779509","SRP162214","SRS3805245","SRR7881399","SAMN10095273","GSM3396161","PRJNA492227","GSM3396161_A.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",2,"SRA779509_SRS3805246","SRA779509","SRP162214","SRS3805246","SRR7881400","SAMN10095272","GSM3396162","PRJNA492227","GSM3396162_B.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",3,"SRA779509_SRS3805247","SRA779509","SRP162214","SRS3805247","SRR7881401","SAMN10095271","GSM3396163","PRJNA492227","GSM3396163_C1.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",4,"SRA779509_SRS3805249","SRA779509","SRP162214","SRS3805249","SRR7881402","SAMN10095270","GSM3396164","PRJNA492227","GSM3396164_Ck.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",5,"SRA779509_SRS3805248","SRA779509","SRP162214","SRS3805248","SRR7881403","SAMN10095269","GSM3396165","PRJNA492227","GSM3396165_C2.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",6,"SRA779509_SRS3805250","SRA779509","SRP162214","SRS3805250","SRR7881404","SAMN10095267","GSM3396166","PRJNA492227","GSM3396166_E.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",7,"SRA779509_SRS3805252","SRA779509","SRP162214","SRS3805252","SRR7881405","SAMN10095266","GSM3396167","PRJNA492227","GSM3396167_F.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",8,"SRA779509_SRS3805251","SRA779509","SRP162214","SRS3805251","SRR7881406","SAMN10095265","GSM3396168","PRJNA492227","GSM3396168_G.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",9,"SRA779509_SRS3805253","SRA779509","SRP162214","SRS3805253","SRR7881407","SAMN10095264","GSM3396169","PRJNA492227","GSM3396169_H.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",10,"SRA779509_SRS3805254","SRA779509","SRP162214","SRS3805254","SRR7881408","SAMN10095263","GSM3396170","PRJNA492227","GSM3396170_J.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",11,"SRA779509_SRS3805255","SRA779509","SRP162214","SRS3805255","SRR7881409","SAMN10095262","GSM3396171","PRJNA492227","GSM3396171_K.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",12,"SRA779509_SRS3805256","SRA779509","SRP162214","SRS3805256","SRR7881410","SAMN10095261","GSM3396172","PRJNA492227","GSM3396172_L.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",13,"SRA779509_SRS3805257","SRA779509","SRP162214","SRS3805257","SRR7881411","SAMN10095260","GSM3396173","PRJNA492227","GSM3396173_M.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",14,"SRA779509_SRS3805258","SRA779509","SRP162214","SRS3805258","SRR7881412","SAMN10095259","GSM3396174","PRJNA492227","GSM3396174_N.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",15,"SRA779509_SRS3805259","SRA779509","SRP162214","SRS3805259","SRR7881413","SAMN10095258","GSM3396175","PRJNA492227","GSM3396175_O.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",16,"SRA779509_SRS3805262","SRA779509","SRP162214","SRS3805262","SRR7881414","SAMN10095257","GSM3396176","PRJNA492227","GSM3396176_P.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",17,"SRA779509_SRS3805261","SRA779509","SRP162214","SRS3805261","SRR7881415","SAMN10095256","GSM3396177","PRJNA492227","GSM3396177_Q.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",18,"SRA779509_SRS3805260","SRA779509","SRP162214","SRS3805260","SRR7881416","SAMN10095281","GSM3396178","PRJNA492227","GSM3396178_R.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",19,"SRA779509_SRS3805263","SRA779509","SRP162214","SRS3805263","SRR7881417","SAMN10095280","GSM3396179","PRJNA492227","GSM3396179_S1.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",20,"SRA779509_SRS3805264","SRA779509","SRP162214","SRS3805264","SRR7881418","SAMN10095279","GSM3396180","PRJNA492227","GSM3396180_Sk1.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",21,"SRA779509_SRS3805269","SRA779509","SRP162214","SRS3805269","SRR7881419","SAMN10095278","GSM3396181","PRJNA492227","GSM3396181_S2.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",22,"SRA779509_SRS3805265","SRA779509","SRP162214","SRS3805265","SRR7881420","SAMN10095277","GSM3396182","PRJNA492227","GSM3396182_Sk2.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",23,"SRA779509_SRS3805266","SRA779509","SRP162214","SRS3805266","SRR7881421","SAMN10095276","GSM3396183","PRJNA492227","GSM3396183_T.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",24,"SRA779509_SRS3805268","SRA779509","SRP162214","SRS3805268","SRR7881422","SAMN10095275","GSM3396184","PRJNA492227","GSM3396184_U.RData",TRUE,FALSE
"mv08b_gse120221_overlap_map_v1",25,"SRA779509_SRS3805267","SRA779509","SRP162214","SRS3805267","SRR7881423","SAMN10095274","GSM3396185","PRJNA492227","GSM3396185_W.RData",TRUE,FALSE
