"contract_id","mapping_order","srs","gsm","validation_post_qc_cells","main_post_qc_cells","fixed_384_cell_depth_eligible","validation_source_cells","main_source_cells","shared_cell_barcodes","barcode_jaccard","validation_source_features","main_source_features","shared_gene_symbols","validation_panel_genes","main_panel_genes","expression_values_exported"
"mv08b_gse120221_source_compatibility_v1",1,"SRS3805245","GSM3396161",2492,5651,TRUE,2994,8307,2994,0.360418923799205,33694,30183,17338,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",2,"SRS3805246","GSM3396162",2832,5413,TRUE,3293,7932,3293,0.415153807362582,33694,27734,16463,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",3,"SRS3805247","GSM3396163",1831,5416,TRUE,3556,10051,3556,0.353795642224654,33694,28919,16743,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",4,"SRS3805249","GSM3396164",789,874,TRUE,1052,2610,1052,0.403065134099617,33694,22402,14417,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",5,"SRS3805248","GSM3396165",1632,4536,TRUE,3136,8041,3136,0.390001243626415,33694,27803,16385,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",6,"SRS3805250","GSM3396166",1940,3018,TRUE,3939,7642,3939,0.515440984035593,33694,26414,15994,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",7,"SRS3805252","GSM3396167",3361,5071,TRUE,3746,8046,3746,0.465572955505841,33694,27965,16437,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",8,"SRS3805251","GSM3396168",1500,2111,TRUE,4283,6706,4283,0.638681777512675,33694,27018,16228,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",9,"SRS3805253","GSM3396169",3507,4111,TRUE,4516,6141,4516,0.735385116430549,33694,26885,16250,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",10,"SRS3805254","GSM3396170",2663,4499,TRUE,3446,7370,3446,0.467571234735414,33694,29141,16822,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",11,"SRS3805255","GSM3396171",6990,7261,TRUE,7247,8724,7247,0.830696928014672,33694,28872,16763,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",12,"SRS3805256","GSM3396172",4257,4564,TRUE,4548,7201,4548,0.631578947368421,33694,28195,16575,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",13,"SRS3805257","GSM3396173",2483,3831,TRUE,3964,8357,3964,0.474332894579395,33694,28189,16572,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",14,"SRS3805258","GSM3396174",4279,5403,TRUE,4522,7389,4522,0.61199079713087,33694,28528,16640,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",15,"SRS3805259","GSM3396175",4925,5868,TRUE,5013,7704,5013,0.650700934579439,33694,28226,16587,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",16,"SRS3805262","GSM3396176",3323,6124,TRUE,3383,9285,3383,0.364351103931072,33694,31221,17487,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",17,"SRS3805261","GSM3396177",1020,1137,TRUE,1700,2575,1700,0.660194174757282,33694,23120,14839,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",18,"SRS3805260","GSM3396178",2601,2989,TRUE,3593,7398,3593,0.485671803190051,33694,26102,15791,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",19,"SRS3805263","GSM3396179",1740,5200,TRUE,2437,7676,2437,0.317483064095883,33694,28563,16664,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",20,"SRS3805264","GSM3396180",986,979,TRUE,1138,3021,1138,0.376696458126448,33694,22638,14508,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",21,"SRS3805269","GSM3396181",1780,5226,TRUE,2367,7296,2367,0.324424342105263,33694,28583,16538,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",22,"SRS3805265","GSM3396182",4639,5646,TRUE,4726,13623,4726,0.346913308375541,33694,29190,16730,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",23,"SRS3805266","GSM3396183",4050,5590,TRUE,4293,10549,4293,0.406958005498151,33694,29916,16984,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",24,"SRS3805268","GSM3396184",3677,5042,TRUE,4118,7266,4118,0.566749243049821,33694,29824,17110,467,500,FALSE
"mv08b_gse120221_source_compatibility_v1",25,"SRS3805267","GSM3396185",3097,3427,TRUE,3643,5002,3643,0.728308676529388,33694,25261,15702,467,500,FALSE
