"contract_id","group_order","group_id","seed","view_id","homology_dimension","samples","unordered_pairs","component_rows","output_directory","elapsed_cap_seconds","rss_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed","interval_depth_sum"
"mv08g_landscape_queue_v1",1,"mv08g__20260807__gene_topology_v1__H1",20260807,"gene_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260807__gene_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,135272
"mv08g_landscape_queue_v1",2,"mv08g__20260809__gene_topology_v1__H1",20260809,"gene_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260809__gene_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,134983
"mv08g_landscape_queue_v1",3,"mv08g__20260806__gene_topology_v1__H1",20260806,"gene_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260806__gene_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,134305
"mv08g_landscape_queue_v1",4,"mv08g__20260805__gene_topology_v1__H1",20260805,"gene_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260805__gene_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,134267
"mv08g_landscape_queue_v1",5,"mv08g__20260808__gene_topology_v1__H1",20260808,"gene_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260808__gene_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,133945
"mv08g_landscape_queue_v1",6,"mv08g__20260805__gene_topology_v1__H0",20260805,"gene_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260805__gene_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,58776
"mv08g_landscape_queue_v1",7,"mv08g__20260806__gene_topology_v1__H0",20260806,"gene_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260806__gene_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,58776
"mv08g_landscape_queue_v1",8,"mv08g__20260807__gene_topology_v1__H0",20260807,"gene_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260807__gene_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,58776
"mv08g_landscape_queue_v1",9,"mv08g__20260808__gene_topology_v1__H0",20260808,"gene_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260808__gene_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,58776
"mv08g_landscape_queue_v1",10,"mv08g__20260809__gene_topology_v1__H0",20260809,"gene_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260809__gene_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,58776
"mv08g_landscape_queue_v1",11,"mv08g__20260805__cell_topology_v1__H0",20260805,"cell_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260805__cell_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,47492
"mv08g_landscape_queue_v1",12,"mv08g__20260806__cell_topology_v1__H0",20260806,"cell_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260806__cell_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,47492
"mv08g_landscape_queue_v1",13,"mv08g__20260807__cell_topology_v1__H0",20260807,"cell_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260807__cell_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,47492
"mv08g_landscape_queue_v1",14,"mv08g__20260808__cell_topology_v1__H0",20260808,"cell_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260808__cell_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,47492
"mv08g_landscape_queue_v1",15,"mv08g__20260809__cell_topology_v1__H0",20260809,"cell_topology_v1","H0",124,7626,7626,"landscape/mv08g__20260809__cell_topology_v1__H0",3600,12884901888,1,0,"closed",FALSE,47492
"mv08g_landscape_queue_v1",16,"mv08g__20260808__cell_topology_v1__H1",20260808,"cell_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260808__cell_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,42063
"mv08g_landscape_queue_v1",17,"mv08g__20260807__cell_topology_v1__H1",20260807,"cell_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260807__cell_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,41957
"mv08g_landscape_queue_v1",18,"mv08g__20260806__cell_topology_v1__H1",20260806,"cell_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260806__cell_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,41873
"mv08g_landscape_queue_v1",19,"mv08g__20260805__cell_topology_v1__H1",20260805,"cell_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260805__cell_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,41672
"mv08g_landscape_queue_v1",20,"mv08g__20260809__cell_topology_v1__H1",20260809,"cell_topology_v1","H1",124,7626,7626,"landscape/mv08g__20260809__cell_topology_v1__H1",3600,12884901888,1,0,"closed",FALSE,41276
