"contract_id","component_id","seed","view_id","homology_dimension","oracle_scope","selection_stratum","tie_rule"
"mv08g_landscape_oracle_plan_v1","cell_H0",20260805,"cell_topology_v1","H0","within475","minimum_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","cell_H0",20260805,"cell_topology_v1","H0","within475","median_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","cell_H0",20260805,"cell_topology_v1","H0","matched500_475","minimum_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","cell_H1",20260808,"cell_topology_v1","H1","within475","minimum_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","cell_H1",20260808,"cell_topology_v1","H1","within475","median_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","cell_H1",20260808,"cell_topology_v1","H1","matched500_475","minimum_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","gene_H0",20260805,"gene_topology_v1","H0","within475","minimum_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","gene_H0",20260805,"gene_topology_v1","H0","within475","median_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","gene_H0",20260805,"gene_topology_v1","H0","matched500_475","minimum_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","gene_H1",20260807,"gene_topology_v1","H1","within475","minimum_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","gene_H1",20260807,"gene_topology_v1","H1","within475","median_interval_depth","smallest_pair_or_sample_ordinal"
"mv08g_landscape_oracle_plan_v1","gene_H1",20260807,"gene_topology_v1","H1","matched500_475","minimum_interval_depth","smallest_pair_or_sample_ordinal"
