"contract_id","job_order","job_id","stage","seed","sample_id","view_id","output_file","elapsed_cap_seconds","rss_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08g_ph_queue_v1",1,"ph__20260805__SRA550660_SRS2089635__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089635","cell_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089635__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
"mv08g_ph_queue_v1",2,"ph__20260805__SRA550660_SRS2089635__gene_topology_v1","gene_ph_primary",20260805,"SRA550660_SRS2089635","gene_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089635__gene_topology_v1__ph.rds",1800,8589934592,1,0,"closed",FALSE
"mv08g_ph_queue_v1",3,"ph__20260805__SRA550660_SRS2089636__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089636","cell_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089636__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
"mv08g_ph_queue_v1",4,"ph__20260805__SRA550660_SRS2089636__gene_topology_v1","gene_ph_primary",20260805,"SRA550660_SRS2089636","gene_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089636__gene_topology_v1__ph.rds",1800,8589934592,1,0,"closed",FALSE
"mv08g_ph_queue_v1",5,"ph__20260805__SRA550660_SRS2089637__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089637","cell_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089637__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
"mv08g_ph_queue_v1",6,"ph__20260805__SRA550660_SRS2089637__gene_topology_v1","gene_ph_primary",20260805,"SRA550660_SRS2089637","gene_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089637__gene_topology_v1__ph.rds",1800,8589934592,1,0,"closed",FALSE
"mv08g_ph_queue_v1",7,"ph__20260805__SRA550660_SRS2089638__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089638","cell_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089638__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
"mv08g_ph_queue_v1",8,"ph__20260805__SRA550660_SRS2089638__gene_topology_v1","gene_ph_primary",20260805,"SRA550660_SRS2089638","gene_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089638__gene_topology_v1__ph.rds",1800,8589934592,1,0,"closed",FALSE
"mv08g_ph_queue_v1",9,"ph__20260805__SRA550660_SRS2089639__cell_topology_v1","cell_ph",20260805,"SRA550660_SRS2089639","cell_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089639__cell_topology_v1__ph.rds",600,4294967296,1,0,"closed",FALSE
"mv08g_ph_queue_v1",10,"ph__20260805__SRA550660_SRS2089639__gene_topology_v1","gene_ph_primary",20260805,"SRA550660_SRS2089639","gene_topology_v1","ph/mv08g__20260805__SRA550660_SRS2089639__gene_topology_v1__ph.rds",1800,8589934592,1,0,"closed",FALSE
