"contract_id","artifact_order","file","bytes","sha256","contains_expression","contains_cell_barcode","contains_absolute_private_path","contains_donor_attribute","contains_qc_value","contains_outcome_label"
"mv08h_count_sentinel_artifact_manifest_v1","1","MV08H_CELLRANGER8_COUNT_SENTINEL_PREFREEZE_2026-08-18.md","2734","70b63559c7405cf0c474a9a268315255b520d480a83ffeb1108ffa54750bcdd8","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","2","mv08h-count-sentinel-command.csv","1800","37833db1e3c26b036ac6eaa008f5f42cb156dd2315aaca095838962f08e4b557","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","3","mv08h-count-sentinel-decision.csv","545","9e876b93042f1977df8f36876f6983722851c023931d49ac43c85c6692a2cb66","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","4","mv08h-count-sentinel-fastqs.csv","1581","e9b8433a3f19c1586856a3f751f9dee7b90f9209c96456bd2e7feb5636972ff1","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","5","mv08h-count-sentinel-firewall.csv","1054","672427347cb7d8d1c4f3fb735e6e1628dbc4d99c88f7cecddc3a2d1ebae30a7c","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","6","mv08h-count-sentinel-gate-status.csv","869","424f0a4daf60a7d00e57439932f273ba9830d9234a11b7e1fd02e91cf468c390","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","7","mv08h-count-sentinel-independent-validation.csv","1954","b19f0e5006923805563a6561925f8531f757bc3f167675202ada253751b13a97","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","8","mv08h-count-sentinel-reference-binding.csv","466","d2a7c1edc8ba9d2a7bc465c18633d1fdc292483e8eb31ee51802e6ce6f6309df","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","9","mv08h-count-sentinel-resource-policy.csv","1445","40744bdb278635902eb09c8ed894592fbf03f5ad7c9fc2077fcb66886807bfad","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","10","mv08h-count-sentinel-selection.csv","1368","0d3c65a19c0e8980228f0a41364d52e9c368a3f8b9b40084aa33bee04f69a75e","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"mv08h_count_sentinel_artifact_manifest_v1","11","mv08h-count-sentinel-validation-contract.csv","2194","114adb9287fc67d29124023d012b4b83bc081ff3d2ff7d46714739377ddf00c3","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
