"contract_id","parameter_order","parameter","frozen_value","scientific_role"
"mv08h_count_sentinel_command_v1","1","id","mv08h_count_sentinel_hca_bm_002","unique private run directory"
"mv08h_count_sentinel_command_v1","2","transcriptome","verified_custom_reference_tree_sha256=5e2aff9e7154e6b02f98552a4419bd48edce66e617e579ae562e714f79199f1c","exact Ensembl93 target-complete reference"
"mv08h_count_sentinel_command_v1","3","fastqs","verified_complete_HCA_BM_002_six_file_directory","one preserved biological unit"
"mv08h_count_sentinel_command_v1","4","sample","MantonBM2_HiSeq_9","exact FASTQ prefix"
"mv08h_count_sentinel_command_v1","5","chemistry","SC3Pv2","official 10x 3-prime-v2 metadata"
"mv08h_count_sentinel_command_v1","6","expect-cells","7000","official expected-cell target"
"mv08h_count_sentinel_command_v1","7","include-introns","false","historical exon-only comparison target"
"mv08h_count_sentinel_command_v1","8","create-bam","false","omit unneeded BAM without changing feature-barcode counts"
"mv08h_count_sentinel_command_v1","9","nosecondary","true","defer Cell Ranger secondary analysis"
"mv08h_count_sentinel_command_v1","10","localcores","4","downward-only compute allocation"
"mv08h_count_sentinel_command_v1","11","localmem","32","downward-only GiB allocation"
"mv08h_count_sentinel_command_v1","12","disable-ui","true","noninteractive local execution"
"mv08h_count_sentinel_command_v1","13","public_command","cellranger count --id=mv08h_count_sentinel_hca_bm_002 --transcriptome=<verified_custom_reference> --fastqs=<verified_hca_bm_002_fastq_directory> --sample=MantonBM2_HiSeq_9 --chemistry=SC3Pv2 --expect-cells=7000 --include-introns=false --create-bam=false --nosecondary --localcores=4 --localmem=32 --disable-ui","exact prospective command without private paths"
