"contract_id","field_order","field_class","private_validation_permitted","public_release_permitted"
"mv08h_count_sentinel_firewall_v1","1","FASTQ byte sizes and SHA-256","TRUE","TRUE"
"mv08h_count_sentinel_firewall_v1","2","reference/runtime relative identities","TRUE","TRUE"
"mv08h_count_sentinel_firewall_v1","3","aggregate resource samples and run status","TRUE","TRUE"
"mv08h_count_sentinel_firewall_v1","4","matrix dimensions and feature-axis identities","TRUE","TRUE"
"mv08h_count_sentinel_firewall_v1","5","absolute private paths","FALSE","FALSE"
"mv08h_count_sentinel_firewall_v1","6","expression or UMI values","FALSE","FALSE"
"mv08h_count_sentinel_firewall_v1","7","cell barcodes","FALSE","FALSE"
"mv08h_count_sentinel_firewall_v1","8","donor attributes or identifiers","FALSE","FALSE"
"mv08h_count_sentinel_firewall_v1","9","QC values or eligibility decisions","FALSE","FALSE"
"mv08h_count_sentinel_firewall_v1","10","study/tissue/approach labels","FALSE","FALSE"
"mv08h_count_sentinel_firewall_v1","11","biological outcomes","FALSE","FALSE"
