"contract_id","file_order","unit_order","unit_id","lane","read_role","read_index","file_name","file_uuid","file_version","file_size_bytes","file_sha256","file_crc32c","file_content_type","drs_uri","azul_download_url","mirror_uri","download_authorized"
"mv08h_exact_hca_fastq_manifest_v1","1","1","HCA_BM_001","2","I1","index1","MantonBM1_HiSeq_9_S1_L002_I1_001.fastq.gz","8612fc0c-1549-476b-bb7f-c601dd2f2e3c","2022-11-28T10:43:16.956000Z","394373114","4464d4ea5000356ec74dd80f37dc69016ca13668bc8f33c8d2fcffdef31dd302","c55b5263","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_1e6e8a3e-533f-4353-b0e4-23ce37a19c53","https://service.azul.data.humancellatlas.org/repository/files/8612fc0c-1549-476b-bb7f-c601dd2f2e3c?catalog=dcp60&version=2022-11-28T10%3A43%3A16.956000Z","s3://humancellatlas/file/4464d4ea5000356ec74dd80f37dc69016ca13668bc8f33c8d2fcffdef31dd302.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","2","1","HCA_BM_001","2","R1","read1","MantonBM1_HiSeq_9_S1_L002_R1_001.fastq.gz","085d0369-ad7a-4219-8469-90dfcb6f779f","2022-11-28T10:43:16.976000Z","1184316345","a537d0bb8d6bb92f2f3b8b2c50f9a7389acfa8e898d7301655548616d39643d2","6956c94d","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_71991915-1a56-4fe9-8a8d-bca9279c0ea9","https://service.azul.data.humancellatlas.org/repository/files/085d0369-ad7a-4219-8469-90dfcb6f779f?catalog=dcp60&version=2022-11-28T10%3A43%3A16.976000Z","s3://humancellatlas/file/a537d0bb8d6bb92f2f3b8b2c50f9a7389acfa8e898d7301655548616d39643d2.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","3","1","HCA_BM_001","2","R2","read2","MantonBM1_HiSeq_9_S1_L002_R2_001.fastq.gz","e7c5d4fb-6ec3-4873-b500-038402d7ea31","2022-11-28T10:43:16.999000Z","3563517690","93d9b84ae41505456c02a99f52c4a5474e9a43c422dcfa19bcef812d28ba4d93","8c71f81f","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_ee12223d-5b58-4359-89f5-d5d4a082bb73","https://service.azul.data.humancellatlas.org/repository/files/e7c5d4fb-6ec3-4873-b500-038402d7ea31?catalog=dcp60&version=2022-11-28T10%3A43%3A16.999000Z","s3://humancellatlas/file/93d9b84ae41505456c02a99f52c4a5474e9a43c422dcfa19bcef812d28ba4d93.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","4","1","HCA_BM_001","3","I1","index1","MantonBM1_HiSeq_9_S1_L003_I1_001.fastq.gz","494f127c-6376-4276-89fb-779d4f8e84a7","2022-11-28T10:43:17.048000Z","394946140","fda869f940128e68c9214ae866bf76651b87ed811615d90cb6c384550d6436ef","2aa12496","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_3cb9e2e0-5835-4f7d-8f05-f052f89f6070","https://service.azul.data.humancellatlas.org/repository/files/494f127c-6376-4276-89fb-779d4f8e84a7?catalog=dcp60&version=2022-11-28T10%3A43%3A17.048000Z","s3://humancellatlas/file/fda869f940128e68c9214ae866bf76651b87ed811615d90cb6c384550d6436ef.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","5","1","HCA_BM_001","3","R1","read1","MantonBM1_HiSeq_9_S1_L003_R1_001.fastq.gz","fcce86e7-3489-4c05-a0e2-8d9fedb724ae","2022-11-28T10:43:17.135000Z","1189034388","6e0534ca2c09b43d8cb8cecb205fb246195198bcb9da012fdef03fd72f23fbe8","3ec45247","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_2ecafa6c-a7d1-4ae3-bc69-0d69dc79639d","https://service.azul.data.humancellatlas.org/repository/files/fcce86e7-3489-4c05-a0e2-8d9fedb724ae?catalog=dcp60&version=2022-11-28T10%3A43%3A17.135000Z","s3://humancellatlas/file/6e0534ca2c09b43d8cb8cecb205fb246195198bcb9da012fdef03fd72f23fbe8.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","6","1","HCA_BM_001","3","R2","read2","MantonBM1_HiSeq_9_S1_L003_R2_001.fastq.gz","1ec5f4bf-d7f1-48ca-a59f-2d786e2233c9","2022-11-28T10:43:17.236000Z","3586890619","f66784c5e7ccbaf20836d418a966cefb830e510eda8fa53d0c4b144c727e86d6","a61d0c9a","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_51f2abb1-9424-4a1b-a7c8-46497862a133","https://service.azul.data.humancellatlas.org/repository/files/1ec5f4bf-d7f1-48ca-a59f-2d786e2233c9?catalog=dcp60&version=2022-11-28T10%3A43%3A17.236000Z","s3://humancellatlas/file/f66784c5e7ccbaf20836d418a966cefb830e510eda8fa53d0c4b144c727e86d6.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","7","2","HCA_BM_002","2","I1","index1","MantonBM2_HiSeq_9_S2_L002_I1_001.fastq.gz","716afcef-ff03-442c-bd3f-4748597104a7","2022-11-28T10:43:17.277000Z","418604700","644ebfcb0e60e81cd2f6912582cf39a82dc80fac615be643c8d7cb2296c088eb","4d65bd9f","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_3825c6ef-9271-4331-a016-56fad9292412","https://service.azul.data.humancellatlas.org/repository/files/716afcef-ff03-442c-bd3f-4748597104a7?catalog=dcp60&version=2022-11-28T10%3A43%3A17.277000Z","s3://humancellatlas/file/644ebfcb0e60e81cd2f6912582cf39a82dc80fac615be643c8d7cb2296c088eb.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","8","2","HCA_BM_002","2","R1","read1","MantonBM2_HiSeq_9_S2_L002_R1_001.fastq.gz","c4cf91f5-d0eb-49ac-bd97-8f8a867000c8","2022-11-28T10:43:17.297000Z","1299741789","c25a5807ceb616073c862253f90ee35e2b913bbb9ef81d7e3729b61bd8e881ab","75fb501f","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_d7ebcb15-fa94-4962-a811-2d60295f6fa1","https://service.azul.data.humancellatlas.org/repository/files/c4cf91f5-d0eb-49ac-bd97-8f8a867000c8?catalog=dcp60&version=2022-11-28T10%3A43%3A17.297000Z","s3://humancellatlas/file/c25a5807ceb616073c862253f90ee35e2b913bbb9ef81d7e3729b61bd8e881ab.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","9","2","HCA_BM_002","2","R2","read2","MantonBM2_HiSeq_9_S2_L002_R2_001.fastq.gz","5fa7b820-70c4-468e-934b-fee11961d981","2022-11-28T10:43:17.324000Z","3886709372","4c223a1fb9d6ef44c166d7cf22223982287ebbdd3e55fb2cf33994796646051c","f22b0526","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_17e3f1e8-7550-4bea-9fc4-fee6413cbbb9","https://service.azul.data.humancellatlas.org/repository/files/5fa7b820-70c4-468e-934b-fee11961d981?catalog=dcp60&version=2022-11-28T10%3A43%3A17.324000Z","s3://humancellatlas/file/4c223a1fb9d6ef44c166d7cf22223982287ebbdd3e55fb2cf33994796646051c.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","10","2","HCA_BM_002","3","I1","index1","MantonBM2_HiSeq_9_S2_L003_I1_001.fastq.gz","5c4607a8-7a83-40fd-a4b0-50c79b3c2f98","2022-11-28T10:43:17.348000Z","419885066","0dcea8a7b5c40c42fe77ed2ab9a086f1ce40456169d3b1cce6f3247de2b3514f","6615fcf1","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_75d9a43f-bb74-40fd-94f2-05e5d51b4a1c","https://service.azul.data.humancellatlas.org/repository/files/5c4607a8-7a83-40fd-a4b0-50c79b3c2f98?catalog=dcp60&version=2022-11-28T10%3A43%3A17.348000Z","s3://humancellatlas/file/0dcea8a7b5c40c42fe77ed2ab9a086f1ce40456169d3b1cce6f3247de2b3514f.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","11","2","HCA_BM_002","3","R1","read1","MantonBM2_HiSeq_9_S2_L003_R1_001.fastq.gz","dbfbd55d-f9cf-4f5c-aa82-79fdc15d7ee9","2022-11-28T10:43:17.365000Z","1306937357","3560974c562e79b3ba2fbddf4e553f32d964383793911d60fbe38f1583fad020","03dde739","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_e336c74d-40fa-4af4-a779-fb916dcbc343","https://service.azul.data.humancellatlas.org/repository/files/dbfbd55d-f9cf-4f5c-aa82-79fdc15d7ee9?catalog=dcp60&version=2022-11-28T10%3A43%3A17.365000Z","s3://humancellatlas/file/3560974c562e79b3ba2fbddf4e553f32d964383793911d60fbe38f1583fad020.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","12","2","HCA_BM_002","3","R2","read2","MantonBM2_HiSeq_9_S2_L003_R2_001.fastq.gz","0387cd93-6f58-46a8-a10b-a0c46d601d18","2022-11-28T10:43:17.390000Z","3917745348","bc867c9574a2d6fc98f79caba2d97ed5f7b19e2ca7136fb20bd27103b305f2cc","a26ea1e5","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_13663e13-6bd9-4d78-990d-5773b68936f3","https://service.azul.data.humancellatlas.org/repository/files/0387cd93-6f58-46a8-a10b-a0c46d601d18?catalog=dcp60&version=2022-11-28T10%3A43%3A17.390000Z","s3://humancellatlas/file/bc867c9574a2d6fc98f79caba2d97ed5f7b19e2ca7136fb20bd27103b305f2cc.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","13","3","HCA_BM_003","2","I1","index1","MantonBM3_HiSeq_9_S3_L002_I1_001.fastq.gz","c4e4d68d-b206-4362-9bed-31eb0200ee57","2022-11-28T10:43:17.427000Z","414360482","01b597320dd2bc9bcb5893b5d0f1c5ef23a7649b4c0e417836639e54a8493fcf","9b25c67b","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_f537d2d1-bfef-4b7d-b9c3-afcbf7cc88c5","https://service.azul.data.humancellatlas.org/repository/files/c4e4d68d-b206-4362-9bed-31eb0200ee57?catalog=dcp60&version=2022-11-28T10%3A43%3A17.427000Z","s3://humancellatlas/file/01b597320dd2bc9bcb5893b5d0f1c5ef23a7649b4c0e417836639e54a8493fcf.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","14","3","HCA_BM_003","2","R1","read1","MantonBM3_HiSeq_9_S3_L002_R1_001.fastq.gz","cf350b37-a06f-4178-8555-ace63cb48748","2022-11-28T10:43:17.458000Z","1259013327","f4cca0a92417ad41d14fe73d42459216057ac215b462ab531cfb59c48d31e7ff","42b1b9e2","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_10a91ea7-a5f0-4a31-99d1-40865da70630","https://service.azul.data.humancellatlas.org/repository/files/cf350b37-a06f-4178-8555-ace63cb48748?catalog=dcp60&version=2022-11-28T10%3A43%3A17.458000Z","s3://humancellatlas/file/f4cca0a92417ad41d14fe73d42459216057ac215b462ab531cfb59c48d31e7ff.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","15","3","HCA_BM_003","2","R2","read2","MantonBM3_HiSeq_9_S3_L002_R2_001.fastq.gz","e57979ac-f634-4884-9640-d3fb6a1fa3c3","2022-11-28T10:43:17.530000Z","3753169589","3055087a8e3f41395383f06e5378c7d7f58d67167f3bdcbc5435d063a7d7c0fd","d16d86b2","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_e0b79b55-1c31-4be7-b962-4e528535b925","https://service.azul.data.humancellatlas.org/repository/files/e57979ac-f634-4884-9640-d3fb6a1fa3c3?catalog=dcp60&version=2022-11-28T10%3A43%3A17.530000Z","s3://humancellatlas/file/3055087a8e3f41395383f06e5378c7d7f58d67167f3bdcbc5435d063a7d7c0fd.sha256","TRUE"
"mv08h_exact_hca_fastq_manifest_v1","16","3","HCA_BM_003","3","I1","index1","MantonBM3_HiSeq_9_S3_L003_I1_001.fastq.gz","ebe9fcde-174a-4d39-b453-6880ddb53a4e","2022-11-28T10:43:17.556000Z","415645192","7413c89050e1d20e2fca47ab6072bc6262391d0805d42adffb23470ae465c9e2","5e5ead6b","application/gzip","drs://data.terra.bio/v1_744d9c13-2a15-4ecc-8c65-a2e349d04336_6fc31756-348f-4395-8577-2d9d83b90673","https://service.azul.data.humancellatlas.org/repository/files/ebe9fcde-174a-4d39-b453-6880ddb53a4e?catalog=dcp60&version=2022-11-28T10%3A43%3A17.556000Z","s3://humancellatlas/file/7413c89050e1d20e2fca47ab6072bc6262391d0805d42adffb23470ae465c9e2.sha256","TRUE"
