"contract_id","job_order","dataset_scope","source_tier","unit_id","fit_cells","selected_axes","selected_cells_per_axis","source_sha256","sentinel_role","authorization_state","repeat_required","output_file","elapsed_cap_seconds","rss_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08n_residual_source_queue_v1",1,"external8","hca_exact_reference","HCA_BM_001",2818,1,384,"1d1f39d9a761c7323964c6692cfab5ef42bb318339dd5578f92fdf825364d2da","none","closed_pending_sentinel",FALSE,"external/HCA_BM_001__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",2,"external8","hca_exact_reference","HCA_BM_002",4614,1,384,"7b0a9f90b05d68c14af29cea39926f74f3c52d07c8825bdc4f01303bb6ad0e2f","external_mv08m_bridge_sentinel","source_view_sentinel_authorized",TRUE,"external/HCA_BM_002__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",3,"external8","hca_exact_reference","HCA_BM_003",3338,1,384,"d49781b497189d4083de50b568b96454a9cddb16dd669d388759a74fac19be27","none","closed_pending_sentinel",FALSE,"external/HCA_BM_003__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",4,"external8","hca_exact_reference","HCA_BM_004",2769,1,384,"bb29cf833fadd3c04aedf93564a2f68d5ccff1f9b7a03b1f10ed6ad648b09390","none","closed_pending_sentinel",FALSE,"external/HCA_BM_004__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",5,"external8","hca_exact_reference","HCA_BM_005",2571,1,384,"5af7e7e1afd5be249f23a72600d2d1a0380d89769c17a05e22f3c7be8116668b","none","closed_pending_sentinel",FALSE,"external/HCA_BM_005__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",6,"external8","hca_exact_reference","HCA_BM_006",3608,1,384,"e65c73d680945543e9c89573a59ec80f464f5c4590e2c6a779977ba183fce8c0","none","closed_pending_sentinel",FALSE,"external/HCA_BM_006__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",7,"external8","hca_exact_reference","HCA_BM_007",4076,1,384,"edf7efb345a7b25159acf96167ef8210aa64fa256b369def9d396f79986b4ed8","none","closed_pending_sentinel",FALSE,"external/HCA_BM_007__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",8,"external8","hca_exact_reference","HCA_BM_008",3661,1,384,"f23d99a449c1ecac52ede1103007c18a924d31501eaa32d9020186ee4cc4154f","none","closed_pending_sentinel",FALSE,"external/HCA_BM_008__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",9,"internal124","primary90","SRA550660_SRS2089635",1138,5,384,"22cac676c45b3526d280baa3f385659bf31c40b846b2e7df773cee0adab69050","none","closed_pending_sentinel",FALSE,"internal/SRA550660_SRS2089635__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",10,"internal124","primary90","SRA550660_SRS2089636",930,5,384,"d232cebca1ba613404a027137ad822631302fdb65efeb12215119b8a1aaf786a","none","closed_pending_sentinel",FALSE,"internal/SRA550660_SRS2089636__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",11,"internal124","primary90","SRA550660_SRS2089637",9071,5,384,"3ed50d40299834dee6b4b4cd088244accb98ab231d48043dcff63aa81e64f607","none","closed_pending_sentinel",FALSE,"internal/SRA550660_SRS2089637__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",12,"internal124","primary90","SRA550660_SRS2089638",1210,5,384,"456a2f503a43fd48595a32bf0a4489ac119c6c4d0062cf802cb64248a5cd2426","none","closed_pending_sentinel",FALSE,"internal/SRA550660_SRS2089638__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",13,"internal124","primary90","SRA550660_SRS2089639",8839,5,384,"78ac76cf54b3fbf5303fd3b3fb2f8166d9d048d923a270a1ecf54f9ee2621a92","none","closed_pending_sentinel",FALSE,"internal/SRA550660_SRS2089639__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",14,"internal124","primary90","SRA621638_SRS2610283",1177,5,384,"3499d2d980727ea696f6b01303aef00a7512fc60e11d379dae3c43e8b5fce5d6","none","closed_pending_sentinel",FALSE,"internal/SRA621638_SRS2610283__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",15,"internal124","primary90","SRA621638_SRS2610285",832,5,384,"958c26a2a79f1a02a8f813cb6ff9f7e139f3fab0990c19474d17e8cd97ff4810","none","closed_pending_sentinel",FALSE,"internal/SRA621638_SRS2610285__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",16,"internal124","primary90","SRA628554_SRS2664364",3410,5,384,"aff05dd0ba2f583cb4b315998bf811000e9522724b1bee642c450a7181939a97","none","closed_pending_sentinel",FALSE,"internal/SRA628554_SRS2664364__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",17,"internal124","primary90","SRA628554_SRS2664365",3141,5,384,"f478209802fc4847ebe8ac7e1c8720c93acade128cf8c667e25e1994dd06e678","none","closed_pending_sentinel",FALSE,"internal/SRA628554_SRS2664365__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",18,"internal124","primary90","SRA645804_SRS2823404",4205,5,384,"0d5afcfb9fe2fb8c03f0d63c02d0083a476e129bb7ed69661643517277326fec","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS2823404__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",19,"internal124","primary90","SRA645804_SRS2823405",3680,5,384,"b42de4ff302c1af0d1bd2aa551afe30efc3771d44fba86c7ae4fdb33eb4f141c","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS2823405__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",20,"internal124","primary90","SRA645804_SRS2823406",4297,5,384,"651d64d4a3f194f8bd98de5826029e8e4119d8f5577571cc7a89e1894c1343a0","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS2823406__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",21,"internal124","primary90","SRA645804_SRS2823407",2708,5,384,"002d8c1a832a1febffd1ff3493c5c86c8d6714fc3c3148fdfd14bdeec7b95bc2","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS2823407__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",22,"internal124","primary90","SRA645804_SRS2823408",3006,5,384,"e1e2aa06169eff84ab39e174d86022bb5d985bdb44e5e2b137aa5fc47ae385d3","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS2823408__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",23,"internal124","primary90","SRA645804_SRS2823409",3897,5,384,"893056daa24503400b7d99d2b4fa10375985fc205627a0117324c9208287464b","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS2823409__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",24,"internal124","primary90","SRA645804_SRS2823410",3561,5,384,"e5ebcd1423774b515c4ee003aaaef23ad8dd7bf50788349ffab0c4469ad0daff","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS2823410__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",25,"internal124","primary90","SRA645804_SRS2823411",1031,5,384,"25fd339c9abd9225f72930403aca784edd598dd58fcb6f22a042767e59a94b4f","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS2823411__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
