"contract_id","comparison_order","dataset_scope","contrast_id","seed","homology_dimension","left_stack","right_stack","unordered_pairs","metrics","interpretation","authorization_state","outcome_label_state","biological_outcomes_computed","axis_policy"
"mv08r_comparison_firewall_v1",1,"internal124","fit_scope_effect",20260805,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",2,"internal124","layer_effect",20260805,"H0","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",3,"internal124","net_migration_effect",20260805,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",4,"internal124","fit_scope_effect",20260806,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",5,"internal124","layer_effect",20260806,"H0","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",6,"internal124","net_migration_effect",20260806,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",7,"internal124","fit_scope_effect",20260807,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",8,"internal124","layer_effect",20260807,"H0","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",9,"internal124","net_migration_effect",20260807,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",10,"internal124","fit_scope_effect",20260808,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",11,"internal124","layer_effect",20260808,"H0","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",12,"internal124","net_migration_effect",20260808,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",13,"internal124","fit_scope_effect",20260809,"H0","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",14,"internal124","layer_effect",20260809,"H0","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",15,"internal124","net_migration_effect",20260809,"H0","existing_selectedfit_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",16,"internal124","fit_scope_effect",20260805,"H1","existing_selectedfit_data_exact500","allqc_data_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
"mv08r_comparison_firewall_v1",17,"internal124","layer_effect",20260805,"H1","allqc_data_exact500","allqc_residual_exact500",7626,"pearson;spearman;median_abs_change;p95_abs_change;top10_or_all7_neighbor_overlap;hashes","descriptive_no_equivalence_threshold","closed_pending_complete_immutable_landscapes","closed",FALSE,"same_internal_sample_seed_axis_required"
