"contract_id","role","file","sha256","execution_state"
"mv08r_implementation_binding_v1","typed_view_and_ripserr","R/dual_view_topology.R","25c967c214df3cf84e275ca28fb01896ec319c4f056f68e172bec7c2e51bf3bd","bound_not_executed"
"mv08r_implementation_binding_v1","canonical_R_landscape_oracle","R/landscape_reference.R","49020618056a329b34e57ab1a8c62403be681741cbb928a4ed0d931a8b3b13da","bound_not_executed"
"mv08r_implementation_binding_v1","public_landscape_contract","R/landscape_public_api.R","861584492b0d52b1ceacfb93075b9f317a6ba3529f8fb512651db6ee5f6f24c9","bound_not_executed"
"mv08r_implementation_binding_v1","Rust_FFI_shim","R/landscape_rust_prototype.R","4771ec396759dacaf36e860819b49978b37d8cc8d4224e54cc72b0077f8a5eb1","bound_not_executed"
"mv08r_implementation_binding_v1","GUDHI_fallback_pattern","R/mv07h_full_topology.R","2723b3bbc38eb8e9d68e9ee5a8408a3369996db07b18be0377bf6a1697702b91","bound_not_executed"
"mv08r_implementation_binding_v1","resource_monitored_PH_pattern","scripts/run_mv07h_full_ph.R","a6af34c305c858441bc7f448ffe0cbeaafc2e9b17652a60ceba9467e9276636d","bound_not_executed"
"mv08r_implementation_binding_v1","streamed_landscape_pattern","scripts/run_mv07h_landscape_group.R","7e18ceb8c00ebab713bbd91b104567ca61b0c181811a6ef77f20b13c2ba29da7","bound_not_executed"
"mv08r_implementation_binding_v1","same_axis_external_dual_view_pattern","scripts/run_mv08h_common475_topology_review.R","e8ceeba822130d07b68a4dcaffbf973381da7c431ee1e13a7a238b786817ae1e","bound_not_executed"
"mv08r_implementation_binding_v1","Rust_kernel_source","rust/scph_landscape_kernel/src/lib.rs","35979730d533005aee5bf9fa79083f17c531123329b89e78e87c1968d1428381","bound_not_executed"
"mv08r_implementation_binding_v1","Rust_build_manifest","rust/scph_landscape_kernel/Cargo.toml","b3bb9e2e5dd403b95f82ef66cd20e4facb71fad984847495475b3764da0c389a","bound_not_executed"
"mv08r_implementation_binding_v1","Rust_lockfile","rust/scph_landscape_kernel/Cargo.lock","b5656db9c642426754e11124cedb85c32e79be871a5c84da44c7d1dd74baf7f9","bound_not_executed"
