"contract_id","input","bytes","sha256","private_values_published"
"mv08s_input_manifest_v1","mv08r/mv08r-contract.csv",980,"4060deaabc95f80824705942cee7e9503accd1323c66a55a7317aad8af74b8e6",FALSE
"mv08s_input_manifest_v1","mv08r/mv08r-ph-queue.csv",889157,"da83712e36476ab0e90dfbd8628b8960d0400c0eaa46e25488913c04f6134f44",FALSE
"mv08s_input_manifest_v1","mv08r/mv08r-external-same-axis-baseline.csv",4879,"a916f738edd9e8c06417ea1359241f1b875b7e82dee4ddc44ddf8f0c718f4541",FALSE
"mv08s_input_manifest_v1","mv08r/mv08r-source-cache-bindings.csv",38244,"3c9ae201af1400e23e3bb335df2e5bf75469bfc92f0afb86929f5dfa33323220",FALSE
"mv08s_input_manifest_v1","mv08r/mv08r-source-gene-view-bindings.csv",694318,"9e5208d87983c332c0f73560be1e559b5cdf703c0102f25a09ef051b374c9f5e",FALSE
"mv08s_input_manifest_v1","mv08r/mv08r-backend-policy.csv",899,"945402b627ca228fc5d4ae244b9d1876ef35747035f82a0620c1116556199dda",FALSE
"mv08s_input_manifest_v1","mv08r/mv08r-landscape-contract.csv",1170,"62551be537abb63218a3233c851a709725c8303983574adf9c2975adc98dc69a",FALSE
"mv08s_input_manifest_v1","mv08r/mv08r-stage-gates.csv",1205,"8d90ed022598c37810b809264382b0d3f90fd202555d8fa189106a75b32e9ec7",FALSE
"mv08s_input_manifest_v1","mv08r/mv08r-artifact-manifest.csv",1804,"bc40dba54bc240569bf7ac16be1b5c26be482425806d35cb467f400d02acc5f7",FALSE
"mv08s_input_manifest_v1","common475_panel",150683,"2996b101445d23cb1ac02093af0f17df318cbf238b629c9835e43f88f2ecfc74",FALSE
"mv08s_input_manifest_v1","common475_reference",134274283,"624775dcdacff4241047b6597a816ffb03cea561eca9c3ea0d6ef117b3f1eb9f",FALSE
