"contract_id","role","file","bytes","sha256"
"mv08x_implementation_binding_v1","cargo_manifest","rust/scph_landscape_kernel/Cargo.toml",357,"b3bb9e2e5dd403b95f82ef66cd20e4facb71fad984847495475b3764da0c389a"
"mv08x_implementation_binding_v1","cargo_lock","rust/scph_landscape_kernel/Cargo.lock",172,"b5656db9c642426754e11124cedb85c32e79be871a5c84da44c7d1dd74baf7f9"
"mv08x_implementation_binding_v1","rust_kernel","rust/scph_landscape_kernel/src/lib.rs",18702,"35979730d533005aee5bf9fa79083f17c531123329b89e78e87c1968d1428381"
"mv08x_implementation_binding_v1","c_abi_header","rust/scph_landscape_kernel/include/scph_landscape_kernel.h",1032,"6f8797e33d0ed2e8552bed7341111113eca9aaa58b2c17745b2dd06709b10f7a"
"mv08x_implementation_binding_v1","r_landscape_contract","R/landscape_contract.R",10372,"4e60dcc8e291ae657c326bc08b9fff0b4eedbbdf7e831eb7e1226acd9c173fa9"
"mv08x_implementation_binding_v1","r_canonical_oracle","R/landscape_reference.R",14434,"49020618056a329b34e57ab1a8c62403be681741cbb928a4ed0d931a8b3b13da"
"mv08x_implementation_binding_v1","r_rust_shim","R/landscape_rust_prototype.R",5137,"4771ec396759dacaf36e860819b49978b37d8cc8d4224e54cc72b0077f8a5eb1"
"mv08x_implementation_binding_v1","ph_record_validator","R/mv08s_ph_sentinel.R",10864,"6ac2fc1421a0589db610874678350f22863b0a7493e89aac49cceb6d251c5039"
"mv08x_implementation_binding_v1","prefreeze_builder","scripts/build_mv08x_rust_landscape_admission_prefreeze.R",22087,"c2200576dc6fee3c7a0c72b6811abee459925abda62702fca891a5ad863ec3d7"
"mv08x_implementation_binding_v1","toolchain_acquirer","scripts/acquire_mv08x_rust_toolchain.sh",2697,"8280c2517c73664f8c017262ee6b3b5ab14e6a4daef59edaaaa315eed614c868"
"mv08x_implementation_binding_v1","rust_rebuilder","scripts/run_mv08x_rust_rebuild.sh",5943,"09fa0a1bddad8b04e8b835e6200b598429be708538d946aeec3283c2f19f210d"
"mv08x_implementation_binding_v1","oracle_runner","scripts/run_mv08x_rust_landscape_oracles.R",14466,"93f37decf114f0fcac3884a43f66855cc6e7f4e5576cfe9599704901b51611e2"
"mv08x_implementation_binding_v1","closure_builder","scripts/build_mv08y_rust_landscape_admission_closure.R",19254,"310cf98e059028ce841b8029e0239073efb45027241f4d959aae51fb3faf5e7c"
