"contract_id","oracle_order","oracle_id","pair_identity_sha256","dataset_scope","representation_id","panel_id","view_kind","seed","homology_dimension","group_units","group_unordered_pairs","reference_route","exact_max_intervals","absolute_tolerance","relative_tolerance","subdivisions","first_finite_intervals","second_finite_intervals","outcome_label_state","biological_outcomes_computed"
"mv08x_oracle_selection_public_v1",1,"mv08x_oracle_01_07598e2cc21c","07598e2cc21c5aae1bed825d231b77e0acefb199e9510840ad767ac7195d10ef","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",2,"mv08x_oracle_02_3556ed5a5307","3556ed5a53077e288e512fdee942d7d0a9736661717835d3507ae62b9f9924a7","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",3,"mv08x_oracle_03_4c5f291c46bf","4c5f291c46bf1b8627bdb8664194e7c48be6d27f332edfb145bde522d22d2136","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260806,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",4,"mv08x_oracle_04_15f4b71f042e","15f4b71f042ecb41f449242e46bcd000a3509c904d2dbbdafeb4c770e6a05cd9","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260806,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",5,"mv08x_oracle_05_09a35fcea56a","09a35fcea56ae87bb530df672f8561470713086c316c3c6cabec09ca25c88138","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260807,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",6,"mv08x_oracle_06_ad7a54e3552f","ad7a54e3552f167bc01f3cd33d89a017acc91ea8102e71b709563a90b5d4a9da","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260807,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",7,"mv08x_oracle_07_98dd01f8cc77","98dd01f8cc77baf76232c35908cb4e414eab809ebdc5cd87998ad28667184932","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260808,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",8,"mv08x_oracle_08_8f50bfd060fe","8f50bfd060fe9cbbb7fbe156793c9b432b5f668677aec859bfc800dc3b6f0afb","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260808,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",9,"mv08x_oracle_09_691bbff37d2e","691bbff37d2e48833ae812a270c2363a2099a49dcb1908f44bef4c405780afb3","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260809,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",10,"mv08x_oracle_10_ec45bd337b9d","ec45bd337b9d9b88fd63f6e0062586b47ab85caead02607fe01f07618d1ba068","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260809,"H0",124,7626,"r_exact_breakpoint",500,1e-08,1e-08,200,499,499,"closed",FALSE
"mv08x_oracle_selection_public_v1",11,"mv08x_oracle_11_3a79f7886213","3a79f7886213f185fcf3deaa4c0f5fe3c910953e4004c57573c01ba0e4f50768","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,107,3251,"closed",FALSE
"mv08x_oracle_selection_public_v1",12,"mv08x_oracle_12_cf1df8f346ee","cf1df8f346eeb5edaf0ac734a2e3660894552fa911089ad3ce3af921fed73408","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260805,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,140,3210,"closed",FALSE
"mv08x_oracle_selection_public_v1",13,"mv08x_oracle_13_8c2c66f03faf","8c2c66f03fafec2284fdb4a8d0176422d33b00e8a82e0986c8bca6213768e204","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260806,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,100,3157,"closed",FALSE
"mv08x_oracle_selection_public_v1",14,"mv08x_oracle_14_d7a406547683","d7a406547683201078927e18a7bab1c187b40511cef3f59e699b08c4b9a40b5a","internal124","sct_pearson_residual_all_qc_fit_selected384","exact500","gene_topology_v1",20260806,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,137,3239,"closed",FALSE
"mv08x_oracle_selection_public_v1",15,"mv08x_oracle_15_a5fa1f36de77","a5fa1f36de77938410e3173bfe5bfed82a7572a801228f3742993d132fe6a7e9","internal124","sct_data_all_qc_fit_selected384","exact500","gene_topology_v1",20260807,"H1",124,7626,"r_adaptive_certified",500,1e-08,1e-08,200,111,3175,"closed",FALSE
